,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,77059132,english,"400 hrs and counting. perfect game for anyone who wants to play a combination RTS / turn-based strategy game. this is something that is both merciless and yet easy to grasp and tame. it is merciless because you can play 100 hrs on a campaign and lose. just flat out lose because you let some other faction roll you early on and you did nothing about it and you didn't realize how big of a mistake you made until it was wayyy too late. this is ultimately why i like the game - because it plays more like a simulator.

the easiness of outsmarting the AI in the land battles is offset by the fact that on the campaign map the AI will have massive armies all the time that come seemingly out of nowhere on higher difficulties. the factions will also all eventually turn against you. you versus the world. your 5:1 k/d ratio needs to be consistent or just one battle that ends poorly where your typical AI outsmarting strategies failed will cost you a region and perhaps the campaign.

also if you refuse to save and reload you will have a really, really tough time on higher difficulties. a ""legendary"" difficulty would solve this problem which is why i like other total war titles more. but this one is still solid",1601868664,1601868664,True,0,0,0,0,True,False,False,76561198025493296,44,3,24033,0,24033,1594858243
1,77055589,english,"This game is the one of the worst total war game out there, a gigantic waste of my money.

-The AI is retarded.

The AI won't accept the most beneficial diplomatic offer. If it does, it makes the most bizarre and utterly stupid agreements. It also can't play battles for anything. I can place a rock on my chair and it would put up a better fight.

-The battles are stupid. 

Fort battles are a chore, as well as city maps. You have to micro the absolute heck out of everything. The troops are also super inaccurate. I can line up 120 elite men and they will ultimately kill ~10 men at most. This goes for cannons as well. They're useless unless you use them to destroy fort walls, and in that case only regular early-game cannons are worth anything. Rocket Troops and mortars are useless. So basically it's just line infantry spam with the occasional use of basic artillery when there's an annoying fort somewhere. 

My absolute biggest pet peeve of battles (this was the catalyst that made me uninstall the game) is when the AI puts units at the edge of the map and just makes them sit there. Why is this bad, you may ask? Because there is a time limit for battles. Even if you have 3 fresh regiments, if the enemy still has 1 cannon stranded in the middle of nowhere when time runs out, you lose. This made me lose a battle in which I sent >2000 riflemen against their swordsmen. 

-You can only play a select few factions.

There are 42 factions at the start of the game. Sounds cool right? Wrong. Only 11 are playable. The map doesn't even span the whole world, it only spans parts of the Americas, Europe, India, the Middle East, and small parts of Northern Africa. Yay.

Overall, this is a bad total war game. The only thing saving it from being the worst is the fact that this is set during the 1700's and there aren't many other total war games that are similar to this time period. Sure, this game can be fun sometimes, but it's pretty much a waste of money.",1601861895,1601861895,False,0,0,0,0,True,False,False,76561198966473713,10,2,6436,716,6436,1601860484
2,77052752,english,It's fun,1601856496,1601856496,True,0,0,0,0,True,False,False,76561198425210194,6,1,289,75,289,1601855253
3,77047084,english,good,1601846390,1601846390,True,0,0,0,0,True,False,False,76561198131195645,108,5,645,41,603,1601848933
4,77043591,english,This is great one,1601841091,1601841091,True,0,0,0,0,True,False,False,76561198347650476,27,1,9,0,9,1532296461
5,77041062,english,Excellent,1601837691,1601837691,True,0,0,0,0,True,False,False,76561198313159719,6,1,22906,346,22906,1601699220
6,77031953,english,"Even if it´s already a bit out of date, I still love it. It´s a classic. Enjoy.",1601826312,1601826312,True,1,0,0.523809552192687988,0,True,False,False,76561198044988951,5,2,21063,160,20977,1601831510
7,77026376,english,"Really good game, love it",1601819580,1601819580,True,0,0,0,0,True,False,False,76561198106556980,27,4,1841,14,1826,1601820965
8,77015646,english,Really fun and enjoyable if you Download DarthMod.,1601804147,1601804147,True,0,0,0,0,True,False,False,76561198066242814,225,7,5608,0,5608,1589662502
9,77012594,english,The battles are highly enjoyable.,1601799207,1601799207,True,0,0,0,0,True,False,False,76561198257536254,2,2,1442,65,1442,1601799166
10,77003726,english,I honestly don't remember playing this but buy it if you like the total war franchise i guess. ?/10.,1601783080,1601783080,True,0,0,0,0,True,False,False,76561198238047334,33,29,404,0,404,1481401167
11,76981137,english,this version of Total War is sub par,1601747731,1601747731,False,0,0,0,0,True,False,False,76561198978939510,3,1,1383,1383,1383,1601699070
12,76948067,english,"This game is awesome, highly reccomend",1601699592,1601699592,True,0,1,0,0,True,False,False,76561198897428798,28,3,8788,2987,8036,1601862232
13,76942612,english,Really fun and super addicting,1601690000,1601690000,True,0,1,0,0,True,False,False,76561198435549367,4,2,233548,1520,232711,1601829439
14,71440055,english,I love this game. But its no longer being updated and that is just not making me happy. Stuff like the tec tree i wish could get bigger and you could have bigger army's and other stuff but yes this game i love cause with the campaign you can see tons of new battle fields and you can have a lot of fun.,1593211545,1601662441,True,0,0,0,0,True,False,False,76561198834589588,8,4,24717,719,24353,1601836408
15,76888006,english,Battle is slow and boring compare to other TW game.,1601601119,1601601119,False,0,1,0.476190477609634399,0,True,False,False,76561198033048939,113,8,5046,4363,3044,1601870611
