,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,timestamp_dev_responded,developer_response
0,77171305,english,Great game.  Very addictive for those of us who love the game.,1602066248,1602066248,True,0,0,0,0,True,False,False,76561198013392955,40,1,88193,10884,87830,1602087842,,
1,77155747,english,"Fun for baseball fans, few minor annoyances like my starting pitchers didn't get rested between series so no way to set your rotation for the next round, but overall very good, very fun",1602036307,1602036307,True,0,0,0,0,True,False,False,76561198049241160,66,4,2498,2498,2429,1602040280,,
2,77148314,english,Very challenging that can can become extremely rewarding.,1602022135,1602022135,True,0,0,0,0,True,False,False,76561198102173898,46,7,485,485,485,1602007260,,
3,77121940,english,mantap jiwa,1601983590,1601983590,True,0,0,0,0,True,False,False,76561198286489832,10,2,5802,5802,5700,1602038237,,
4,74157759,english,"After 200 hours I have to say no.  There is just not enough innovation here to justify the increased monetization that has been brought on by the Perfect Team mode. To be fair I have the same criticism of most simulators, it seems like less of an attempt to provide a great game experience and more of a conduit to get you to part ways with your money.  And you can part ways with a lot of it and still not be successful. I have always held out the hope that the devs would take some of their newfound bounty and create a simulation experience that is visually tolerable, graphically this game is still worse than the original Nintendo.

OOTP 21 Shareholders Edition update 05/10/20.

Most of my recent hours have been spent passively in Perfect Team Mode. In a strange coincidence, after I wrote my original negative review I began experiencing some of the same problems that many others have discussed on here with file crashes and certain things on my interface not displaying properly. It will not even let me simulate a game anymore so I can watch the outcome! Additionally my Perfect Team - which had previously succeeded modestly posted seven consecutive losing seasons, and now my team is stuck in Gold Level against what I often considered to be inferior opponents who outperform otherwise considerably better teams. 

Help me do the math here OOTP. If I buy your game for $55 CAD, and I invest $220 CAD in to my team to go 77-86 for 7 consecutive seasons should I accept this as a reasonable outcome for my investment? Mind you I have no intention of making it to the Perfect Team bracket, I just expect the team that I have created to perform well at lesser levels. 

I doubt that I am alone here and I think ALOT of people have invested way more than they intended to in this game, far more than it is worth. But lets not sit here and pat the developers on the back, lets highlight the fact that players expect the product to show considerable advancement YOY especially with this rapacious game mode driving profits in ways that are not justified. 

You have lost a long time fan and at this point (given the trajectory of this games development) I will not be returning. So you can look at what I spent on the game this year as a boon to your profits, but know that this will come at the expense of future revenue.",1597184494,1601943163,False,2,1,0.52173912525177002,0,True,False,False,76561198022442852,25,7,23704,994,23467,1602054985,,
5,77097341,english,Too many crashes,1601932543,1601932543,False,0,0,0,0,True,False,False,76561199066270779,6,1,1344,1344,296,1602052761,,
6,77054906,english,pretty good. worth putting in 890 hours.,1601860603,1601860603,True,0,0,0,0,True,False,False,76561198157461862,48,1,53598,7018,53427,1601930249,,
7,77054559,english,"Extremely realistic, and so many ways to play--historical replays, fictional players, you name it!  Not to mention the addictive Perfect Team leagues.  Excellent program.",1601859990,1601859990,True,0,0,0,0,True,False,False,76561198009896230,37,1,17468,589,17405,1602086004,,
8,77030915,english,Best baseball simulator EVER!!,1601825037,1601825037,True,0,0,0,0,True,False,False,76561198843007178,8,1,11678,3506,10636,1602087902,,
9,77012673,english,Brilliant game with countless possibilities. A must-have for baseball fans and those who follow the MLB in particular.,1601799346,1601799346,True,0,0,0,0,True,False,False,76561198078002067,227,20,170,170,170,1601313978,,
10,77011710,english,"I have played this franchise since 2001. It is the deepest baseball manager and sandbox there is. When I was a child I played the Strat-o-matic board game, then the Earl Weaver, Tony LaRussa Baseball, then OOTP which I have been playing nearly 20 years now and owned all but a couple of the versions.",1601797747,1601797747,True,0,0,0,0,True,False,False,76561198073455415,155,8,23964,8525,22033,1602083078,,
11,76989373,english,"Good simulation game. Takes some time to learn different settings and aspects of it, but I recommend to anyone who likes to play franchise mode on MLB the Show (or any other game really)",1601758618,1601758618,True,0,0,0,0,True,False,False,76561198338473510,3,1,4000,661,3374,1602013417,,
12,65498825,english,"I've been playing baseball games since I was a little kid. Started with the Super Nintendo (Baseball Simulator 1000, Ken Griffey Jr) advanced through all the EA years - those were some really good games.  But now we're to present day, and good baseball games seem to not exist.

I don't have a PS4, so I've never played the show.

This is a baseball simulator.  It simulates everything.

This is deepest, most breathtaking best baseball game I've ever played, year in - year out.  This game is almost perfection.",1584820512,1601738006,True,0,0,0,0,True,False,False,76561198073352784,32,4,25580,3941,24860,1602081419,,
13,76937752,english,I really enjoy this game...like a lot. I don't normally review games but this game has me addicted in the very short time I've had it. It goes so much more in depth then most simulation sports games and I value every moment I am a GM in this game. They really hit it out of the park with this one :),1601681223,1601681223,True,1,0,0.523809552192687988,0,True,False,False,76561198169884599,61,2,1980,1980,930,1602087803,,
14,76927147,english,Fantastic game!,1601665422,1601665422,True,0,0,0,0,True,False,False,76561198102356376,260,8,1861,1861,1047,1602038181,,
15,76843031,english,"Great time-waster if you love baseball. Year-in-year-out improvements, can't speak on the perfect team mode, just love the standard GM simulator. Learned a lot about how baseball works behinds the seen through this game.

Also just had a 115 win season and got swept in the NLDS, but I still keep coming back.",1601522506,1601522506,True,0,0,0,0,True,False,False,76561198072571568,223,3,3103,3103,1252,1602022421,,
16,76832525,english,Great game just gets better every year.,1601502210,1601502210,True,0,0,0,0,True,False,False,76561198014075439,453,16,4179,4179,1837,1602070754,,
17,76831644,english,"If you are into the strategy both on and off the field then this is the exact type of game for you. Think you can do better than your teams GM? Test out your theory on this game.  Think your team could be better if they played more small ball? you have that option.  Always wanted a certain player on your tem?
Sign or trade for him and see how it plays out.  The only negative about this game is you will be hooked and before you know it you'll have spent 4 hours on it.",1601500741,1601500741,True,0,0,0,0,True,False,False,76561198320516654,6,1,9181,9181,5190,1602088940,,
