,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,timestamp_dev_responded,developer_response
0,77178963,english,Good game & stable,1602078542,1602078542,True,0,0,0,0,True,False,False,76561198006930789,65,4,1869,739,1869,1601474443,,
1,77168467,english,Tons of fun without mods. Even more fun with mods,1602061029,1602061029,True,0,0,0,0,True,False,False,76561198064604035,89,3,87559,6284,87199,1602089666,,
2,77164644,english,"amazing game
",1602054343,1602054343,True,0,0,0,0,True,False,False,76561198120990173,11,4,5332,2327,5247,1602059671,,
3,77162606,english,"crap game
",1602049958,1602049958,False,0,0,0,0,True,False,False,76561198316646100,35,9,1255,12,1255,1602049931,,
4,77154916,english,"Amazing time, never gets old!!",1602034744,1602034744,True,0,0,0,0,True,False,False,76561198053953716,174,4,10258,93,10258,1601951393,,
5,77151878,english,best game even better with mods and there are plenty to keep you entertained worth the buy,1602028836,1602028871,True,0,0,0,0,True,False,False,76561198375434507,101,6,20161,397,19974,1602090525,,
6,77135943,english,j,1602004120,1602004120,True,0,0,0,0,True,False,False,76561198310160523,65,2,30403,62,30403,1601579554,,
7,77133011,english,buy it or i will flush youre hamster down the toilet,1602000108,1602000108,True,0,0,0,0,True,False,False,76561198877695955,28,2,483,0,483,1590321263,,
8,77125451,english,GoOd GaMe,1601989606,1601989606,True,0,0,0,0,True,False,False,76561198067800378,122,19,7536,299,7447,1602075550,,
9,77119052,english,"If i'm gonna be honest, Some of my favourite games of all time include Rome Total War, AoE 2, Just Cause 2, Rimworld, Mount and Blade And MEN OF WAR ASSAULT SQUAD 2.
It is a masterpiece in real time strategy, the detail of cover, the unique aspects of the units. 
Now i don't play the singleplayer... really ever, All my hours are in MP or Co op. And it's fantastic, a game i can always come back to and have a blast.
It's a shame the MP has died down a little down and i do think it is time for a new addition to the franchise, but you bet, i will be getting on that straight away!",1601977638,1601977638,True,1,0,0.523809552192687988,0,True,False,False,76561198068697735,384,8,6933,0,6933,1551890904,,
10,77108722,english,"great game, old but gold",1601955209,1601955209,True,0,0,0,0,True,False,False,76561198349828274,6,1,11092,504,11092,1601946542,,
11,77106859,english,all around good game,1601951324,1601951324,True,0,0,0,0,True,False,False,76561198971259002,21,4,3230,85,3153,1602022955,,
12,77104375,english,The base game is a blast but mods makes it actually what makes this games work so well,1601946366,1601946366,True,0,0,0,0,True,False,False,76561198006513654,383,16,9701,463,9654,1601948810,,
13,77091718,english,"It's really addicting, don't get into it unless you have freetime. 
Also 69 RAR XD",1601924034,1601924034,True,0,0,0,0,True,False,False,76561198353356698,45,5,4646,1779,4149,1602012120,,
14,77090904,english,As an RTS person and also someone who likes WWII games. I highly suggest this game.,1601922895,1601922895,True,0,0,0,0,True,False,False,76561198202022892,5,1,4630,0,4630,1459629945,,
15,77088656,english,"Awesome strategy game. Almost seems ahead of it's time, very detailed. Definitely good with friends.",1601919680,1601919680,True,0,0,0,0,True,False,False,76561198272169481,44,28,2089,192,2089,1601598860,,
16,72542716,english,its a fun game ,1594531284,1601918218,True,0,0,0.494752615690231323,0,True,False,False,76561199034403730,49,3,4256,153,4104,1601948082,,
17,77077475,english,meh,1601904479,1601904479,True,0,0,0,0,True,False,False,76561198311517926,103,11,587,0,587,1583183087,,
18,77043067,english,"good
",1601840390,1601840390,True,0,0,0,0,True,False,False,76561198341913030,151,3,7084,391,6909,1602046074,,
19,77022702,english,Its reminds me of xcom 2 but with less sci-fi and story,1601814691,1601814691,True,0,0,0,0,True,False,False,76561198309403281,14,4,3900,756,3712,1601833405,,
20,77019632,english,"I have a lot of fun setting up troops in Gem Editor, and there are a bunch of mods to choose from in the workshop.",1601810217,1601810217,True,0,0,0,0,True,False,False,76561198094583178,18,2,6176,3951,5358,1602090738,,
21,76970769,english,ww2,1601734917,1601734917,True,0,0,0.476190477609634399,0,True,True,False,76561198136432174,32,1,7678,486,7191,1602008816,,
22,60625541,english,would be perfect if not for 32-bit engine limitations. it really ruins an intense 4v4 when you get a slap in the face ''failed to allocate memory''.,1577396739,1601733771,True,0,0,0,0,True,False,False,76561198147764449,86,14,5556,422,5391,1602003983,,
23,76964817,english,"This game is very cool and lots of fun, however just like with all strategy games unfortunately its is incredibly buggy with Ai and things of that nature. Despite its problems its still manages to be a fun game and I like it alot",1601727229,1601727229,True,0,0,0,0,True,False,False,76561198069397464,385,16,427,0,427,1599081926,,
24,74870768,english,BEST GAME PLAY GAME IF YOU DONT I WILL BREAK ALL YOUR FINGERS SO YOU BETTER PLAY THE DAMN GAME ,1598328840,1601710822,True,0,0,0,1,True,False,False,76561198236723894,35,8,1734,578,1603,1601902516,,
25,76935169,english,Nice,1601676792,1601676792,True,0,0,0,0,True,False,False,76561198390096871,6,2,8907,185,8748,1601751206,,
26,76928697,english,me like,1601667446,1601667446,True,0,0,0,0,True,False,False,76561198406289343,15,5,10587,10587,10563,1601669897,,
27,76928503,english,"yes'nt
",1601667171,1601667171,True,0,0,0,0,True,False,False,76561198031240587,184,3,4456,167,4400,1601754261,,
28,76909886,english," .,.",1601642918,1601642918,True,0,0,0,0,True,False,False,76561198368849841,8,1,2157,1,2156,1601657049,,
29,76888583,english,"Pretty good. An amazing game no doubt, but gets boring pretty quick if your not into steam mods. 100% Recommended.",1601602237,1601602237,True,0,0,0,0,True,False,False,76561198323245464,17,4,3962,240,3858,1601779873,,
30,76880010,english,"one of my all time favs , top 5 for me all time game , I use oldboys mods and robz they make this even better",1601585060,1601585060,True,1,0,0.523809552192687988,0,True,False,False,76561197966628956,479,14,19666,307,19558,1601602410,,
31,76852000,english,yippee,1601541349,1601541349,True,0,0,0,0,True,False,False,76561198044739402,9,1,8076,201,7874,1601553432,,
32,76849890,english,"This game is very cool,but china fuck you",1601537257,1601537257,True,0,0,0,0,True,False,False,76561198212603611,167,7,15240,1435,13823,1602090171,,
33,76845992,english,"This is an amazing game if you have friends that have it. Especially with the variety of mods, you can basically turn this game into almost any conflict you want.",1601528677,1601528677,True,0,0,0,0,True,False,False,76561198929733632,19,6,286,286,205,1601605646,,
34,76837223,english,Amazing game.,1601511412,1601511412,True,0,0,0,0,True,False,False,76561198062715832,75,2,4846,705,4141,1601991270,,
35,76830907,english,its not too late to vote for bernie,1601499547,1601499547,True,0,0,0,0,True,True,False,76561198413802193,144,11,3656,162,3493,1601507456,,
36,76822238,english,Very playable,1601487107,1601487107,True,0,0,0,0,True,False,False,76561198042575400,39,1,408,408,337,1601763445,,
37,76820826,english,this game is the greatest strategy game ever created. watch Daleytactic's Youtube videos to see gameplay.,1601485364,1601485364,True,0,0,0,0,True,False,False,76561199073433123,8,2,216,168,195,1602022722,,
38,76810300,english,a,1601471632,1601471632,True,0,0,0,0,True,False,False,76561199012977383,14,7,2053,326,1916,1602021985,,
39,76796248,english,"Do not get this game, it is broken and takes hours to get it to work.",1601441277,1601441277,False,0,0,0.476190477609634399,0,True,False,False,76561198274591756,40,5,3662,3085,577,1601833144,,
40,76793677,english,Get the game on sale. Fun game but pretty buggy and a hard time actually finding people your skill level.,1601435533,1601435533,True,0,0,0,0,True,False,False,76561198149194426,130,4,23112,274,22869,1601702911,,
41,76793669,english,If you want a challenge yes.,1601435521,1601435521,True,0,0,0,0,True,False,False,76561198182214729,96,7,1030,151,943,1602088696,,
