,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,timestamp_dev_responded,developer_response
0,77056592,english,nice,1601863892,1601863892,True,0,0,0,0,True,False,False,76561198255875841,21,15,577,347,283,1602042456,,
1,77056076,english,"Its ****ing heavy, but still works",1601862846,1601862846,True,0,0,0,0,True,False,False,76561198148817391,5,1,587,587,229,1602061748,,
2,77023458,english,"Devs are releasing a ""New Product"" (read update for Facerig) Because they want in on that subscription service model, and don't want to honor anyone that has the original.",1601815781,1601815781,False,3,0,0.550866544246673584,0,True,False,False,76561197969289302,226,9,79,0,79,1561742337,,
3,77014364,english,Good,1601802071,1601802071,True,0,0,0,0,True,True,False,76561198371792299,1,1,1886,834,1054,1602043762,,
4,77008208,english,someone pls make thanos workshop avatar,1601791416,1601791416,True,0,0,0,0,True,False,False,76561198348583748,110,16,6244,41,6202,1601795555,,
5,76944368,english,"This shit is like a virus. screwed up my audio drivers by installing its own drivers for some fucking reason. i just spent a hour trying to fix my microphone cause face rig broke it with its drivers, and after i uninstalled the game, the drivers were still there. after i uninstalled each of the drivers, they came back. so i had to go into the driver itself, force uninstall it and go into my pc and have it search both my ssd and hdd for anything relating to face rig and have it permanently deleted. fuck this shitty program. even when i used it, it worked but relly poor. and i have the cam of a acer nitro 5 (2019 model) and while not the greatest camera, its a good laptop camera and boy face rig sucked. my guy kept frowning to the left no matter what i did, and eyes was closed almost the entire time. and the lip sync was horrible as well. either way, the program is sheit. the drivers that screwed up my laptop are sheit. and the new game thats nothing more then a crash grab from this one is sheit. avoid this, its the only thing i would recommend about this.",1601693080,1601693080,False,1,0,0.459770113229751587,0,True,False,False,76561198159597719,307,86,65,0,65,1600798093,,
6,76937217,english,"As much as this program has promise, it had too many conflicts with OBS when i streamed.",1601680251,1601680251,False,1,0,0.523809552192687988,0,True,False,False,76561197999507996,473,24,22,22,22,1601679852,,
7,76859583,english,gud,1601556693,1601556693,True,0,0,0,0,True,False,False,76561198004897737,36,5,323,31,292,1601562700,,
8,76773486,english,THIS IS NOT A DRILL YOU CAN USE A UGANDAN KNUCKLES LIVE2D AVATAR,1601401318,1601401318,True,2,2,0.489961624145507813,0,True,False,False,76561198300487938,171,21,993,993,308,1601882512,,
9,76715748,english,Really good,1601306119,1601306119,True,0,0,0,0,True,False,False,76561198320717986,24,4,834,22,815,1601308988,,
10,76704664,english,It never gave me an option to import my own models no matter where I looked.,1601289564,1601289564,False,0,0,0.433070838451385498,0,True,False,False,76561198303816903,5,1,316,14,310,1601289585,,
11,55202411,english,"[quote]If you would like to read more of my reviews, check out and follow the [url=https://store.steampowered.com/curator/27264611/] 𝓕𝓾𝓷𝓴𝔂 𝓙𝓪𝓵𝓪𝓹𝓮𝓷𝓸𝓼 curation page [/url] as well as [url=https://steamcommunity.com/groups/FunkyJalapenos] joining the Steam group[/url], feel free to say Hello to the community on the Discord server! [/quote]

I use Facerig when once and a while on my Twitch channel and it was a decent thing to jazz up a stream every now and then. However I need to state that if I didn't get this in a humble bundle some years ago, I would probably not buy this. This is really just a novelty that would wear thin after messing around with it on a weekend. You might get more mileage if you are a streamer or making Youtube videos but even that is stretching it. This gets a weak thumbs up, wait for a bundle or a sale if you really want to mess with it.",1569004161,1601283312,True,11,3,0.643195748329162598,0,True,False,False,76561198002302509,5351,183,23165,0,23165,1504073138,,
12,76686611,english,I love this it works amazing and i like the props like a headset,1601251515,1601251515,True,0,0,0,0,True,False,False,76561199013535183,10,3,1309,1309,676,1601659270,,
13,76661657,english,works perfectly no issues,1601218784,1601218784,True,0,0,0,0,True,False,False,76561198051359847,25,1,1256,62,1193,1601385795,,
14,76585122,english,"does the good thing, picks up the face well",1601110636,1601110636,True,0,0,0,0,True,False,False,76561198045027750,67,1,211,53,184,1601113475,,
15,76583368,english,"FaceRig is absolutely, hands dow, the most fun you can have with your clothes on.
Already looking forward to the follow up, Animaze.",1601107837,1601107837,True,0,0,0,0,True,False,False,76561199075417043,2,1,213,46,180,1602100029,,
16,76578939,english,"You can't even customize your own character.
Why $15? Make that like $5 MAX.
DOOODOOO",1601100320,1601100320,False,5,0,0.52173912525177002,0,True,False,False,76561198214390233,24,1,32,32,32,1601001230,,
17,76531367,english,it's great if you want to video chat while still remaining anonymous,1601035963,1601035963,True,2,0,0.545454561710357666,0,True,False,False,76561198120898798,41,1,2577,47,2530,1601863063,,
18,76516959,english,I really like this awsome app so much.,1601007889,1601007889,True,0,0,0,0,True,False,False,76561198165537821,5,3,7564,900,6664,1601649725,,
19,76515101,english,Yes.,1601004357,1601004357,True,0,0,0,0,True,False,False,76561198127045046,128,15,4519,1818,3028,1602096973,,
20,76469698,english,"Installs a bunch of stuff (virtual drivers, etc), then when uninstalled leaves all that crap behind. It's pretty much paid for malware.",1600936565,1600936587,False,1,0,0.449766337871551514,0,True,False,False,76561198043469907,166,30,40,0,40,1600880429,,
21,76467713,english,Amazing tool for videos and calls,1600932005,1600932005,True,0,0,0,0,True,False,False,76561198131495660,40,7,432,0,432,1600313886,,
22,76458239,english,my facerig wont start launching,1600910885,1600910885,False,2,0,0.545454561710357666,0,True,False,False,76561199092870550,0,1,131,1,131,1601027841,,
23,76439212,english,Broke my webcam,1600882771,1600882771,False,0,1,0.472440958023071289,0,True,False,False,76561198175237763,101,4,8,0,8,1600875845,,
24,76422939,english,"This is an amazing software a little over priced but still you get so much! I doof around with it alot.

Graphics 8/10
Price 7/10
Gameplay 9/10
Overall 9/10",1600861566,1600861566,True,0,0,0,0,True,False,False,76561198826494014,53,6,1367,36,1330,1601748380,,
25,76390474,english,its fun u should get a good quality camera/webcam before purcahsing tho,1600797954,1600797954,True,0,0,0,0,True,False,False,76561198143851031,55,5,1196,0,1196,1600797895,,
26,76359456,english,"lol
",1600740521,1600740521,True,0,0,0,0,True,False,False,76561198964574567,8,2,2154,0,2058,1600876639,,
27,76326301,english,Middle aged Weaboos turning themselves into anime girls.,1600688958,1600688958,True,2,5,0.493975937366485596,0,True,False,False,76561198298752434,71,64,362,7,246,1601123145,,
28,76283442,english,"Luppet is a million times better.

Also the app has been abandoned by the developers.",1600613305,1600613305,False,4,0,0.467496544122695923,0,True,False,False,76561198274484180,172,36,353,0,353,1592250445,,
29,76260809,english,Oml this is an absolutely fascinating software! I love this and recomend this to anyone wanting to play around with L2D,1600577786,1600577786,True,1,0,0.523809552192687988,0,True,False,False,76561198007618853,108,5,794,134,71,1602036624,,
30,76254498,english,"I use FaceRig to create ESL learning videos for use in Chinese schools. I love it, the kids love...schools love it! It is super simple to use. Just learn the control panels and go.",1600566174,1600566174,True,0,0,0,0,True,False,False,76561199084127560,1,1,626,0,626,1599683707,,
31,76235250,english,this good for stream on twitch yes yes,1600536394,1600536394,True,0,0,0,0,True,False,False,76561198332354229,29,14,228,8,187,1601236031,,
