,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,76365207,english,One of the best games ever.,1600754092,1600754092,True,0,0,0,0,True,False,False,76561198097261260,193,18,79945,5776,73558,1601951659
1,75235202,english,One of the best games ever made. I would lose a quart of blood every time I jerked off if that was required to play this game.,1598900008,1598900008,True,0,0,0,0,True,False,False,76561198127433519,17,1,3990,0,3943,1598903565
2,75149580,english,The greatest strategy game ever,1598768447,1598768447,True,0,0,0,0,True,False,False,76561198316703110,8,2,82377,35,81236,1601754550
3,73328477,english,Jogo há 10 anos,1595796221,1595796221,True,0,0,0,0,True,False,False,76561198167167738,8,2,656,0,603,1600800661
4,73024793,english,the best incarnation of this classic by far!,1595288746,1595288746,True,0,0,0,0,True,False,False,76561198111130572,8,1,10946,0,10627,1597095940
5,72742989,english,Addictive,1594833496,1594833496,True,0,0,0,0,True,False,False,76561198066244632,8,1,74214,0,68424,1600293439
6,71827995,english,Best game ever,1593631236,1593631236,True,0,0,0,0,True,False,False,76561198030754798,46,3,9318,0,8266,1594841154
7,70402484,english,"CIV IS THE BEST EVER!!!!!  Okay mabey metroid or zelda are better, but CIV!!!!!!",1591469522,1591469522,True,0,0,0,0,True,False,False,76561198038367596,10,2,6163,0,6159,1591470346
8,70248967,english,Best game ever,1591206199,1591206199,True,0,0,0,0,True,False,False,76561198012503347,61,4,78355,0,78355,1591206188
9,67267677,english,I've played for 605 hours,1586831661,1586831661,True,0,0,0,0,True,False,False,76561198097898605,12,1,42657,0,36357,1588192341
10,66387573,english,Best strategy game ever...!,1585791477,1585791477,True,0,0,0,0,True,False,False,76561198036262812,9,1,464387,0,464354,1591120243
11,65106157,english,"Steep learning curve and utterly addicting. It's the first Civ entry I've played, and until so, never understood ""Just one more turn."" Now I do.",1584299668,1584299668,True,0,0,0,0,True,False,False,76561197971482448,24,1,44640,0,21115,1600195956
12,63939739,english,"Not just the best version of Civ, but it has the Next War mod with domed cities, Bio warfare, and huge war robots.",1582386132,1582386132,True,0,0,0,0,True,False,False,76561197996173050,88,3,1711,0,1711,1582385982
13,63302666,english,oldy but hey you can kill people,1581376629,1581376629,True,0,0,0,0,True,False,False,76561198872080087,16,4,3343,0,2582,1585775773
14,61648553,english,"Probably still the best version of Civ, even after all these years.",1578695449,1578695449,True,0,0,0,0,True,False,False,76561198023063202,43,1,19005,0,19005,1578695493
15,60743953,english,The best!,1577532024,1577532024,True,0,0,0,0,True,False,False,76561198089539007,140,2,1039,0,797,1577623108
16,60695074,english,"This is a 32 bit game and if you update your OS to a 64 bit system only like Mac OS Catalina, it will stop working.

Solution, spend money on parallels or dual boot your PC to old mojave os.",1577475466,1577475466,True,0,0,0,0,True,False,False,76561198018895529,12,1,4338,0,4066,1583029507
