,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,timestamp_dev_responded,developer_response
0,75283661,english,"This game saved my life.

I am 27.

My ex-wife and I have a daughter together, and adopted our son together. They are now both 4 years old.

When we were going through our separation, I found myself lost and miserable. I was self destructive. I got so mad one day from everything spiraling out of my control that I punched some concrete in a moment of overwhelming emotion. That caused me to break my 5th metacarpal in my right hand... my working hand... my games hand.. the hand that I held and carried my children to bed with.. The hand I desperately needed to make sure I could continue to provide.

After learning of the severity of my self-inflicted damage, I was borderline suicidal. Keep in mind that just a few months before this, I was the happiest man with no history of depression or anxiety. I have never had fits of rage, or been one to break down and cry, but I was in a low spot that just really buried me from being able to see the light on the other side.

Having nothing better to do, I searched for a game I could play, ONE HANDED while I recovered. I somehow stumbled upon this game and read some of the reviews. I decided that it had to be worth a shot... I must admit, I didn't beat the game, or play nearly as long as some of you. In fact, I may have only played this game a day or two.. With that being said, after doing so, I had a new found joy and hope for life. I was able to put behind me the pain and suffering that had been cast over me. I was able to experience other peoples joy and happiness. I was able to see the fruits of my ""labor"". I relaxed for 5 ♥♥♥♥ing minutes to this music long enough to realize that I was going to be okay.

After coming to that realization, I turned the game off, and I went back to work. It hurt my hand like hell but I was motivated. I stopped feeling so damn sorry for myself, and I became the father I needed to be in that moment, not the weak boy I was behaving as.

Today, I am close friend with my kids mother. We don't fight, or argue, or say hurtful things to each other. We are parents, and friends.

I now have 3 kids. My third child is, wait for it, ALSO 4 YEARS OLD. The woman I am with was going through a very similar situation at the time of my own separation, and we just stumbled in to each others life unexpectedly. We have been in a relationship for a year now, and are very happy together.

Moral of the story, you never know what life holds in store for you, and if I would have given up when all the odds were stacked against me, I wouldn't be where I am today. This silly little game helped me realize that.

Thank you

",1598981424,1598981424,True,107,25,0.797506630420684814,0,True,False,False,76561198409905146,14,3,6811,0,6811,1598644188,,
1,75107761,english,amazing fishing game so realistic,1598703913,1598703913,True,0,0,0,0,True,False,False,76561199023025071,7,1,6816,53,6145,1601248584,,
2,73798564,english,,1596607530,1596607530,True,24,2,0.68561863899230957,0,True,False,False,76561199012745344,46,19,351,0,343,1597764727,,
3,71906257,english,Super chill game.,1593724791,1593724791,True,0,0,0,0,True,False,False,76561198212828285,169,4,13053,0,7605,1595412531,,
4,70830392,english,"It has it's minor glitches, and I am finding some parts very difficult to figure out why I am being docked XP for fishing with gear that is even a bit too light for the fishing I am doing. I wish there was a guide on optimal gear setup for fishing in different areas so that it was easier to get max XP when you go fishing. Other than that, I am loving this game. I just started, and when I find myself playing, I am immersed for HOURS until I realize how long I have been playing. Also, a guide to where the best fishing spots for each type of fish would be nice. Even in the real world you have a bit of prior knowledge of where to fish before you head out.",1592232577,1592232577,True,0,0,0,0,True,False,False,76561198037042401,13,1,5534,0,2595,1592943675,,
5,69798693,english,"This game far surpasses most fishing simulator games. When I first played I though for sure it would be just another arcade-ish game. I was VERY wrong. Many things are near perfection. For example, Weather matters, Temperature matters. Other things that are realistic include the following:
1. The right lure/bait for the right fish.
2. when retrieving your lure, the right action matters. Walking, popping, stop and go, slow retrieve etc.
3. If you do not have the correct license, you will be fined!
4. You can snag your line on logs and rocks.
5. Even the color of your lure can make a difference.
6. If you're in a kayak and you hang into a decent fish, be prepared to go for a ride!
Now there is also some items that the game misses:
1. You can not tangle lines with other players (this is a good thing at times)
2. You need to mount specific reels to certain rods. (sometimes you need to add a casting reel instead of allowing you a spinning reel) 

Overall, the scenery is beautiful, The sound effects work are terrific. It's a great, relaxing fishing sim that will also prove to be challenging at times. If you're looking for a realistic fishing sim, I recommend this one. 8/10",1590436414,1590436414,True,0,0,0,0,True,False,False,76561198163834595,455,73,7075,0,3745,1593960882,,
6,69395233,english,"i love the game  alot
",1589850724,1589850724,True,0,0,0,0,True,False,False,76561199057070913,0,1,6302,0,1024,1593161211,,
7,29463403,english,Is ok.,1485268997,1585565458,True,0,0,0.501227200031280518,0,True,False,False,76561198147500868,60,11,75166,0,7105,1600415163,,
8,60988146,english,Graphics brilliant. Game play hard at first for a newbie to fishing but you quickly learn to play. I would be happy to recommend this sim to anyone.,1577798530,1577798530,True,3,0,0.565217375755310059,0,True,False,False,76561199007526541,3,4,124475,7417,2989,1601844431,,
9,60950106,english,it would be nice if there was more info about rods so you know what rod to use were with what reel,1577749498,1577749498,True,0,0,0,0,True,False,False,76561198008980706,49,4,2714,0,788,1596097660,,
