,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,timestamp_dev_responded,developer_response
0,77060310,english,I like this game.,1601871071,1601871071,True,0,0,0,0,True,False,False,76561198100589987,97,1,245222,6501,245192,1601871686,,
1,77055799,english,its good,1601862292,1601862292,True,0,0,0,0,True,False,False,76561198884866658,13,8,223,223,223,1601862270,,
2,77048938,english,One of my favorite Total Wars games made even better in the definitive version.,1601849450,1601849450,True,0,0,0,0,True,False,False,76561198035893826,83,1,2217,356,1861,1601870964,,
3,77048799,english,"fun game to play, lots of history",1601849216,1601849216,True,0,0,0,0,True,False,False,76561198042666878,34,3,759,11,759,1601849160,,
4,77047256,english,It's one of the best!!!,1601846676,1601846676,True,0,0,0,0,True,False,False,76561198154658084,21,1,4058,0,4058,1508646084,,
5,77042747,english,Very good and exciting. Would reccomend!,1601839920,1601839920,True,0,0,0,0,True,False,False,76561199088917810,1,1,6163,2106,6110,1601843323,,
6,77040448,english,this f#cking game sucks crashes with a runtime error and cant even f#cking  find a solution for it when i start it up  few months agos it was working well and fine and it was awsome now its f#cking broken  and cant even work anymore,1601836904,1601837203,False,0,0,0,0,True,False,False,76561198263957548,10,1,8769,6,8769,1601835573,,
7,77024962,english,Good older singleplayer game,1601817734,1601817734,True,0,0,0,0,True,False,False,76561198076227931,41,3,5415,360,5350,1601847297,,
8,77001708,english,"Fun game, especially the Teutonic Campaign",1601779678,1601779678,True,0,0,0,0,True,False,False,76561198197067354,16,4,8979,449,8979,1601693154,,
9,76996733,english,"I always loved this game, its a great game. I 100%",1601770444,1601770444,True,0,0,0,0,True,False,False,76561199094168613,7,3,538,538,339,1601860732,,
10,76996379,english,Total War has never made a bad game.,1601769829,1601769829,True,0,0,0,0,True,False,False,76561198256898136,18,3,17762,184,17635,1601867349,,
11,76995164,english,one word. *SICILY*,1601767697,1601767697,True,0,0,0,0,True,False,False,76561198993451260,19,5,875,875,749,1601838949,,
12,76985602,english,20 year old game still more fun than than the new remakes,1601753569,1601753569,True,1,0,0.510489523410797119,0,True,False,False,76561198021872363,62,2,14266,805,13991,1601845414,,
13,76969155,english,All I'm going to say: better than three kingdoms. Cheaper too!,1601732846,1601732846,True,0,1,0,0,True,False,False,76561198053075766,500,1,2370,271,2250,1601871607,,
14,76967876,english,Great Game,1601731192,1601731192,True,0,0,0,0,True,False,False,76561198028233401,15,1,1093,557,997,1601839991,,
15,76963732,english,Honorable sequel but it never topped Rome Total War for me.,1601725697,1601725697,True,0,0,0,0,True,False,False,76561198137702685,1529,207,1602,0,1602,1507405879,,
16,76951915,english,"Allways wanted to murder your way through Europe? Rid the world of the bloody English or those annoying Byzantines? Look no further! This game is really straightforward in an oldschool way, while maintaining it's satisfactory gameplay. I personally love the middle ages so even in it's old age my favorite Total War game.",1601706805,1601706805,True,0,0,0,0,True,False,False,76561198031922107,36,1,1601,462,1370,1601721125,,
17,76938969,english,Its pretty good,1601683385,1601683385,True,0,0,0,0,True,False,False,76561198170158467,30,2,12123,152,11971,1601845677,,
18,76931773,english,THE BEST GAME!YOU NEED TO PLAY THIS AND OTHER TOTAL WARS IF YOU ARE A STRATEGY-MEDIEVAL GUY,1601671537,1601671537,True,0,0,0,0,True,False,False,76561198811091282,18,13,3276,0,3276,1588011152,,
19,76928619,english,"this game be great, all that melee and stabby stab. mod it and have an even better time",1601667342,1601667342,True,0,0,0,0,True,False,False,76561198870369669,57,33,2777,17,2777,1601034222,,
20,76899873,english,"Great game with superb strategy elements!! Great for anyone who loves the time period.
",1601624501,1601624501,True,0,0,0,0,True,False,False,76561198030366120,9,1,7554,545,7009,1601795517,,
21,76889562,english,Old but gold.,1601604197,1601604197,True,0,0,0,0,True,False,False,76561198025763681,81,8,35133,1388,34938,1601857021,,
22,76886030,english,ITS GOOD,1601596867,1601596867,True,0,0,0,0,True,False,False,76561198304231125,51,4,775,164,610,1601606971,,
23,76885722,english,good,1601596161,1601596161,True,0,0,0,0,True,False,False,76561198958728208,15,2,1426,1426,524,1601837374,,
24,76884368,english,I really enjoyed sending troublesome relatives on dangerous voyages.,1601593280,1601593280,True,0,0,0,0,True,False,False,76561198061461048,64,1,15554,0,15554,1591111278,,
25,76861355,english,MY FAV TOTAL WAR GAME I JUST WISH THEY WOULD BRING NUMBER 3 OUT,1601559400,1601559400,True,0,0,0,0,True,False,False,76561197990232994,1038,104,1170,0,1170,1590005049,,
26,76852427,english,"Good Good 
",1601542186,1601542186,True,0,0,0,0,True,False,False,76561199076200099,20,1,2271,1055,2198,1601545391,,
27,76848586,english,the game is awsome,1601534321,1601534321,True,0,0,0,0,True,False,False,76561198031647607,6,2,14201,300,14123,1601616572,,
28,76840831,english,"Greatest Total War in the series no cap

best part is garrisoning cities with cavalry and charging all of them out when youre being sieged",1601518264,1601518264,True,0,0,0,0,True,False,False,76561198109049384,94,1,15584,1631,15197,1601871142,,
