,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,timestamp_dev_responded,developer_response
0,77160849,english,it is a lot of fun i have done 215 hours of this game it is so relaxing,1602046291,1602046291,True,0,0,0,0,True,False,False,76561199020683120,14,1,12914,266,12914,1602035097,,
1,77159886,english,I love this game so much.,1602044331,1602044331,True,0,0,0,0,True,False,False,76561198442487113,2,1,3279,3279,3199,1602049143,,
2,77159476,english,awsome game,1602043532,1602043532,True,0,0,0,0,True,False,False,76561198830388696,13,1,6687,3016,6631,1602049673,,
3,77159252,english,good,1602043085,1602043085,True,0,0,0,0,True,False,False,76561198250386270,10,3,507,507,507,1602043067,,
4,77158778,english,"Haha cow go ""Moo""",1602042118,1602042118,True,0,0,0,0,True,False,False,76561198020561401,112,8,20308,42,20308,1602041926,,
5,77156403,english,Honestly just relaxing to play and a lot of fun. Website has a ton of mods to download to keep the game interesting,1602037496,1602037496,True,0,0,0,0,True,False,False,76561198374650204,116,1,2117,1430,2117,1601781873,,
6,77150899,english,"great game all around
",1602026768,1602026768,True,0,0,0,0,True,False,False,76561198953468560,2,1,269,279,248,1602045038,,
7,77144544,english,"its the best
",1602016120,1602016120,True,0,0,0,0,True,False,False,76561198823784237,10,1,2495,2107,2492,1602016844,,
8,77142057,english,ye,1602012455,1602012455,True,0,0,0,0,True,False,False,76561199093016480,1,1,1038,1030,1023,1602022303,,
9,77137854,english,amazing realistic game with wonderful grachics. chill game,1602006686,1602006686,True,0,0,0,0,True,False,False,76561198810929526,40,3,4644,967,4560,1602012244,,
10,77136993,english,I love this game,1602005507,1602005507,True,0,0,0,0,True,False,False,76561199048457181,2,2,6757,692,6688,1602047342,,
11,77136130,english,Yeah I like it,1602004364,1602004364,True,0,0,0,0,True,False,False,76561198386051295,18,5,30143,0,30143,1600304304,,
12,77127057,english,awesome game,1601992048,1601992048,True,0,0,0,0,True,False,False,76561198812630889,32,2,14710,1587,14708,1601995912,,
13,77126401,english,Best game ever not regretting driving moped in the rain to get a paysafe to buy it :),1601991068,1601991068,True,1,0,0.523809552192687988,0,True,False,False,76561198352987579,26,1,15051,903,15051,1601735432,,
14,77119817,english,:),1601979236,1601979236,True,0,0,0.476190477609634399,0,True,False,False,76561198092182256,141,5,772,676,606,1602049089,,
15,77119448,english,Great way to kill a few hours,1601978487,1601978487,True,0,0,0,0,True,False,False,76561198257066584,22,3,1748,1748,1405,1602049147,,
16,77117454,english,"Great game and have sunk 1000+hrs into it on the Xbox one and PC combined.
Small issues with things like the pallet fork prongs and pallets themselves but really only little problems.
Overall a solid game and dare i say the best in the series so far.",1601974159,1601974159,True,0,0,0,0,True,False,False,76561199054190980,10,1,9699,8022,9476,1602047767,,
17,77107159,english,very fun,1601951946,1601951946,True,0,0,0,0,True,False,False,76561198271832946,22,1,5807,574,5315,1602044716,,
18,77104699,english,fun,1601947007,1601947007,True,0,0,0,0,True,False,False,76561199072949232,1,1,1426,143,1292,1601955349,,
19,77102334,english,good as game,1601942210,1601942210,True,0,0,0,0,True,False,False,76561199064851142,4,1,13237,1374,13226,1601951981,,
20,77100937,english,NIGGERS,1601939345,1601939345,True,0,0,0,0,True,False,False,76561198959716990,15,2,1611,1,1611,1601939978,,
21,77099563,english,"idk
",1601936597,1601936597,True,0,0,0,0,True,False,False,76561199091382414,4,1,459,312,379,1602025943,,
