,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,77060903,english,"This is a really fun collection but I must warn people, if you're planning on playing co-op, dont. It has horrendous lag and stuttering and 343 has done nothing to fix the insane bs affecting both cutscenes and gameplay. The actual pvp multiplayer is just fine but the game shouldn't have this issue nearly a year after launch.",1601872261,1601872261,False,0,0,0,0,True,False,False,76561198932615739,70,6,973,973,973,1601872052
1,77059566,english,dope lol,1601869533,1601869533,True,1,0,0,0,True,False,False,76561198972430297,5,2,836,271,836,1601866923
2,77059504,english,"its halo man, everyone's played you know what you're getting",1601869417,1601869417,True,1,0,0,0,True,False,False,76561198018357851,112,2,411,411,411,1601869401
3,77059486,english,"you wear a mask no matter what game you play, it makes you into batman.",1601869392,1601869392,True,0,0,0,0,True,False,False,76561198056615455,108,11,1323,382,1323,1601426901
4,77059441,english,"DUH, why no?",1601869306,1601869306,True,0,0,0,0,True,False,False,76561198068977277,57,4,680,65,620,1601872876
5,77058990,english,"Man i didnt expect this to port to Pc i always have been a pc sucker for the past years and not a console guy games like persona and mcc?       a wise protein man once said ""I'VE BEEN WAITING FOR THIS""",1601868398,1601868398,True,0,1,0,0,True,False,False,76561198814265284,9,9,44,44,20,1601872185
6,77058952,english,"10/10 epic pog
",1601868333,1601868333,True,0,1,0,0,True,False,False,76561198217527505,137,9,271,271,271,1601868319
7,77058940,english,<3 the best,1601868301,1601868301,True,1,0,0,0,True,False,False,76561198258727181,126,10,754,15,754,1601871882
8,77058419,english,the same feel as the classic xbox editions in the 2000s but with a modern twist,1601867328,1601867328,True,1,0,0,0,True,False,False,76561198383898560,14,2,763,732,763,1601866772
9,77058142,english,love it,1601866781,1601866781,True,2,0,0.528795838356018066,0,True,False,False,76561199061228179,10,1,6167,322,6167,1601856872
10,77057479,english,"Brought my back to the good ole' days.

10/10",1601865464,1601865464,True,0,0,0,0,True,False,False,76561198048656902,493,39,2573,344,2573,1600921800
11,77057385,english,"You know it. You love it. Its Halo. If you don't know it and you are even mildly interested in First Person Shooters, give it a spin. Aside from mild complaints about graphics and whatnot, the PC port holds up astonishingly well to modern gaming standards. Get in here and finish the fight with us.",1601865278,1601865278,True,0,0,0,0,True,False,False,76561198186293121,52,1,2677,862,2642,1601867224
12,77057275,english,simply the greatest campaign FPS gaming experience of your life. Saddle up and give 'em hell.,1601865112,1601865112,True,0,0,0,0,True,False,False,76561198816418699,18,2,1048,1073,958,1601870445
13,77057135,english,its halo,1601864831,1601864831,True,0,0,0,0,True,False,False,76561198069027903,73,3,1271,256,1258,1601865639
