url,types,name,desc_snippet,recent_reviews,all_reviews,release_date,developer,publisher,popular_tags,game_details,languages,achievements,genre,game_description,mature_content,minimum_requirements,recommended_requirements,original_price,discount_price
https://store.steampowered.com/app/756950/Idle_Champions__Calliope_Force_Grey_Pack/,app,Idle Champions - Calliope Force Grey Pack,,,,"Nov 17, 2017",Codename Entertainment Inc.,,"Strategy,Action,Adventure,Free to Play,Indie","Single-player,Downloadable Content,Steam Achievements,In-App Purchases",English,,"Action,Adventure,Free to Play,Indie,Strategy", About This Content Get a special Force Grey boost with a full set of rare items and an exclusive Golden Epic for Calliope! We'll also toss in 5 Gold Chests to power you up even more! This pack includes: Ornate Lute of Ballads (Golden Epic) Broadhead Crossbow Bolt (Rare) Triple-Clasped Cloak (Rare) Studded Leather Bracers (Rare) Magically Enhanced Satchel (Rare) Sturdy Leather Eyepatch (Rare) 5 Gold Chests ,,,,$9.99,
https://store.steampowered.com/app/756800/Contraband_Police/,app,Contraband Police,"How much contraband do you think can be smuggled in one truck on a third-world country border? As a contraband police inspector, do your best to find out!",,,Coming soon,Crazy Rocks," PlayWay S.A., PlayWay S.A.","Simulation,Indie,Singleplayer,Realistic,First-Person,Management,Atmospheric,Survival,Action,Story Rich,Inventory Management,Relaxing,Memes,Dark Comedy,Destruction,Adventure,Funny,Physics,Economy,Resource Management",Single-player,English,,"Indie,Simulation"," About This Game  How much contraband do you think can be smuggled in one truck on a third-world country border? As a contraband police inspector, do your best to find out!  Validate documents Check driver's license, transport checklist and other documents to find any discordance with the actual state. Allow or deny passing the border.  Examine vehicle for technical faults Be alert for any deviations from the norm like spilled oil, broken lights or bald tires. Write a ticket suitable for the failures found. You are responsible for allowing faulty cars pass the border.  Discover contraband Search for smuggled alcohol, drugs, weapons and other illegal objects hidden inside car parts or cargo. Decide whether to report found contraband or take a bribe and let the smuggler through.  Upgrade your post Gather police respect for your great work or loose it for mistakes. Spend your points on post upgrades like new inspection tools, barriers, K-9 dog and many more.  Complete different tasks each day New day can bring some unexpected restrictions for vehicles like max emission of exhaust gases, total weight or banned cargo. ",,,,,
https://store.steampowered.com/app/755550/True_Mining_Simulator/,app,True Mining Simulator,No more cubes,,,2018,Boolba Entertainment,"Boolba Entertainment,Boolba Entertainment","Indie,Simulation","Single-player,Steam Achievements,Profile Features Limited 
									",English,,"Indie,Simulation"," About This Game  True Mining Simulator will teach you to mine. We’re not talking copper, iron or coal. We’re talking money. Real money, made straight out of nowh… out of electricity. You will like it. What do you even mean? Cryptocurrency . Cryptocurrency is the kind of currency that exists only in the digital realm, arousing controversies around it and is constantly on a drastic rise (or fall). You’ve heard all about it. Everybody’s heard about it, yet few know what’s what. Basically that’s the reason we are making this game. True Mining Simulator is a full fletched simulator of a miner. A miner is a person who mines cryptocurrency . Miners purchase video cards, assemble stands and use those to earn valuable coins, which they then sell. Or keep them, hoping to get a better exchange rate. This is what you are going to be doing. Buy hardware, farm coins, sell coins, buy more hardware. And that’s it? Doesn’t look too … Ain’t it too simple? Oh yeah? Think about this for a moment: hardware must at least pay off; it must not become outdated while being delivered; 8 graphics cards in one stand must not overheat; these stands must be assembled properly; you must choose you farming station correctly, and there are plenty to choose from; if you spend all your money on hardware, what are you going to eat? Basically, this is the reason we are making this game. Mining is like chess: simple on the outside, complicated on the inside. And we suggest you figure out all mining intricacies on your own, without having to buy 10 video cards, $500 each. Okay, what else do you have in the simulator? Everything you need for a full immersion: farms must be assembled with your own hands; day\night cycles, respective division of events; fatigue, hunger (must eat and rest); ability to get employed (trust us, you will need it); you can move to a more spacious place, if you wish to do so … and if you can afford it; you can be burglarized, your house can burn down (nice, right?); you have a unique chance to forget your wallet password and lose everything. Sounds interesting! When will the game be out? As soon as possible. The game is in its active development stage. You can facilitate the process by supporting us. Follow us, read, discuss and stay tuned for updates.",,"Minimum:,OS:,Windows 7,Processor:,2 core CPU,Memory:,2048 MB RAM,Graphics:,Integrated graphics,DirectX:,Version 9.0c,Storage:,1 GB available space","Recommended:,OS:,Windows 10,Processor:,2 core CPU,Memory:,4096 MB RAM,Graphics:,NVIDIA GTX // RADEON HD/RX,DirectX:,Version 11,Storage:,1 GB available space",,
https://store.steampowered.com/app/754500/Plutocracy/,app,Plutocracy,"The business simulator Plutocracy gives you the chance to become wealthy and powerful to take control over the world. Where policy, laws, officials and people are only the chess pieces how do you play your game?",,,Jun-19,Redwood,"Redwood,Redwood","Early Access,Strategy,Simulation,Early Access,Economy","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Steam Achievements,Steam Workshop,Steam Leaderboards,Steam is learning about this game 
									","English,German,Bulgarian,Portuguese - Brazil,Portuguese,Russian",,"Simulation,Strategy,Early Access"," About This Game  About the game Plutocracy is a 2D strategy that will immerse you into the era of the Gilded Age of the rise of big business and the first billionaires. Your path gets started by investing and capturing the most profitable companies. Achieve financial wealth by buying out companies, building monopolies which in turn help you to lobby laws and politicians, corrupt officials. You’ll be able to make political intrigues as well as play the game of big business by putting sticks in the wheels. In front of you will open tens of years of history with hundreds of significant events. You can influence the aftermath World Wars, make an economic crisis by using the earned money and influence. Build the most powerful financial empire and become a shadow ruler of the world!  A plutocracy is a form of society defined as being ruled or controlled by a function of wealth. The main idea of the game is to show the interaction of the economy with politics and how influential capitalists make an impact inside and outside politics using the money. In this game, a player can immerse himself in the real world of capitalists with all the vicissitudes and intrigues as well as feel how the player's decisions change the economies of countries where politicians become his puppets. Every law or official decree has an end customer! Achieve the game’s goals in many ways! Only you decide whether to compete openly or secretly. Whether to make a bet on the economic development of their companies or investment in them with the support of influential officials and politicians? To be the richest and influential person in the world and make peoples’ lives better by changing the political course of continents? Every way has its consequences! The responsibility of your choices will be going up with every level of the game. Scalability is what we’re seeking while designing our game. In the beginning, a little depends on you because you don’t start the game as a president or a billionaire. You build everything from the scratch. Gradually the workers of your companies, their families, industries, regions, and even countries and continents begin to depend on you. You will start feeling the growth of your responsibility for every decision you make. The game has a real dynamic mechanism of economic companies and the country. Having achieved the scale levels, you’ll be able to influence prices, GDP, unemployment and etc of the whole country and also of the whole world. We know how excessive micromanagement is tiresome so we’ve made both manual and automatic process management inside companies. You can hire directors and they’ll take care of all the routine processes! Make the most suitable strategy for the current realities of the market and delegate management tasks to the Board of Directors. In the game, you can modify the production plan for workers, increase or decrease working hours and wages. It’ll lead to a reduction of administrative expenses and a wage-fund but at that same time, it’ll instigate a strike and an increased level of an accident in a company.  All the staff will be in a rage,  trade unions will take up arms against you but your profitability will go up! A strike will influence the production volume, companies will start seeing losses. Will you meet the demands of the demonstrators or disperse the crowd of the dissatisfied people with help of corrupt cops? Will you bleed the workers dry or inspire the staff to upgrade their skills? Every way has its consequences!  It’s up to you to decide!  It’s entirely in your hands! Having issued stocks and bonds, you’ll be able to capitalize on your company and conduct IPO. Make monopolies and trusts, expand the areas of influence and capture market shares as well as take over smaller companies.  You have different ways of competing. Make a relationship with the companies' owners and collude with them, merging into cartels. Together, you can drop the prices of products on the market and squeeze out competitors and then make a monopoly by which you can raise the price of three folds! Organize strikes and sabotage at the companies of competitors, disrupt supplies and block logistics. The market is a living self-organizing matter in which the functioning of the industries is interrelated. For instance, you can buy out all transport companies in the region and increase the supply price for competitors several times as Rockefeller did it in the period of the seizure of the petroleum market. No one will want to work in the minus! As a result, competitors will be forced to sell their companies to you sooner or later.  Will you have enough resources for that? Or you’ll be acting through loyal politicians and destroy the competitors by laws? Choose any of the 14 industries and take over the market. Destroy competitors, be ruthless on the way to achieving your goals! You can develop and improve the infrastructure of your companies because new technologies increase income! Build new buildings, expand the plan and get higher dividends. The game will give you the right to choose to be able to become economically powerful! In the game,  the executive branch consists of officials of the federal and local levels. The governor is in charge of the state welfare, the treasurer of finance, the prosecutor and the police of law and order, the judges make decisions. During the game, you’ll see a simulation of the real processes of passing laws at the region and the entire country level. We tried thoroughly to simulate the political system of the United States. Politicians will be sorting out significant issues of financing, taxation, management, business, education, healthcare, migration, social programs and other. There is an opportunity to hire political lobbyists who will be able to find some arguments to promote your law or an unfavorable law against your competitors. On the one hand, you may sponsor the election campaigns of politicians and they’ll help you when you in need, you may collect dirt on them and use the mass media to your advantage to not leave a chance to those who refused to be your puppets. Necessary laws will open up new opportunities for you to increase your wealth. Become a manipulator in political circles, increase your status and make relationships with influential officials and politicians. The party of Republicans and Democrats have different ideologies. So if you adopt the policy of clan capitalism, the government will have less influence on the regulation of market relations, therefore you will be able to get the support of the Republicans. For instance, you can make a monopoly and lobby through a law that reduces corporate taxes. But be careful, it can make a federal budget deficit and the whole country will take up arms against you. Greed is not always good! You must be able to find a balance between all the parties and society levels so that your monopoly doesn’t collapse like a house of cards. However, if you need bills of the democratic part such as reducing unemployment, increasing wages and other stuff, then don’t miss the opportunity to lobby through the bill to sing and adopt it! Use politicians and officials for your own goals! Will, you improve the well-being of the population or will you only take care of your well-being? It’s up to you! Capture fields of strategically important resources in other countries and provoke military conflicts through the Senate of the US Congress or the White House.  Give a loan to the parties for the military conflict, break down the economies of countries, create the financial crisis and coup d'etat to buy cheap assets! You can become the beneficiary of the most significant historical events or just create your own alternative history without wars and economic crisis. In the game, you can get used to the role of secret leaders who was creating and influencing the history. Appoint politicians and heads of states so that they unquestioningly carry out your orders. Do you need to increase the supply of unprocessed oil to your refineries? Help an ambitious politician to become the minister of the country you need and make a deal with him to get oil for a song. Become a financial support and an international banker for countries asking for need. If you want to play hard and dirty, you should use the agents of influence who are your assistants in difficult situations.  There are more than 36 unique characters, divided into 12 categories, whose hands you can fight with competitors. Make political intrigues, hidden manipulative fraud and win competitors! You have a huge set of tools: you can use force methods such as arson and accidents, bank robberies and etc as well as you can use secret and cunning methods: organize strikes and block production to competitors, industrial espionage, influence the stock market, use the services of a journalist and the mass media and so on. But be careful, every illegal action is strictly punishable by the court of justice! Well, or make sure that the judge and the state attorney are on your side… The game has something around 15,000 characters including shareholders, officials, politicians who have their own interests, fears, ambitions and other stuff that you can use to influence them. Just imagine a game world in which all the characters interact with each other, buy shares, lobby their interests, try improving their lives. Organize routes (banquet hall) and make meaningful relationships among influential people as well as give gifts, help people realize their ambitions which in turn will help you get access to huge resources. Every character can conceal a threat or access to game resources down the line. Therefore, it is necessary for you to consciously make friends! Keep in mind that every “resident” is endowed with intellect and knows how to behave and calculates what to do one step ahead. In addition, he is also connected by the threads of friendship or enmity with other characters, forming his unique network of contacts. For example, if you improve your relationship with a businessman who has two influential friends in the Congress, then your relationship with those congressmen can become much easier which will open up new opportunities later. On the other hand, you will have the risk of starting a financial war with some ""oligarch"" and his friends, if you stop getting along well with each other. Increase your social status by winning luxuries at the auction. Earn money on horse races betting on horses. The price of rare coins or paintings will go up! Don’t forget to buy houses to get annual rent; cars, yachts and planes are a measure of your luxurious life. Any property is a tool for making relationships: if someone collects rare coins or paintings so as you, then it will be easier to make friends with them because of common interests. The game starts in 1870 and continues till date. There is an inheritance system where you can leave a bequest to your heirs to go on playing for them! If one of the heirs has analytical abilities and pragmatism, then you should give a financial monopoly to him.  If you think that someone is suitable for the position of Senator of the Congress, then you should take care of his election campaign in advance. Promote your relatives in official posts, divide spheres of influence and appoint them as managers of your companies. Build a clan network and capture all strategically important resources. Be ready to meet the opposition of other clans. The most powerful families in the game will be fighting for world influence. Will you have enough the fortitude to win that fight?",,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 7 (only 64 bit), Windows 8 (only 64 bit), Windows 10 (only 64 bit),Processor:,Intel Pentium CPU G645T, 2,5+ GHz,Memory:,2 GB RAM,Graphics:,Geforce 7800, AMD HD 4600, Intel HD3000 or similiar,Storage:,1 GB available space,Sound Card:,DirectX compatible,Additional Notes:,Internet connection required for online multiplayer,Minimum:,Requires a 64-bit processor and operating system,OS:,Mac OS X 10.8.5,Processor:,Dual Core CPU,Memory:,2 GB RAM,Graphics:,GeForce GT 330M, AMD Radeon HD 5750M, Intel HD 4000 or similar,Storage:,1 GB available space,Sound Card:,Soundblaster compatible,Additional Notes:,Internet connection required for online multiplayer,Minimum:,Requires a 64-bit processor and operating system,OS:,Ubuntu 14.04,Processor:,Dual Core CPU,Memory:,2 GB RAM,Graphics:,GeForce GT 330M, AMD Radeon HD 5750M, Intel HD 4000 or similar,Storage:,1 GB available space,Sound Card:,Soundblaster compatible,Additional Notes:,Internet connection required for online multiplayer","Recommended:,Requires a 64-bit processor and operating system,OS:,Windows 7 (only 64 bit), Windows 8 (only 64 bit), Windows 10 (only 64 bit),Processor:,Quad Core CPU,Memory:,4 GB RAM,Graphics:,GeForce 560 or higher, AMD Radeon HD 5800 or higher,Storage:,1 GB available space,Sound Card:,DirectX compatible,Additional Notes:,Internet connection required for online multiplayer,Recommended:,Requires a 64-bit processor and operating system,Recommended:,Requires a 64-bit processor and operating system",,
https://store.steampowered.com/app/754050/Bomb_Bots_Arena/,app,Bomb Bots Arena,Send your Bomb Bots into online arenas or blast your friends off the couch locally in Bomb Bots Arena! Bomb Bots Arena is a pure multiplayer experience with every element of the game tailored to please competitive and casual gamers alike.,,,Q2 2019,Tiny Roar,"Tiny Roar,Tiny Roar","Early Access,Free to Play,Indie,Early Access,Action,Multiplayer,Battle Royale,Robots,Casual","Online Multi-Player,Local Multi-Player,Online Co-op,Local Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Full controller support,Steam is learning about this game 
									",English,,"Action,Free to Play,Indie,Early Access", About This Game Bomb Bots Arena is the ultimate multiplayer bombing experience! Join the fierce online competition and be the last Bomb Bot standing in matches with up to 8 players. Relive the good ol' days of local multiplayer and see the agony in your frenemies' faces when you blast them away. Select your favorite loadout before heading into the Arena and find your favorite playstyle with the following abilites:  Kick bombs across the Arena and make them stop just at the right spot to trap and stun your opponents.  Shield yourself of any harm for a brief moment but beware: The timing has to be perfect.  Build crates to block the enemy's path and to find great loot.  Jump over Bombs and other obstacles to escape deadly traps or to pressure your opponents by getting too close too fast.  Trigger your Bomb when you think it makes the most sense.  Remote Control a pesky little Bomb and chase after your rivals.  Punch and dash across the arena to stun your enemies. This game is free to play and does not feature any microtransactions that influence gameplay.,,"Minimum:,OS:,Windows Vista / 7 / 8 / 10,Processor:,2.33GHz or faster x86-compatible processor, or Intel Atom™ 1.6GHz or faster processor for netbook class devices,Memory:,2 GB RAM,Graphics:,DirectX 9.0c-compatible graphics card with 256 MB VRAM and PixelShader 3.0 support,DirectX:,Version 9.0,Network:,Broadband Internet connection,Storage:,200 MB available space","Recommended:,OS:,Windows 10",,
https://store.steampowered.com/app/753650/Due_Process/,app,Due Process,Due Process is a tactical FPS about planning and teamwork that rewards communication with teammates.,,,TBD,Giant Enemy Crab,"Annapurna Interactive,Annapurna Interactive","Action,Tactical,FPS,Multiplayer,Procedural Generation,Cyberpunk",Online Multi-Player,English,,Action," About This Game  Due Process is a tactical FPS about planning and teamwork that rewards communication with teammates, allows players to draw a ""playbook"" directly onto the map during the planning phases, and presents a novel situation each play session thanks to a bounty of procedurally generated, hand-curated maps. Play as a Bonded Unit In Due Process, the only road to victory is teamwork. Each match begins with a planning session, providing teams an opportunity to gear up, discuss strategy over voice-chat and formalize tactics by drawing directly onto the map - like a playbook. Once the round begins, combat is quick and energetic - with one team on offense and the rival team defending a structure with multiple entry points. Fresh Scenarios Each Match Due Process introduces an evolution of the FPS scenario. Maps are procedurally generated, then expertly curated by the development team for maximum fun - resulting in a novel situation within each match, whether the outcome is victory or defeat. Due Process balances the playing field by making it more about outsmarting your opponent than memorizing a map, eliminating the inherent unfairness of “map knowledge.” With visuals inspired by 90s arcade light gun games like Time Crisis, Due Process uniquely marries neon-retro aesthetics and modern gameplay innovations. "," Mature Content Description  The developers describe the content like this:  Blood, violence.  ",,,,
https://store.steampowered.com/app/753640/Outer_Wilds/,app,Outer Wilds,Outer Wilds is an open world mystery about a solar system trapped in an endless time loop.,,,TBD,Mobius Digital,"Annapurna Interactive,Annapurna Interactive","Adventure,Action,Exploration,Space,Open World","Single-player,Steam Achievements,Full controller support","English,French,Italian,German,Spanish - Spain,Japanese,Korean,Polish,Portuguese - Brazil,Russian,Simplified Chinese,Spanish - Latin America",,"Action,Adventure"," About This Game  Outer Wilds is an open world mystery about a solar system trapped in an endless time loop. Welcome to the Space Program! You're the newest recruit of Outer Wilds Ventures, a fledgling space program searching for answers in a strange, constantly evolving solar system.  Mysteries of the Solar System... What lurks in the heart of the ominous Dark Bramble? Who built the alien ruins on the Moon? Can the endless time loop be stopped? Answers await you in the most dangerous reaches of space.  A World That Changes Over Time The planets of Outer Wilds are packed with hidden locations that change with the passage of time. Visit an underground city of before it's swallowed by sand, or explore the surface of a planet as it crumbles beneath your feet. Every secret is guarded by hazardous environments and natural catastrophes.  Grab Your Intergalactic Hiking Gear! Strap on your hiking boots, check your oxygen levels, and get ready to venture into space. Use a variety of unique gadgets to probe your surroundings, track down mysterious signals, decipher ancient alien writing, and roast the perfect marshmallow. ",,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 10","Recommended:,Requires a 64-bit processor and operating system",,
https://store.steampowered.com/app/753590/Hellbound/,app,Hellbound,Classic First Person Shooter style game. Like the good old days.,,,2019,Saibot Studios,"NGD Studios,NGD Studios","Action,Indie,FPS,Gore,Violent","Single-player,Steam Leaderboards",English,,"Action,Indie"," About This Game GAMEPLAY  Hellbound is a First Person Shooter game in the vein of the classics DOOM, Quake, Duke Nukem 3D, Blood and many others.  It's GROTESQUE! Focused in action, speed and gore.   STORY  You're a huge-ass mother-f*cker killing demons in Hell.  That's it...  Actually, there's a story. But we're not revealing it yet.",,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 7 and later,Processor:,MD Phenom II X4-945 / Intel Core 2 Quad 6600,Memory:,4 GB RAM,Graphics:,AMD R7 240 GB / Nvidia GT 730 2GB / Intel HD 530,Storage:,5 GB available space","Recommended:,Requires a 64-bit processor and operating system,OS:,Windows 7 and later,Processor:,AMD FX-8320 / Intel i5-2400,Memory:,8 GB RAM,Graphics:,AMD R9 290 4GB / Nvidia GTX 770 4GB,Storage:,5 GB available space",,
https://store.steampowered.com/app/751820/Black_Future_88/,app,Black Future '88,"Black Future ’88 is a Synth-Punk roguelike 2D action Shooter. Vertically climb an always evolving procedural tower to reach the top and kill its insane owner…before your heart explodes. Shoot, slash, dash and upgrade yourself to survive the endless waves of Homicidal AI, Traps & Colossal Wardens.",,,2019,SUPERSCARYSNAKES,"Good Shepherd Entertainment,Good Shepherd Entertainment","Action,Indie,Adventure,Cyberpunk,Pixel Graphics,Rogue-like,Platformer","Single-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support","English,French,German,Russian",,"Action,Adventure,Indie"," About This Game  Black Future ’88 is a Synth-Punk roguelike 2D action Shooter. Vertically climb an always evolving procedural tower to reach the top and kill its insane owner…before your heart explodes. Shoot, slash, dash and upgrade yourself to survive the endless waves of deadly traps, homicidal AI, crazed junkies and colossal Wardens standing in your way in a stylish alternative version of 1988. The world is reeling from a nuclear cataclysm, created by Duncan, the tower architect. The First of his bombs fell in the summer of 1988, and by December they had blacked-out the sun with endless rain. We decided to stop keeping time after this, and it’s been 1988 ever since. Everything that lived through the initial attack will die in the extreme floods that followed.  These are the times after, where there are no more months, or even weeks…everything is measured in minutes left to live. Take on the mantle of one of the last remaining misfit survivors, and fight your way to the top of the tower to kill the architect and stop the endless nuclear rain. Ascend to die, and die to survive. Game Features Death Ascendant: Climb an always evolving procedural tower and fight for survival through a constant onslaught of death by fire, lasers, and slashes. Unique Synth-Punk World: Play through a unique take on a retro cyberpunk dystopia, and fight to survive through 5 distinct zones each with their own challenges. Pick Your Poison: Play as one of 5 playable characters, each with their own unique buffs- and weaknesses. Ruin Friendships: Test your wits and reflexes with a friend in couch co-op, and experience a completely unique take on the co-op roguelike. Kill the Wardens: Fight for survival by challenging the numerous unique bosses that guard each one of the game’s zones. Fog Machines and Laser Beams: Bring a gun and laser sword to a fire fight by arming yourself with a selection of the 50 unique weapons available in the game, each with their own unique effects. Evolve to Survive: The only way to survive when everything, including your own heart, is trying to kill you is to carefully boost or curse yourself by strategically choosing- and combining from 30 distinct buffs and curses. Dailies: Every day, a new challenge is generated with unique attributes that will test your mettle and allow you to see how your skills compare against other players in a global Leaderboard. Fight for not just survival, but supremacy! Ear Candy: Death never sounded so good thanks to an all killer original analog-synth soundtrack performed by Tremor Low. ",,,,,
https://store.steampowered.com/app/751630/After_the_Fall/,app,After the Fall,"From the creators of Arizona Sunshine comes an epic VR action FPS with intense co-op gameplay at its core that pits up to 4 players against a vast, hostile VR world in a raging fight for survival.",,,2020,Vertigo Games,"Vertigo Games,Vertigo Games","Action,Adventure,Gore,Violent,VR","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer","English,French,Italian,German,Spanish - Spain,Japanese,Korean,Russian,Simplified Chinese",,"Action,Adventure"," About This Game  After the Fall From the creators of the hit VR shooter Arizona Sunshine comes an epic multiplayer VR action FPS with seamless, co-operative gameplay at its core that pits up to four players against a vast, hostile VR world in a raging fight for survival. Set in the ice-covered ruins of LA nearly 20 years after the apocalypse, After the Fall combines a living, breathing VR world shared with players from all over the world, a cinematic and atmospheric campaign, action-packed solo and multiplayer gameplay, and endgame built from the ground up for VR. 2005, LA. A generation has passed since a mysterious outbreak caused by the excessive use of designer drugs birthed the terrible Snowbreed, infesting our cities and collapsing civilization. You, one of the survivors seemingly immune to the side-effects of the substances, are humanity’s last hope of resurgence. Explore the remains of a civilization ground to a halt in an alternate 1980s, craft deadly weapons and wield devastating powers with real-life movements as you develop you combat style, and join forces with players worldwide as you go head to head with relentless hordes and larger-than-life bosses in a bid to take back the city. It’s time. An Epic Multiplayer VR Shooter: Go solo or join forces in seamless co-op on a campaign through a post-apocalyptic, infested VR world from the creators of Arizona Sunshine Hell Has Frozen Over: Discover, scavenge and survive the ice-covered and Snowbreed-infested ruins of a post-apocalyptic LA ground to a halt in an alternate 1980s Larger-Than-Life Boss Fights: Survive unprecedented hordes, fight tactically to defeat Specials and think on your feet as you square off against awe-inspiring bosses Craft Your Ultimate Loadout: Craft, upgrade and mod your gear, from armor and a huge array of guns, to melee weapons and ingenious combat devices Discover Your Combat Style: Wield a huge variety of deadly weapons and devastating powers, from crowd-control to badass Snowbreed manipulation, all with real-life movements The End is The Beginning: After completing the story campaign, venture out into a living world full of events, missions, and blood-pumping encounters "," Mature Content Description  The developers describe the content like this:  This game contains the following types of mature content: Intense violence, blood, and gore (including dismemberment and decapitation of zombie-like creatures), drug references and strong language.  ","Minimum:,OS:,Windows 7 - 64 bit,Processor:,Intel i5-4590 equivalent or greater,Memory:,8 GB RAM,Graphics:,NVIDIA GTX 970 / AMD equivalent or greater,DirectX:,Version 11,Additional Notes:,VR Headset required, 2x USB 3.0 ports","Recommended:,OS:,Windows 10,Processor:,Intel Core i7 6700K equivalent or greater,Memory:,16 GB RAM,Graphics:,NVIDIA GTX 980 / AMD equivalent or greater,DirectX:,Version 12,Additional Notes:,VR Headset required, 2x USB 3.0 ports",,
