,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,77179887,english,"Usually don't enjoy strategy games butt this one is an exception! Campaign is surprisingly fun and so is the skirmish mode! 
Have not tried multiplayer since I don't want to be rekt by actual people... :)",1602079767,1602079767,True,0,0,0,0,True,False,False,76561198216926859,151,5,464,239,464,1602079629
1,77175828,english,great game to pass some time,1602073983,1602073983,True,0,0,0,0,True,False,False,76561199038303745,2,1,412,412,393,1602079183
2,77175658,english,Classic AOE gameplay <3,1602073714,1602073714,True,0,0,0,0,True,False,False,76561198030014722,56,1,7143,118,7143,1602073679
3,77158070,english,good good good old game,1602040730,1602040730,True,0,0,0,0,True,False,False,76561198095253559,24,1,474,165,474,1602040695
4,77125329,english,Always been one of the best,1601989425,1601989425,True,0,0,0,0,True,False,False,76561199048274133,1,1,1489,853,1489,1601948508
5,33242089,english,hahaha strelets hoard goes brrrrrrrr,1499192394,1601983067,True,1,0,0.523809552192687988,0,True,False,False,76561198101937089,365,23,18660,84,18660,1600944938
6,77111487,english,I love the nostalgia. Used to play for hours at a time when I was younger.,1601961376,1601961376,True,0,0,0,0,True,False,False,76561199091932578,2,1,446,446,225,1602038383
7,77100726,english,"Remember how you used to dance to ""Selling Big Bones"" in Runescape. Well this is similar, you have to keep scamming AI allies for Wave2: free st0of Pl0x.",1601938933,1601938933,True,1,0,0.504132270812988281,0,True,False,False,76561198175963875,77,3,1621,768,1270,1602056117
8,77094767,english,"Great game. Not the best strategic game you'll ever play, but it is still fun. I think it is a bit too expensive given the release date and game quality.",1601928393,1601928393,True,1,0,0.523809552192687988,3,True,False,False,76561198848153837,14,3,375,373,306,1601932593
9,77084324,english,"great game, I grew up playing this and loved it.
",1601913836,1601913836,True,1,0,0.504132270812988281,0,True,False,False,76561199008025670,4,1,2359,224,2135,1602036160
10,77083036,english,nice,1601912094,1601912094,True,1,0,0.504132270812988281,0,True,False,False,76561198072585226,72,3,755,149,755,1601911960
11,77067747,english,best strategy game,1601887210,1601887210,True,0,0,0,0,True,False,False,76561198448189384,22,5,419,179,385,1601898786
12,77067119,english,Used to play on cracked version since 2011 when I do not have money. Finally brought it to play again when I am earning. Worth it.,1601885864,1601885864,True,0,0,0,0,True,False,False,76561198102664886,34,3,1761,0,1761,1595288893
13,77053227,english,Have played the age of empire series for years! great RTS,1601857438,1601857438,True,0,0,0,0,True,False,False,76561198056490181,24,1,8024,385,8024,1601857398
14,77049087,english,Age of Empires Series are all definetly recommentable if you are interested into acient/historical battlefields.,1601849714,1601849714,True,0,0,0,0,True,False,False,76561198074904077,26,12,586,0,586,1600060869
15,77047795,english,"AoE tried something new with the squad creation instead of the single unit and it works for this game. Fun to play, engaging campaigns, all around thumbs up",1601847565,1601847565,True,0,0,0,0,True,False,False,76561198207200071,70,1,1248,74,1174,1601852489
16,77041338,english,It's a classic getting a definitive edition soon.,1601838085,1601838085,True,0,0,0,0,True,False,False,76561198076597617,125,1,1194,411,1094,1601845400
17,77038285,english,rewgs,1601834133,1601834133,True,0,0,0,0,True,False,False,76561198390825216,19,2,795,158,743,1601915474
18,77028763,english,A classic,1601822529,1601822529,True,0,0,0,0,True,False,False,76561197987321556,40,1,1535,649,1428,1601828994
19,77018401,english,"Balanced game, fun strategy",1601808358,1601808358,True,0,0,0,0,True,False,False,76561198372965267,3,1,9744,1497,9632,1601814987
20,77001411,english,Love this game and play it a lot! Such an epic game that lasts the ages!!,1601779160,1601779160,True,0,0,0,0,True,False,False,76561198049387504,6,1,5763,2320,5188,1602049849
21,76992682,english,Age of Empires III is a masterpiece for people who played the age of empires I & II and would recommend that people buy the Asian dynasties expansion to fully enjoy all the Empires that it has to offer,1601763643,1601763643,True,0,0,0,0,True,False,False,76561198353953004,13,1,960,438,600,1601968641
22,76979366,english,"What more can be said?  One of the best titles in the genre, hands down.  I've played through the campaign several times, and have probably spent thousands of hours playing multiplayer over the years.  Can't wait until the Definitive Edition comes out.  I expect to spend potentially thousands more hours on that as well.",1601745502,1601745502,True,0,0,0,0,True,False,False,76561198052371461,112,2,542,432,194,1602028294
23,76978031,english,"An awesome game, Can not wait for the definitive edition!!! I really hope online is updated in a massive way!",1601743866,1601743866,True,0,0,0,0,True,False,False,76561198427669234,55,4,11342,95,11342,1600935631
24,76975579,english,Probably the best out of all AOE,1601740858,1601740858,True,0,0,0,0,True,False,False,76561198170219159,21,1,7187,272,7087,1601870053
25,76963171,english,really good game thank you for making it,1601724871,1601724871,True,0,0,0,0,True,False,False,76561198149531184,26,1,3447,1210,3300,1602083802
26,76952603,english,must play,1601708126,1601708126,True,0,0,0,0,True,False,False,76561199086436906,1,1,1496,696,1240,1601809905
27,76948748,english,mmm,1601700911,1601700911,True,0,0,0,0,True,False,False,76561198339411831,7,1,18265,328,18265,1601700723
28,76935804,english,Great game!!,1601677834,1601677834,True,0,0,0,0,True,False,False,76561198343870267,13,2,518,3,514,1601686379
29,76925413,english,"good sk
",1601663040,1601663040,True,0,0,0,0,True,False,False,76561198200149761,73,3,1899,308,1762,1601678070
30,75342804,english,Underrated Age of Empires game that was dumped on by older Age of Empires fans who felt this game was to mainstream or to simplified or didn't require as much strategy and felt to easy. They were way to harsh as Age of Empires 3 may not be as complex as 2 but 3 is an amazing game in it's own right. Age of Empires 3 campaign is based less on historical events and battles that happened and was more like trying to tell a historical fictional story with real historical figures and factions like the Knights of St. John and the Ottomans. The Asian Dynasties is the best expansion in the whole Age of Empires 3 package as it has the most game play mechanics and content. i highly recommend this game and everything that comes with it! This is a perfect Age of Empires game for newcomers who may be intimidated by the pacing and mechanics with the first two Age of Empire games excluding Mythology. I am so excited for the definitive edition!!! It will turn out to be so much better than the one for Age of Empires 2!!!,1599076788,1601646839,True,31,0,0.760248064994812012,0,True,False,False,76561198101732759,453,216,4209,906,4209,1601646745
31,76906741,english,"Back childhood memories

1.Excellent campaign story, especially seeking the mysterious Lake of the moon

2.Distinctive units 

3.Home city system",1601637549,1601642403,True,0,0,0,0,True,False,False,76561199010236727,17,2,1415,244,1245,1601892692
32,76894376,english,Best game ever,1601613526,1601613526,True,0,0,0,0,True,False,False,76561198278767405,9,1,23473,683,23304,1601698288
33,76890026,english,Yes,1601604969,1601604969,True,1,0,0.523809552192687988,0,True,False,False,76561198307881443,566,166,185,185,185,1600912059
34,76884577,english,"I've been playing with friends since I was a kid, still never get bored with this one.",1601593639,1601593639,True,6,0,0.604079186916351318,0,True,False,False,76561198321891307,31,1,28740,3066,27939,1602029458
35,76882615,english,classic game never gets old,1601589718,1601589718,True,1,0,0.523809552192687988,0,True,False,False,76561198273679888,59,1,1769,830,1481,1602018220
36,76869855,english,Amazing game. 9/10 if it wasnt for the laggyness of the servers but besides that its given me hundreds of hours of gameplay and the graphics still hold up to this day/,1601570836,1601570836,True,0,0,0,0,True,False,False,76561198156381033,63,4,13003,0,13003,1599319224
37,76838414,english,Great game have been playing AOE since version I,1601513806,1601513806,True,0,0,0,0,True,False,False,76561198124186519,11,2,13890,61,13829,1601517296
38,76834636,english,good,1601506296,1601506296,True,0,0,0,0,True,False,False,76561198252824870,24,3,3538,153,3514,1601507730
39,76828435,english,brings back child hood memories with many hours spent playing.,1601495756,1601495756,True,0,0,0,0,True,False,False,76561198818012652,2,1,1267,187,1080,1601743334
40,76825204,english,ye,1601491074,1601491074,True,0,0,0,0,True,False,False,76561199045687827,10,1,1829,1829,1145,1601929421
41,76811207,english,"mind boggling
",1601472917,1601472917,True,1,0,0.502868056297302246,0,True,False,False,76561198292062670,3,1,2867,46,2820,1601478280
42,76789415,english,good game,1601426383,1601426383,True,1,0,0.502868056297302246,0,True,False,False,76561198180058871,61,1,12335,348,12150,1601440373
