,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,timestamp_dev_responded,developer_response
0,77179528,english,"I have moderate deuteranopia so found YoloMouse some years ago after getting swashed in League. I still get swashed in League, but I do lose the cursor on screen far less often using this tool. I decided to pay the developer, with my use so far it was roughly $1 per year or something. Highly recommended for players struggling to see on-screen cursors.",1602079299,1602079299,True,1,0,0.500574052333831787,0,True,False,False,76561198034066349,212,10,872,872,661,1602090509,,
1,77101114,english,"Extremely useful for people with high resolutions such as 2560x1440 or 3440x1440 or 4k. Many games do not scale the cursor with the resolution. If you ever spend even a fraction of a second looking for your cursor, that's a huge disadvantage. Especially in something like an RTS.",1601939679,1601939679,True,1,0,0.500574052333831787,0,True,False,False,76561197978676246,164,10,1585,1585,1202,1602090850,,
2,77066159,english,Essential for Path of Exile,1601883779,1601883779,True,1,0,0.500574052333831787,0,True,False,False,76561198114040891,79,17,3017,3017,2007,1602059666,,
3,76778474,english,Good for POE,1601407999,1601407999,True,1,0,0.500574052333831787,0,True,False,False,76561198095993517,7,2,51998,12065,45431,1602089977,,
4,76754128,english,uwu,1601372701,1601372701,True,1,0,0.500574052333831787,0,True,False,False,76561198143209620,58,4,4563,4563,1595,1602089901,,
5,76744522,english, Great,1601350504,1601350504,True,1,0,0.500574052333831787,0,True,False,False,76561198188203731,218,34,538,538,297,1602010939,,
6,76559620,english,Could be cool but in League of Legends it always disappears its the only reason i bought this.,1601069427,1601069427,False,0,1,0.500665783882141113,0,True,False,False,76561198060775779,60,2,10006,236,9864,1602023973,1601077669.0,"hi, sorry you have trouble. 

1. how does cursor disappear?
2. are you using overlay cursors (CTRL ALT 2)? note that these only work in windowed or borderless mode due to a windows restriction.
3. do you have garena/asia version of league? it may be anticheat protected in which case YM support is limited to using only overlay cursors.

lol is my fav game so its the original reason for YM creation :)
"
7,75751503,english,Just perfect for gw2,1599751280,1599751280,True,3,0,0.544046878814697266,0,True,False,False,76561198389045109,20,5,30446,10729,10811,1602090083,,
8,75704214,english,Wish I could tip the person who created this. They did such an amazing job. I never loose track of my mouse ever again.,1599666337,1599666337,True,1,0,0.500574052333831787,0,True,False,False,76561197978590693,102,5,7844,0,1334,1600783346,,
9,75698799,english,"good for games with poor cursor visibilty  looking at you path of exile
",1599659431,1599659431,True,4,0,0.564217567443847656,0,True,False,False,76561198055731198,309,2,6528,1453,257,1601835888,,
10,75680355,english,Works great for playing PoE. i kept losing my mouse with everything going on on the screen in the game. i switch it to the inverted colored X. haven't lost it since,1599623495,1599623495,True,1,0,0.500574052333831787,0,True,False,False,76561198028170531,34,1,14185,4595,4110,1602044709,,
11,75535583,english,:),1599388152,1599388152,True,1,0,0.459230393171310425,0,True,False,False,76561198008405965,141,3,22065,9558,4767,1602016208,,
12,75331307,english,"Yolo mouse is AMAZING. I've been struggling to play some older titles at 1440p (and soon to be 4K) because the mouse cursors are so small, it's hard to keep track of in RTS games.

Using Yolo mouse is as easy as downloading it, launching it, launching whatever game you want and increasing the cursor size (which increases the in-game cursor, so you don't have to use one of the pre-installed cursors that don't match the game's aesthetic). 

Even better, Yolo mouse automatically keeps separate profiles for every game you use it with. So my desktop cursor remains the same size I want, then I can launch a game like Dawn of War and the cursor will automatically change to the last cursor size I set. Then when I'm done and exit the game, the cursor reverts to the normal desktop cursor. Frankly, this is absolutely phenomenal because, as our lord and savior Todd Howard has said, ""It just works.""",1599060971,1599060971,True,1,0,0.500574052333831787,0,True,False,False,76561197989954601,654,8,20,0,20,1599059765,1599243286.0,thanks for the <3.... trying to make it even easier in an update or 2 where you'd just use 1 hotkey and get a menu to pick your cursor/color/size :)
13,75323276,english,Great for having a more noticeable cursor in games. Would lose track of mine in games like GW2 where the default cursor can often blend in.,1599050055,1599050055,True,1,0,0.500574052333831787,0,True,False,False,76561197989291573,54,2,28668,9846,4543,1602089356,,
14,75225509,english,"Amazing software, I've used the free version for 3+ years, always happy to support the creator!",1598886905,1598886905,True,1,0,0.500574052333831787,0,True,False,False,76561198044999528,2040,3,14399,0,12915,1599055380,,
15,74975789,english,"Used the free version for a good few years now so thought id support the devs, and buy the upgrade. It does exactly what it says on the tin and is a godsend when playing FFXIV, which has no adjustable cursor. It did take a bit of fiddling round to get it to work inititally, but alls good now! Very very useful if your playing a game that doesnt have an adjustable cursor.",1598483970,1598483970,True,1,0,0.500574052333831787,0,True,False,False,76561198057769890,370,53,12211,3510,393,1602089939,1599243423.0,"thanks for support :)... whats interesting is some game engines dont even let you use a large cursor, like the popular unity that most games use. stuck at 32x32 lol."
