,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,77057984,english,"It's still early access, but the level of customization and pure scope of this game is incredible.  The combat is incredibly smooth and plays like a Zelda game.  New things are being added all the time and it is really exciting to see where this game will go.",1601866456,1601866456,True,0,0,0,0,True,False,True,76561198038373650,98,3,750,8,750,1601866479
1,77050061,english,"it needs its sound and placement of buildings fix but it is a good game!
make more skills and plesae make it give more exp plesae.",1601851468,1601851468,True,0,0,0,0,True,False,True,76561197996524977,255,21,1193,1193,672,1601989020
2,76198350,english,"I have enjoyed this game and I'm still playing
This is the crafting game you have been looking for!",1600477383,1601842557,True,1,0,0,0,True,False,True,76561198118043442,61,2,13577,7150,12584,1602090919
3,77040537,english,has a lot of potential,1601836985,1601836985,True,0,0,0,0,True,False,True,76561198324333942,18,8,1728,1728,1289,1602018635
4,77039355,english,"Must be update and add new skills and crafting thing,
now vision is inadequate 

but has a good atmosphere",1601835467,1601835467,True,0,0,0,0,True,False,True,76561198019941068,364,25,283,283,283,1601835525
5,77037282,english,"If the gameplay development keeps going like this, this game can become something more than average.
At the moment however, I can not recommend the game, because it is still too empty and bland. This was just released too soon.
Performance-wise, the game is just horrendous! I get 60+ fps with my 2080ti which is totally playable, but somehow craftopia only lets my card idle at base clock. (Heard others complain about the same thing with different cards).
Therefore it is no surprise that many people can not play the game with acceptable frames.

Early Access or not, a game you throw out there to be played with so little to do and severe performance issues, costing over 20 bucks is an absolute insolence!

But that is how it goes nowadays with early access titles: Quantity over quality.
Hope you prove me wrong in 2021.
",1601832881,1601832881,False,3,0,0.453556865453720093,0,True,False,True,76561197978252534,409,9,39,39,39,1601730068
6,77032915,english,"Good game, need more time for it to be decent",1601827478,1601827478,True,1,0,0.523809552192687988,0,True,False,True,76561198122322727,132,5,159,18,159,1601827344
7,77021156,english,"My 3090 runs this game on 30fps , cool",1601812537,1601812537,True,2,3,0.541984736919403076,0,True,False,True,76561197961334653,158,1,1409,17,1397,1601812555
8,77014064,english,"Amazing, it has cool graphics and it's very addicting. It's still in it's beta stage, so the full version will come out later. The game is still very good though.",1601801570,1601801570,True,0,0,0,0,True,False,True,76561199090565324,1,1,699,211,627,1601986216
9,77006631,english,"So far the game looks amazing, has a lot of content and gives you space for your creativity. But to be fair the controls are kind of clunky. If the developers don't abandon the game, it might become an amazing experience for everyone.",1601788528,1601788528,True,0,0,0,0,True,False,True,76561198061497290,133,7,162,162,119,1601946085
