,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,timestamp_dev_responded,developer_response
0,77160953,english,helicopters,1602046498,1602046498,True,0,0,0,0,True,False,False,76561198196658153,8,1,6516,0,6516,1569020420,,
1,77159449,english,"No matter what I did with settings and videos/forums I followed I could not get my FPS above 3-4. I have a gaming Laptop that can run the new Sim, so I may give that a try. Trying to get a refund for this now.",1602043475,1602043475,False,0,0,0,0,True,False,False,76561198855871041,1,1,71,71,71,1602042861,,
2,77158805,english,Microsft Flight Simulator X is a great way to pass time while my wife watches her shows on TV,1602042181,1602042181,True,0,0,0,0,True,False,False,76561198415761488,3,1,2143,118,2026,1602049565,,
3,76677342,english,"airplane go brrrrrr

(edit):after further investigaition of this horendous claim i have in fave concluded that airplanes do not go brrrrrr but instead go wooosshshh",1601237118,1602034561,True,0,0,0,0,True,False,False,76561199063308813,7,10,1946,1946,1946,1602028651,,
4,77150683,english,it has many airports,1602026347,1602026347,True,0,0,0,0,True,False,False,76561199037725636,1,1,693,693,693,1601980734,,
5,77143958,english,"like it for the physics
",1602015245,1602015245,True,0,0,0,0,True,False,False,76561198236156000,57,4,3884,0,3884,1593890265,,
6,32788978,english,very fun with a joy stick,1498425312,1602007790,True,0,0,0.436976164579391479,2,True,False,False,76561198158363315,110,18,826,47,779,1602072374,,
7,77138292,english,"For the record, better than the new version",1602007274,1602007274,True,0,0,0,0,True,False,False,76561198223480900,120,4,12735,37,12733,1602007587,,
8,77124634,english,"FSX is highly enjoyable when on a discord server, where things are organised. Otherwise, it can be hectic and unrealistic. Overall, very good whilst I wait for FSX 2020 to reduce in price lol",1601988353,1601988353,True,0,0,0,0,True,False,False,76561199009326369,7,2,2656,0,2656,1593615660,,
9,77109635,english,"great  graphics,easy to use",1601957161,1601957161,True,0,0,0,0,True,False,False,76561197999010874,180,5,6924,90,6892,1601959248,,
10,77103462,english,great game. have to run steam with admin mode for fsx to work.,1601944596,1601944596,True,0,0,0,0,True,False,False,76561199095554655,1,1,426,426,276,1602031715,,
11,77096702,english,I'm broke so I'll just be playing this one until new one is on -80% sale,1601931512,1601931512,True,0,0,0,0,True,False,False,76561197993607800,407,9,3222,0,3222,1565782575,,
12,77046863,english,aircraft library,1601846051,1601846051,True,0,0,0,0,True,False,False,76561199076963972,1,1,9389,3521,8493,1602022991,,
13,77042497,english,Very fun.,1601839586,1601839586,True,0,0,0,0,True,False,False,76561198844576213,5,1,2369,43,2326,1601848505,,
14,77038918,english,"If youre casual, youre not going to have much to play with. If you want a complete simulation, i guess its for you, personally, the magic ran out quick. the clouds and stars look nice, i only liked that part.",1601834975,1601834975,False,0,0,0.472440958023071289,0,True,False,False,76561199094265068,1,2,528,528,233,1602034099,,
15,77036108,english,"IRL I drive a rusted minivan down the road. In this game I drive a P-51 down the road. Wish I could drop bombs on my dip sh*t neighbor, but I'll forgive this lack of detail.",1601831477,1601831477,True,1,0,0.527777791023254395,0,True,False,False,76561198201510447,30,1,770,52,718,1601856212,,
16,77028999,english,there is many people you can play with and many planes to fly with,1601822808,1601822808,True,0,0,0,0,True,False,False,76561199030536354,1,1,698,218,604,1601909939,,
17,77021109,english,fun,1601812461,1601812461,True,0,0,0,0,True,False,False,76561198883525014,1,1,1585,52,1532,1601815576,,
18,77015115,english,Yes Highly Recommended,1601803303,1601803303,True,0,0,0,0,True,False,False,76561198205942303,104,3,1210,8,1201,1601806348,,
19,77013187,english,"You have to have both patience and an interest in aviation, but it is a good game and a fun experience.",1601800190,1601800190,True,0,0,0,0,True,False,False,76561199064723110,2,1,643,0,643,1592096593,,
20,76988964,english,Haha Plane go vrooom!!,1601758048,1601758048,True,0,0,0,0,True,False,False,76561198884333229,23,7,3655,0,3655,1595691947,,
21,76976776,english,the optimization is terrible i get 20 fps flying near cities on my gaming pc :(,1601742258,1601742258,False,2,0,0.52173912525177002,0,True,False,False,76561199006061591,6,3,6328,43,6328,1601237914,,
22,76960826,english,I have paid for it and now Steam will not let me play it. And thhey give usual confusing statements about what is wrong. Why do they love to use their idiotic jargon which is no help whatsoever.,1601721356,1601721356,False,0,0,0,0,True,False,False,76561199040886013,4,1,1991,0,1991,1600209755,,
23,76922322,english,"I've tried opening the app for 2 days now but i keep on getting SIDE BY SIDE INCORRECT ERROR which is very frustrating. I've tried almost every solution given on google to solve the issue which still didn't work.
if anybody had the same issue please help.",1601659118,1601659118,True,0,0,0,0,True,False,False,76561198187866341,7,1,2192,0,2192,1563982624,,
24,76918021,english,haha plane go brrr,1601653837,1601653837,True,0,0,0,0,True,False,False,76561198988320026,28,2,657,42,615,1601656552,,
25,76913947,english,"good
",1601648633,1601648633,True,0,0,0,0,True,False,False,76561199065088379,7,1,3283,140,3169,1602040655,,
26,76897549,english,You can fly a plane.,1601619809,1601619809,True,0,0,0,0,True,False,False,76561197990300229,122,15,2537,0,2537,1574310106,,
27,29239663,english,Meh.,1484369843,1601608304,True,9,2,0.592097103595733643,0,True,False,False,76561198126113635,21,1,158665,1269,158665,1601279525,,
28,76885815,english,Graphics are worse than pong,1601596383,1601596383,False,0,1,0.434782594442367554,1,True,False,False,76561198194614863,36,20,7556,0,7556,1578682876,,
29,76883245,english,"Before every real flight training I use this sim to check my skills. Especially with 4x and 8x mode, very demanding.",1601590928,1601590928,True,0,0,0,0,True,False,False,76561198040052731,47,2,16834,159,16760,1602064759,,
30,76847004,english,great sim experience,1601530831,1601530831,True,0,0,0,0,True,False,False,76561199089460845,1,1,3857,1340,3288,1601781982,,
31,76831448,english,rly good,1601500411,1601500411,True,0,0,0,0,True,False,False,76561198971695494,2,2,1903,0,1903,1584219738,,
32,76823513,english,"A couple of issues. First  important issue is, The ""Saved Flight Plan"" feature is not working. I definitely need this feature to work. I`m a flight manager for 2 airlines, (l used to fly the original FSX in Windows 7) no issues. But since l upgraded to Windows 10, l had to switch to FSX Steam Edition so anytime l go to fly my flights, l have to re-create them over again, which is time consuming. The load the ""saved flight plan"" feature shows your FSX Steam  flash screen only, no flights.  The other issue which is minor, when l fly in multiplayer mode, we use the JoinFS program. For some reason, it can`t find my aircraft model to scan. But l`m able to fly and see everyone but they are  all in the default aircraft, Cessna 172.  Didn`t  have that issue in Windows 7. 
       So, if anybody can help  me fixing the ""Saved My Plan"" feature, that would be a great help for me.
        Thanks  
        Larry....(chew the road)",1601488787,1601488787,True,0,0,0,0,True,True,False,76561198070330595,7,1,3462,1846,2521,1602018340,,
33,76788388,english,"Best game, recoomend buying!",1601424442,1601424442,True,0,0,0,0,True,False,False,76561199017341861,5,4,325,86,238,1601675300,,
34,76787869,english,everything,1601423387,1601423387,True,0,0,0,0,True,False,False,76561198354552750,5,1,54659,81,54577,1601769792,,
35,76787668,english,i love this game i rate it 5 stars,1601423000,1601423000,True,0,0,0,0,True,False,False,76561199094459454,1,2,183,183,129,1601430467,,
