,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,77152977,english,"One of the better games in the total war series, definitely a must play if you like the black powder era.",1602030953,1602030953,True,0,0,0,0,True,False,False,76561198229433292,38,4,1848,0,1848,1597966627
1,77138296,english,Fantastic,1602007282,1602007282,True,0,0,0,0,True,False,False,76561198132962592,39,3,692,6,685,1602008714
2,77116416,english,This is the best total war game in my opinion although that is because I love the period,1601971862,1601971862,True,0,0,0,0,True,False,False,76561199094221065,1,1,1596,1596,1379,1602067483
3,77106968,english,An Awesome Napoleonic Tactical game! It's perfect!,1601951546,1601951546,True,0,0,0,0,True,False,False,76561198885468448,8,2,4478,39,4478,1601912376
4,77101634,english,"This is a great game, that really shows how useful cannons were",1601940773,1601940773,True,0,0,0,0,True,False,False,76561198394821706,10,2,9654,6087,9485,1601950456
5,77056460,english,"The game is 10 years old (Now 2020) so it's not graphically demanding, even with all the graphics modifiers turned up to the max. My PC with 2gb of inbuilt graphics runs the game just fine and the graphics look great.
Gameplay is good fun, I'm only 7 hours in but it looks great value for money (£20) with the amount of content involved.",1601863603,1601863603,True,0,0,0,0,True,False,False,76561198118170545,3,1,748,748,477,1601959280
6,77048722,english,This game is actually pretty decent. It plays smoothly and also has in addition nice tactical gameplay to offer.,1601849076,1601849076,True,0,0,0,0,True,False,False,76561198074904077,26,12,9435,0,9435,1598792105
7,77037035,english,i love the scent of gunpowder in the morning,1601832567,1601832567,True,0,0,0,0,True,True,False,76561199051698540,5,1,982,77,905,1601845869
8,77034456,english,great,1601829413,1601829413,True,0,0,0,0,True,False,False,76561198875190183,9,1,959,7,952,1601829848
9,77022585,english,Nice battles,1601814537,1601814537,True,0,0,0,0,True,False,False,76561199094199532,1,1,1111,1111,1111,1601729544
10,77017174,english,brilliant game bit slow some times but a great game this is the highest quality total war game,1601806441,1601806441,True,0,0,0,0,True,False,False,76561199064929258,5,1,1124,1124,397,1602089698
11,76965823,english,Beautiful and really fun to play.,1601728560,1601728560,True,0,0,0,0,True,False,False,76561198206308513,21,5,54027,60,53967,1602090560
12,76922495,english,"guns, lots of guns",1601659316,1601659316,True,0,0,0,0,True,False,False,76561198951305068,20,5,583,583,312,1601748634
13,76908939,english,"very good very fun game
long live france",1601641456,1601641456,True,1,0,0.523809552192687988,0,True,False,False,76561198318634255,86,47,18373,499,18233,1602024564
14,76887130,english,Good game if you love total war's ranged warfare and if you love the Napoleonic era,1601599288,1601599288,True,0,0,0,0,True,False,False,76561198875085661,28,11,1450,292,1450,1601586524
15,76822785,english,"very good
",1601487825,1601487825,True,0,0,0,0,True,False,False,76561198954120882,5,3,628,45,605,1601741863
16,76820106,english,"Very good
",1601484362,1601484362,True,0,0,0,0,True,False,False,76561199075577616,2,1,5321,5321,3004,1602084141
17,76800839,english,"Good
",1601452471,1601452471,True,0,0,0,0,True,False,False,76561198277234344,108,21,2542,93,2449,1601458030
18,76778931,english,"this game is awesome
",1601408607,1601408607,True,0,0,0,0,True,False,False,76561199019401879,9,3,613,33,613,1601408338
19,76776537,english,"Great game when it doesn't crash, but usually I'm winning by the time it crashes. Coincidence? Probably yes cause I'm not that great at the game but hey I can beat a camper.",1601405382,1601405382,True,1,0,0,0,True,False,False,76561198253048400,40,2,22560,1163,22172,1602036580
20,76753036,english,nice game,1601370267,1601370267,True,0,0,0,0,True,False,False,76561199089741572,2,1,1495,1495,604,1601612918
21,76743399,english,Terrible glitchy fucking mess its been over 10 years since the release date and yet they find time to update with all dlc rather than fix the shitty servers and bugs everywhere. FUck you total war. Units should not be walking when I hit R on them. Dumb cunts,1601348018,1601348018,False,0,0,0.45267486572265625,0,True,False,False,76561198114194315,232,31,8627,1017,8210,1602060044
22,76718115,english,good battles,1601308958,1601308958,True,0,0,0,0,True,False,False,76561198322184576,39,6,1005,567,778,1601344691
23,76717631,english,very good much gun,1601308385,1601308385,True,0,0,0,0,True,False,False,76561198983247019,7,6,854,660,825,1601433534
24,76676791,english,Very good for people into this era although darthmod or great war mod is recommended since it gets a bit dull and repetitive without them,1601236453,1601236453,True,0,0,0,0,True,False,False,76561198929502276,4,1,4183,987,3501,1601716678
25,76635380,english,good,1601178417,1601178417,True,0,0,0,0,True,False,False,76561198883483311,35,2,3211,1310,2006,1602085232
26,76624157,english,Great Fun!,1601159517,1601159517,True,0,0,0,0,True,False,False,76561198404119212,11,3,1310,360,1050,1601863171
27,76617787,english,its a fun game to play,1601151186,1601151186,True,0,0,0,0,True,False,False,76561198319141262,24,4,1593,684,1129,1602081928
28,76617132,english,Great game see for your self,1601150451,1601150451,True,0,0,0,0,True,False,False,76561198379519231,42,7,1045,184,861,1601782636
29,76610745,english,"crash
",1601143113,1601143113,False,0,0,0,0,True,False,False,76561198201855745,10,4,737,9,737,1601143104
30,76586191,english,its a brilliant historicaly accurate battle simulator,1601112366,1601112366,True,0,0,0.47999998927116394,0,True,False,False,76561198171643557,27,1,20893,25,20893,1601048928
31,76567081,english,aAwesomez!,1601080482,1601080482,True,0,0,0,0,True,False,False,76561198366450033,32,3,5973,418,5555,1601233266
32,76555239,english,"Story's nothing special; just your typical Mary Sue/Gary Sue protagonist from humble beginnings and his rise to power. There's a running gag that the guy is short, but honestly it's exaggerated and played more for humor than anything. 

A few story arcs stand out, such as the guy's love affair with artillery to the point where his entire army is just Howitzers and 8-lb Foot artillery. The filler arc with the hot air balloon was hilarious, especially when it kept getting deployed in the middle of the battlefields. Personally, I found the Russian Winter Attrition arc overrated. It's fine the first time but this story has been told several times over and for that alone I prefer the Egyptian arc more, even if it's essentially the same but hot deserts instead of snow.

All in all, it's pretty decent, if a bit short. Definitely not the worst, but it gets buried under the higher profile series like Rome and Medieval.",1601063674,1601063674,True,3,5,0.559748470783233643,0,True,False,False,76561198011517883,136,35,3946,2910,1744,1602054178
33,76503972,english,I can’t play on mobile,1600985911,1600985911,True,0,1,0.476190477609634399,0,True,False,False,76561199021710401,4,1,1640,711,1073,1602036069
34,69702439,english,"This game is amazing! It has amazing graphics especially for such an old game. It's an immersive experience where you get to control your own army and lead into battle. Tactics, flanking, etc, etc matter so much. While the game may have its glitchy flaws, its quite old. The game is amazing! Purely one of the games I have been addicted to for months on end.",1590290673,1600970774,True,0,0,0,0,True,False,False,76561198867689525,9,1,18694,0,18694,1596319251
