,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,timestamp_dev_responded,developer_response
0,77151483,english,"[h1]Perk Synergy Heaven[/h1]

After three years of playing Battle Brothers, this week I finally beat 'The Black Monolith', which for the uninitiated is the original bad boy location to beat, in the vanilla game. In Steam hours played (all 1333 hours of them so far) it's second only to GTA V on my list, and I mention this to illustrate how easy it is to pick up, yet how difficult it is to master - if that's even possible. This game endures like chess, but I'll try to keep this as brief as possible...

Ok, so I'm a methodical dummy - I'll accept that; others begat the 'Monolith' accolade a fraction of the hours in, but me? I like to experience everything a game's got; I did it my way about 5 times (bull-headedly), and ended up fed up. Then I took a six month break, went back, and this time did my best to read, comprehend, and inwardly absorb to the max all the information on the screen - and tried one more campaign. Finally, it all clicked, and by day 1000 (or so) I was smiting down all comers with my properly legendary crew. You can go along being sort of ok late game with a 2nd rate party, but unless you're doing things well, there are some fights you should avoid. In many ways, this will always be the case, but how you minimise this quotient becomes a measure of success.

Have I fought a Kraken yet? Apart from the fact I can't even find one, I'm not interested - it would dent my pride too much. ;-) See? This is how the game gets you - you build, you plot, you plan, you improve, and you make headway. When you see your star bros (as they are known) getting seven bells kicked out of them, it brings a virtual tear to the eye. I'm currently on a 'veteran' play-through, but 'beginner' is hard enough - believe! Iron man is for superheros.

All this aside, the best comparisons that can be made to this game's DNA are 'Battletech', and 'Mount and Blade: Warband/Bannerlord'. Think open world, endless sandbox, but you can constrain, rogue-like, if you prefer, and go for points. 

The things that set Battle Brothers apart from other similar games are too numerous to list. What I'll mention (and absolutely can't go without mentioning!) is the perk/skill system; it's one of the best out there. The developers of this game have clearly sat down with pen and paper, and committed their brilliant insight unto one another, thrown it around, chewed it up, spat it out, eaten it again, and repeated during the course of development. The way the perks and skills synergise and play off of one another is sublimely complex, and just when you think you have your build sussed - mwah-ha-ha - you really don't. Go back kid, and think again. And even when you build your dream team - you'll still be wishing you chose 'Underdog' instead of 'Battle Forged' for your star two-hander bro. Or maybe 'Nimble'. Or maybe you should have given them more initiative so they could dodge more instead of being a tank, but then... AAARGH! The contemplation goes round in circles - but in a good way.

The perk system is completely unique, and is very much its own thing. It's the core and the strength of Battle Brothers, and is its absolute life-blood. It's the thing that will fox you, out-fox you, and make you gnash your teeth in delight and despair; in short, it's brilliantly balanced, and fiendishly so. It's this very finite, constrained set of options that leads to such complex, nebulous outcomes. Brain-goggling stuff, and so well executed.

To round off, the art style is similarly unique. Ever wanted a cartoon of the Bayeux Tapestry? Well there you go. The sound design is top drawer - every gut-wrenching yelp and crunch tells you intuitively what you need to know, and delivers the gratification of stabbing a cartoon medieval guy in the gambesons. 

And finally, the soundtrack. Wow. Perhaps my favourite game soundtrack of all time. When you open the game for the first time, let it sit at the menu for a few minutes, and just breathe it in. It's as if Mahler wrote a game soundtrack. Stunning! 

Ok, then there are the other pieces of soundtrack that don't sound like Mahler, but they're all equally good too. So good, in fact, that they kept going around my head when I was trying to sleep, and I had to disable the in-game music - but that's my loss. ;-)

Look, if you're reading this wondering whether to buy the game, you already know what you're going to do. Don't listen to the nay-sayers - they don't understand lol. 

Like Warband/Battletech/Kenshi? 

It's great, trust me. x",1602028101,1602030511,True,1,0,0.523809552192687988,0,True,False,False,76561198024396688,172,18,79973,7019,79973,1602024559,,
1,75393301,english,"Players Turn: MISS, MISS, MISS MISS MISS MISS MISS, MISS MISS, MISS MISS MISS, mISS MISS MISS MISS, EVERYBODY!

AI TURN: HIT, HIT, HIT, HIT, HIT, HIT HIT, KILL KILL KILL KILL KILL, KILL KILL HIT HIT EVERYBODY!

In case you don't get the reference, the RNG system, particularly when it comes to landing attacks, is broken as fuck and heavily favors the ai to the point where it can completely turn you off from the game, even if you were having fun up to that point. My 12 boys just got wiped by 6 gobos simply because I evidently couldN't ""roll"" below  an 80. Meanwhile the gobos got nothing but critical hits and insta kills. Im so fed up with it at this point that I don't even get mad anymore.",1599167021,1602029370,False,1,0,0,0,True,False,False,76561198046228768,174,8,10592,4053,10592,1602028735,,
2,77146559,english,Battle Brothers: Where a 75% chance to hit the enemy means that hit will connect 40% of the time.,1602019164,1602019164,True,1,0,0,0,True,False,False,76561197965366882,367,8,23278,1983,23211,1602090584,,
3,77116004,english,"I love and hate this game. ""my party has grown and theyve become some real ""battle brothers""
im sure this tier 3 mission will be easy!.....Theyre all dead..""",1601970894,1601970894,True,0,0,0,0,True,False,False,76561198114795006,362,4,1059,723,916,1602052690,,
4,77107727,english,"It's a rough game to say the least. 

Some mechanics don't seem well thought out, and some might make you curse at the screen (like a necromancer reviving the same body over and over and over, like it doesn't deteriorate every time you kill it, it comes back with exactly the same strength/power... and - I might be wrong here - but I think reviving as a zombie restarts the individual's fatigue, which is a crucial mechanic in the game). There is a lot that isn't explained to you and you will have to figure out (youtube videos will help, but you shouldn't have to do that).
Hit chance is very specific to the scenario and it not being displayed when you are hovering over your target will make you wonder why you missed 4 times in a row but your enemy hit every attack even though you should have the advantage (like higher terrain). Also, the fatigue mechanic seems somewhat too punishing. Using only weapon ability total and then attacking each turn, your character might run out of fatigue by the third or fourth time you used him in a battle. From then on, he will only be able to attack once every turn, and not much, if anything else, rendering him almost useless. Making him do nothing on his turn won't accelerate his recuperation either.
While the different types of enemies make battles more interesting, some times they are waaaay too challenging for the level you are in, and you won't even be able to tell before engaging, most of the times. 

Mission's payment level won't correlate at all with the difficulty of the mission, since many of the moving parts of each mission are based on chance. A mission that will pay you upwards of 1000 gold might be uneventful (protect a supply caravan, but nobody attacks), a 115 gold mission (that shouldn't really even be a thing, since that amount of gold won't be enough to afford almost anything in a market) might include a couple of engagements and make you lose half of your manpower over nearly no reward. The worst part is that you might not even have a choice, since some settlements will only have that one contract up for grabs, and the game doesn't let you have more than a single contract active at the same time (the reasons for this eludes me, since not all contracts seem time constrained/an emergency).

Other than buffs/debuffs from the character's respective background and injuries suffered in battle, and a few stats that they increase more rapidly (talents?), which will dictate what they are better at and therefore how you should employ them in battle, characters don't differ from eachother a lot. None feel unique, or irreplaceable. It's not necessarily a bad thing, but I guess I expected something more.

Over all, I'm quite disappointed with the game. I think the concept has a huge potential but the delivery leaves most of it still in the table. I personally feel like this game is a rough sketch, or an early access experience (without the many bugs part though). I'd recommend avoiding it or buying it on a steep discount. Then again, it might be the type of game you are looking for, so watch a lot of gameplay on youtube and figure out if this is what you think will scratch your itch.",1601953082,1601953082,False,1,0,0,0,True,False,False,76561198052594067,23,2,1399,220,1399,1601951581,,
5,77105132,english,"This game is hard, but it's never unfair. I've put in probably 2k hours on GoG and steam. The mod community is great, definitely look into quality of life mods.",1601947904,1601947904,True,0,0,0,0,True,False,False,76561197966220372,167,3,24065,1383,24050,1601948792,,
6,77103112,english,"I'm giving this game a ""yes"" because I think there is great potential, and I know that it is still in dev.  Thus they are (hopefully eager for feedback to make it better.  Here it is:  THE FONT IS TOO SMALL!  It is very hard to read.  There is a mod you can buy to INCREASE THE FONT SIZE.  That should send a message.  I'm waiting for a future update, which will INCREASE THE SIZE OF THE TEXT, and then I'll give it a good tryout.",1601943857,1601943857,True,0,0,0,0,True,False,False,76561198058607458,139,7,223,223,223,1601774938,,
7,77100420,english,"[h1]The Good[/h1]
[list]
[*] Combat feels challenging making surviving feel more rewarding.
[*] Progression allows a variety of builds.
[/list]

[h1]The Bad[/h1]
[list]
[*] The ugly bearded/haircuts that give your party members their charm are eventually covered by helmets.  An option to toggle visible helmets would be a great QoL addition.
[*] Early game is the toughest and funnest part.  You're trying to grow your reputation, explore, recruit talent, and secure funding.  The late game seems to be filled with a quest grinding and a garden variety of annoying bullet-sponges (arrow sponges?).
[/list]

[b]Final Verdict:[/b]  If you like a challenging, open-world party-based RPG that plays like a table-top experience, Battle Brothers is perfect for you.",1601938329,1601938329,True,0,0,0,0,True,False,False,76561198016947219,957,33,5952,0,5952,1594005132,,
8,77088111,english,"Fuckin' [strike]magnets[/strike] dice, how do they work?",1601918915,1601919015,True,1,0,0.528301894664764404,0,True,False,False,76561197969538443,667,1,43326,707,43244,1601955277,,
9,77082629,english,"this game was honestly worth every penny i spent on it. i grew up playing final fantasy tactics but this is way better. procedural world, random mercenaries, random enemies? sign me up. replayability is nuts, especially with the legends mod.",1601911548,1601911548,True,0,0,0,0,True,False,False,76561198068997238,92,5,36813,4912,36641,1601921668,,
10,77055616,english,"Create your own story as a sellsword captain. Just don't expect it to be easy. Learning the mechanics of the game will take a little time but its worth it. Starting off leading a bunch of beggars and green farmhands, you will try to turn them into seasoned wealthy warriors, but more often than not, turn them into food for crows on the battlefield. It has the aspect of Xcom where you get attached to your warriors but here you don't only lose them to death. Your best warrior might get horribly disfigured in a battle then you have to decide what to do with him, but such is the life of a mercenary band.",1601861960,1601861960,True,0,0,0,0,True,False,False,76561198007663221,178,3,4131,0,4131,1572717987,,
11,77042762,english,"Lots of variety, lots of customization, core gameplay loop is compelling as hell. Tough, but generally fair, and the unfair bits are not too big of a deal as you can just start a new run if things get too past the point of no return. Devs are very in touch with their community and are always accepting and giving feedback about the game's current and future state

Support good business/dev practices by buying this game if it sounds interesting to you",1601839947,1601839947,True,1,1,0,0,True,False,False,76561198024025737,133,3,17509,1392,17181,1602012197,,
12,77032582,english,"Following are what I really love in this game: 
* Low magic background
* Open world with designated + randomized event
* Character system 
* TBS battle system
The only thing I think should improve is: MAC VERSION PLEASE!",1601827079,1601827079,True,1,0,0,0,True,False,False,76561198296367359,34,2,1471,82,1471,1601826288,,
13,77031740,english,Fun game and one of the few games that i have bought and played for along period of time and still play on and off.,1601826066,1601826066,True,1,0,0,0,True,False,False,76561198822902347,9,1,10612,3285,10153,1601960503,,
14,35231864,english,"The kind of game for people looking for a real immersive challenge (Like myself)

The gameplay is great. It's unforgiving and realistic, you will have to think and play it over and over again until you get to know how is the best way to avoid the deaths of your mercenaries. There will be lots casualites! The Ironman Mode is the best way to play this, that's the only way I play it.

The artwork has a lot of love put into it, it makes you feel like you are a part of this harsh world.

The mechanics are easy to learn but hard to master. Your team and your tactics are 100% customizable, so it's up to you to make your mercenary team succed in every encounter with minimal casualties. Casualties are very hard to overcome, meaning that you will have to recruit another mercenary and equip them and train them from scratch. Sometimes that can be a real drawback, but that will only make you more careful next time. Pick your contracts and battles smartly, like a real Mercenary would. Your only goal is to live and get payed.


Thank you Overhype Studios! I'm looking forward your next release!",1506467288,1601822092,True,71,4,0.730088293552398682,4,True,False,False,76561197994100817,224,6,39249,1350,39194,1601835457,,
15,76939099,english,"All my men died in the first fight (post tutorial) and with them my desire to continue playing.

In more detail: The only choice I had at the start was beast contracts: 3 direwolves vs 7 of my guys led to a team wipe in the first fight. 

I am all about difficult learning curves but random difficulty spikes in early game is a major turn off for most players.",1601683611,1601821902,False,2,0,0.46954810619354248,0,True,False,False,76561197962366620,441,50,132,26,132,1601683553,,
16,77027581,english,"Super hard but also super awesome. This game will make you want to rage quit even in the lowest difficulty if you don't know what you are doing. You need to spend sometime to learn game mechanics/combat  and you might need to restart your game over and over again until you know what  works and what don't .  So be warned , if you want an easy turn based rpg. This one might not be for you.",1601821098,1601821176,True,1,0,0,0,True,False,False,76561198049508999,240,48,3070,2442,1788,1602090047,,
17,77013001,english,It is like a gritty version of pokemon where your favorite dies at the worst time.,1601799915,1601799915,True,3,1,0,0,True,False,False,76561198018583570,146,2,3306,99,3207,1601908714,,
18,77011009,english,"Good turn based strategy.
But it is hard!
Sometimes even seems unfair.
Although they seem to add ""easy"" mode.
It even have dark god. I burned one of my companions at stake. Why they all angry now at me?",1601796523,1601796523,True,2,0,0,0,True,False,False,76561198038945870,2240,54,1291,182,1291,1601796006,,
19,48002608,english,"Really awesome mercenary building game with turn based tactics combat.
Nice story writing & refreshing take on the genre minimal magic involved.
Its a bit brutal to play if you're not used to tactics games

Art: ★★★★★
Music: ★★★★☆
Story: ★★★★★
Replayability: ★★★★★

Verdict: ★★★★★

[i]*Review updated for recency[/i]",1546309984,1601790535,True,0,1,0,0,True,False,False,76561198044254120,85,14,18051,0,18051,1557765493,,
