,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,timestamp_dev_responded,developer_response
0,77157548,english,"So, if your in the comments you may be wondering what exactly it is that [u]Asperite[/u] is, it allows you a pixel by pixel creation/animation work space. It is entirely up to you have defined the pixel image is. You can go as small as 8x8 or as large as 1028x1028 and larger but that is a lot of dots to fill. This has a very time consuming aspect as like I said it is pixel by pixel. I was using it to make some rough pixel animations for my self and I found it great!. It has the ability to import images, though I find it a bit wonky to get it to do just what you want  but is still fine. If you like making pixel art. This is ideal for you!",1602039786,1602039786,True,0,0,0,0,True,False,False,76561198272969858,164,21,1319,0,1319,1599378185,,
1,77141037,english,"I must say, this application is just incredible. It's a very simple and intuitive way to learn and utilize pixel art methods. I use it all the time and as far as i know, nothing i have used has come close to how nice this software is. It may be 20 USD, but I think it is 100% worth it for the price. I don't know much else to say about this, but it is amazing.",1602011052,1602011052,True,0,0,0,0,True,False,False,76561198970464778,28,7,12156,1111,11775,1602033323,,
2,77092881,english,Drawign,1601925687,1601925687,True,0,0,0,0,True,False,False,76561198076569769,354,56,53585,2237,53585,1601925716,,
3,77089220,english,"Very nice program, I think it's worth it's price. 
Easy GUI, nothing too complicated. If you've used GIMP, it's sort of like that but much easier. Also has a bunch of useful features like the tag and loop section",1601920509,1601920509,True,0,0,0,0,True,False,False,76561198401470800,101,9,2475,2475,739,1602088164,,
4,67844962,english,fantastic pixel art and animation software,1587599425,1601849686,True,0,0,0,0,True,False,False,76561198139971563,105,24,552,75,552,1601575305,,
5,77035731,english,Best pixel art software.,1601830996,1601830996,True,0,0,0,0,True,False,False,76561198375859380,22,4,10757,376,10722,1601833371,,
6,77031718,english,"I've just been using this program briefly, but the usability and functionality is superb.   It is so intuitive, that numerous times when I thought, wow, it would be nice if this key did this...  I hit the key, and that is exactly what it did.   This is a great program if you need to do pixelart.  It is definitely good value for the money.",1601826029,1601826029,True,0,0,0,0,True,False,False,76561197971356562,76,1,146,146,73,1601906533,,
7,77006709,english,this UI <3333,1601788662,1601788662,True,0,0,0,0,True,False,False,76561198163576033,226,9,1973,1138,1555,1601907719,,
8,77006629,english,I bought Aseprite after messing with a few other pixel art programs and frankly it does everything I need it to do while being user friendly.,1601788523,1601788523,True,0,0,0,0,True,False,False,76561198040357724,139,3,765,765,588,1601871301,,
9,77004311,english,best pixel art editor,1601784232,1601784232,True,0,0,0,0,True,False,False,76561198128733119,10,1,5127,5127,4009,1602046359,,
10,76984660,english,"I'm not a very good Pixel Artist, in fact I'm downright terrible.
Asesprite has afforded me the ability to create dreadful pixel art and feature (bug) rich pixel art games the likes of which Bethesda would be proud.
There's a reason you see Aseprite talked about a lot in pixel art circles (squares?) on the internet. It's a fantastic bit of software that's continually updated and if there are any bugs, I've yet to find one. It's not perfect, for example I use Pyxel Edit for tile maps as it really can't be beaten for that, but it's not far off being perfect.
The Dev cares, he even gives the source code away on his Github but he deserves every penny imo. If you're serious about Pixel Art buy it. In fact, I'd be disappointed if you haven't already.
Quick tip: If you're worried about canvas size may I recommend 1 by 1. It's the only size I can work in.
",1601752371,1601752371,True,0,0,0,0,True,False,False,76561198099239361,110,1,6438,101,6404,1601840368,,
11,75595824,english,Best,1599485640,1601707453,True,0,0,0,0,True,False,False,76561198125756390,205,11,41570,0,41570,1585328117,,
12,76947265,english,"Bought it tonight and am already very satisfied, very simple and easy for novice and advanced pixel artists alike.",1601698171,1601698171,True,0,0,0,0,True,False,False,76561198263935062,73,2,1876,1876,161,1602033669,,
13,76939367,english,"Great pixel art tool. Easy to use, easy to learn. I'd highly recommend it to any aspiring pixel artists out there.",1601684118,1601684118,True,0,0,0,0,True,False,False,76561198086901966,32,12,4031,1785,2702,1601872260,,
14,76914704,english,yep,1601649618,1601649618,True,1,0,0,0,True,False,False,76561198163268740,54,13,1131,1077,603,1601944657,,
15,76898597,english,Really functional and easy to use program for editing animated sprites and gifs,1601621942,1601621942,True,0,0,0,0,True,False,False,76561197973650142,233,10,670,271,432,1601635335,,
16,76883676,english,"Almost perfect in every way. Started my pixelart adventure with this program, and I'll probably stick with it till the end. 

Wishlist:
- Better curved line tool",1601591831,1601591831,True,1,0,0.520833313465118408,0,True,False,False,76561198085948960,124,4,56478,3330,55450,1602076957,,
17,76867073,english,very nice or somethin,1601567125,1601567125,True,1,0,0.523809552192687988,0,True,False,False,76561198007536959,903,2,876,750,808,1601695408,,
18,76828738,english,Awesome pixel software! Worth the price!,1601496209,1601496209,True,0,0,0,0,True,False,False,76561199013000752,11,3,6422,494,6031,1602021291,,
19,76817867,english,"I love Aseprite. When I first opened it, I was confused, but in half an hour I was creating actual pieces of art. Really welcoming to new folks, easy to understand, really intuitive, simple, but powerful. Couldn't recommend enough if you want to get into pixel art / animation.",1601481488,1601481488,True,7,0,0.602768599987030029,0,True,False,False,76561198178394727,515,55,2392,2392,1296,1602012368,,
20,76760016,english,"I used Aseprite for 540 hours, I don't need to write detailed review since you can understand why it is best pixel editor. Buy it.",1601383799,1601383799,True,1,1,0.505703389644622803,0,True,False,False,76561198058966972,192,10,32453,63,32453,1601383760,,
21,76752558,english,aeugh,1601369230,1601369230,True,0,0,0,0,True,False,False,76561198930370548,13,1,27864,5058,24533,1601894224,,
22,76745930,english,"A really great pixel art editor. I love that it's open source - ""Free as in speech, not as in beer"". Themes can make it look however you want, and it has a great community.",1601353555,1601353555,True,0,0,0,0,True,False,False,76561198319081382,18,1,650,1,650,1601353612,,
23,76739302,english,After 80 hours I guess I should thumbs up,1601340034,1601340034,True,2,1,0.523809552192687988,0,True,False,False,76561198115253358,346,57,5474,1707,4813,1601938893,,
24,76733794,english,Aseprite has everything that I ever wanted in a sprite art software. I will be using it for years to come. Would reccomend picking it up.,1601329863,1601329863,True,2,0,0.523809552192687988,0,True,False,False,76561198096860013,200,8,3818,3,3818,1600971038,,
25,76732960,english,Completely worth the purchase!,1601328422,1601328422,True,0,0,0,0,True,False,False,76561198117612994,27,3,7400,597,7080,1602054399,,
26,76725974,english,"Fantastic software for creating pixel art. 

The tools provided range from basic tools you would
find in softwares like Photoshop and GIMP but also
contains a whole library of more advanced tools that
you can use to create tile sets, sprite sheets and
just general art. 

Fantastic price for what it is, especially that it is a once
off payment! Always getting updates and improving too.",1601318780,1601318780,True,0,0,0,0,True,False,False,76561198124145105,537,14,8430,0,8430,1589306092,,
27,76713689,english,ye,1601303588,1601303588,True,1,0,0.523809552192687988,0,True,False,False,76561198255487152,65,18,1923,1923,242,1601644575,,
28,54442619,english,Great software for pixel art! The theme fits and the tools always work perfectly. I also like the fact that you can customize the software to your preference.,1564860289,1601280938,True,0,0,0,0,True,False,False,76561198966600060,22,4,7192,1314,6848,1601677745,,
29,76687684,english,yeah,1601253462,1601253462,True,0,0,0,0,True,False,False,76561198203591660,47,2,13615,3806,10620,1602044063,,
30,76682065,english,I liked how simple and easy it is to learn. The Format looks cool. One thing i dont like is the price,1601243633,1601243633,True,0,0,0,0,True,False,False,76561198429874288,4,1,1446,1446,517,1601957994,,
31,76679114,english,"This is honestly the easiest art program to use. There's limited tools and brushes, but so far this program has been perfect. I'm developing a game with a friend, and I haven't really run into any problems with it.",1601239427,1601239427,True,0,0,0,0,True,False,False,76561198148959335,282,86,6264,1793,4716,1602044941,,
32,76657022,english,"easy to use, great for starting pixel art",1601213183,1601213183,True,0,0,0,0,True,False,False,76561198846288889,85,10,1575,439,1240,1602011789,,
33,76644695,english,Good,1601195587,1601195587,True,0,0,0,0,True,True,False,76561198361186503,115,27,14600,427,14254,1601742208,,
34,76625336,english,Simple and effective sprite editor. Easy to learn.,1601161228,1601161228,True,0,0,0,0,True,False,False,76561198141711256,93,1,854,0,854,1600740883,,
35,76620336,english,best pixel art program for a great price.,1601154305,1601154305,True,0,0,0,0,True,False,False,76561197980210904,410,5,17087,1808,16054,1601866854,,
36,76618957,english,"Very good. Perhaps not perfect, but steadily being updated.",1601152582,1601152582,True,0,0,0,0,True,False,False,76561197990143460,105,10,9860,4139,6396,1602053944,,
37,76614561,english,A fantastic pixel art tool.,1601147293,1601147293,True,0,0,0,0,True,False,False,76561197967563075,281,16,1954,72,1953,1601223659,,
38,76610687,english,is gud,1601143037,1601143037,True,0,0,0,0,True,False,False,76561198013904012,91,2,6988,1048,5939,1602010614,,
39,76602237,english,"User friendly UI especially for beginner. If you want to learn how to draw pixel art images, this is the best tool you can get. Also support frame by frame animation. Worth the price.",1601133305,1601133305,True,0,0,0,0,True,False,False,76561198005448440,54,2,2401,361,2378,1601206599,,
40,76582871,english,"Definitely recommend for any user, Aseprite is one of my favorite editors and is super easy to use for animations. Don't be worried about wasting your money here, let your creativity flow!",1601107037,1601107037,True,1,0,0.523809552192687988,0,True,False,False,76561198162449309,37,1,10307,0,10307,1600770308,,
41,76536794,english,Basically the best software to draw pixelart. If you work with this style you need to buy it ;),1601042749,1601042749,True,0,0,0,0,True,False,False,76561198032064537,39,3,13023,435,12970,1601059080,,
42,76497683,english,good,1600977363,1600977363,True,0,0,0,0,True,False,False,76561198315617849,2,1,1530,1174,386,1601652874,,
43,76485854,english,"I would 100% recommend this program for most pixel art needs. It's pretty easy to learn, and it has a lot of great features. I've rarely run into any issues or bugs, and i've overall had a very positive experience with it.",1600963206,1600963206,True,1,0,0,0,True,False,False,76561198314358168,144,4,61067,2110,59442,1602044245,,
44,76479314,english,great tool highly recommend for spriters,1600954882,1600954882,True,0,0,0,0,True,False,False,76561198304141739,197,7,3788,1,3788,1601147927,,
45,76470724,english,"If you like pixels (who doesn't) then this is for you! One could argue you can easily do all of this in Photoshop or even MS Paint, yet the former is very expensive and overkill if one only wishes to do pixelart sprites, and the latter really lacks in most departments when it comes to actually making convenient art for games. Aseprite has a lot of features that make it super comfortable to implement sprites and tiles into your game engine (I use Godot) and if you like to have animated sprites etc, this is definitivly easy!",1600939143,1600939143,True,0,0,0,0,True,False,False,76561198017403667,121,43,2237,149,2216,1601887864,,
46,76468864,english,Good software,1600934749,1600934749,True,0,0,0,0,True,False,False,76561198171864177,106,14,317,173,292,1601614839,,
47,76435269,english,"i use it to make art sometimes, it's nice",1600878380,1600878380,True,1,0,0,0,True,False,False,76561198128765383,79,2,306168,3670,302474,1601957320,,
