,title,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,Assetto Corsa Competizione,77186243,english,Simply the best simracing title.,1602087740,1602087740,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,20,1,867,867,867,1601972409
1,Assetto Corsa Competizione,77183653,english,Good Sim racing,1602084219,1602084219,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,5,1,775,232,775,1601565675
2,Assetto Corsa Competizione,77182965,english,"Me Likey
",1602083675,1602083675,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,4,3,1371,129,1333,1602096186
3,Assetto Corsa Competizione,77115495,english,very good game !!!,1601969873,1601969873,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,24,2,5488,734,5488,1601914975
4,Assetto Corsa Competizione,77112459,english,"Best GT3 sim you'll find, easy as that. Wish they hadn't removed regional pricing though.",1601963489,1601963489,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,562,11,3889,1295,3732,1602102774
5,Assetto Corsa Competizione,75682887,english,"This sim started as a lagfest and bugfest. Well, at least on my machine. Fortunately, ACC is frequently updated / fixed so by now it is one of the fiercest racers around.

It was a clever move to focus it on certain race series instead of adding all cars in existence. Not as if that was a problem - but it has been done already in the predecessor Asetto Corsa. So considering this franchise it is sort of refreshing. It was done before in many games of course (think of GTR series or Sports Car GT from the ancient times) but very few games have such a cleverly designed online competition and rule system. 

So, if online sim racing is your thing, you can be easily lost in a Bermuda trianlge of Asetto Corsa Competitione - RaceRoom - F1 20xx for weeks.",1599629017,1601960746,TRUE,7,0,0.590014577,0,TRUE,FALSE,FALSE,7.65612E+16,380,117,1286,515,1286,1601606373
6,Assetto Corsa Competizione,77104336,english,"Coming from Project Cars 2, ACC recognized my G27 without having to calibrate it. The cars handle more realistically and the force feedback feels better. HUD while driving needs improvement. Some fonts are small and hard to read.",1601946269,1601946269,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,248,9,368,368,368,1601945796
7,Assetto Corsa Competizione,77095415,english,"This is a very satisfying and immersive simulation of GT3 racing. The quality of the content is very good. I'm surprised to see I have played now for 50 hours (as of writing this review) and most of that time has been spent just with the Mercedes-AMG GT3 car.

I highly recommend this in particular for people who enjoy multiplayer racing, especially in a league. For single player, it is probably still worth it, but not nearly as much.",1601929416,1601929416,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,78,6,3118,756,3032,1602097312
8,Assetto Corsa Competizione,77062306,english,didn't even make it to t1 before i got hit...,1601875378,1601875378,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,44,9,575,349,575,1601873506
9,Assetto Corsa Competizione,77059960,english,just buy it already,1601870353,1601870353,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,196,6,6188,303,6122,1601947149
10,Assetto Corsa Competizione,77043462,english,Assetto Corsa Competizione is a fantastic racing sim with a great way of entering into the 'sport'. I found the easier difficulties got me used to the game and it was really rewarding to finally watch as my skill got better and better. Love it.,1601840906,1601840906,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,48,18,521,187,521,1601840800
11,Assetto Corsa Competizione,77043158,english,"I always wondered what the fuss was around this game. I tried AC quite some time ago and wasn't impressed but was perhaps early access period .. should've picked it up again.  A friend said how much fun he was having with ACC, price was reasonable, so I grabbed it.  We're still friends ;)  

Seems like it is possible to configure pretty much anything as needed, controls, visuals, view, realism, etc.  Feel is fantastic, I have tried some amount of single player career, tried all the tracks and cars quickly, and did a couple of online races too.  (Yes, a couple of guys that probably pushed clutch instead of brake at corners, but also many people interested in racing properly).  Some great adrenalin rushes :) 

I've noticed that it has something which keeps me engaged, the visuals, the info, the feel all make me want to squeeze a few 10ths off the lap time, try different things at different corners, where you can immediately get an idea from the feedback if it was good or not ... then start to string them all together in one lap - is actually quite addictive.  Enjoyment level with this game is very high and I hope it continues as I plan to use this one to improve my race skills, finally attempt to do own car setups, and take part in some real racing! :D

Summary: Wow!",1601840502,1601840502,TRUE,1,0,0.530201316,0,TRUE,FALSE,FALSE,7.65612E+16,534,10,846,547,723,1601925435
12,Assetto Corsa Competizione,54832158,english,"very few cars, only GT3 , I missed the original AC lineup of cars, suggestion allow GT4 segment atleast. They have since moved in the direction of incorporating GT4 as result my review changed to recommend",1566877093,1601830783,TRUE,0,0,0.414372623,0,TRUE,FALSE,FALSE,7.65612E+16,79,10,1085,0,1085,1578177778
13,Assetto Corsa Competizione,77024655,english,first pc racing sim that i played tryed it on the ps4 and no good but so much better on pc,1601817368,1601817368,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,4,1,661,661,483,1602069877
14,Assetto Corsa Competizione,76991335,english,very fast cars,1601761465,1601761465,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,99,5,4783,1160,4780,1602100858
15,Assetto Corsa Competizione,76983737,english,good game,1601751078,1601751078,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,5,1,4836,31,4806,1601753148
