,title,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,Battlefield 4,77187235,english,Way better than COD ground war lol,1602089166,1602089166,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,84,5,709,709,709,1602089150
1,Battlefield 4,77187106,english,ok,1602088984,1602088984,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,1,1,1030,1030,1000,1602090820
2,Battlefield 4,77185960,english,"FRIGON ORSOME
",1602087265,1602087265,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,2,1,276,276,215,1602090838
3,Battlefield 4,77185308,english,"This game has barely aged in 2020, putting the bugs and glitches aside (I hardly noticed any). The graphics look stunning even now and nowadays you can run this game easy peasy on something like a 1050 Ti @ 60fps. There are plenty of servers nowadays, and playing Infantry or anything with friends is a blast. I got a key for this game on Origin a couple of months ago before it came back on Steam, and I decided to get this for £7 because getting all the DLC alongside it is such a steal. Of course there are probably more vanilla map servers than DLC servers but you'll see plenty of DLC servers. I also recommend you install BetterBattlelog Fix so that you can actually see a server's true player count..",1602086273,1602086273,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,125,21,212,212,212,1602085160
4,Battlefield 4,77156024,english,"play 10 mins get trapped by a Bug restart play 10 get trapped by a Bug restart play 10 mins get trapped by a bug restart.

good thing its 8$

also kicked by punkbuster 5 mins into an online match.",1602036820,1602084471,FALSE,1,1,0.523809552,0,TRUE,FALSE,FALSE,7.65612E+16,85,3,200,200,200,1602084350
5,Battlefield 4,77183738,english,"Was disappointed with WW3 with the bad optimization and now pratically a dead game, MW2019 Ground War is a hacker MG/sniper fest that would end the game with a tactical nuke just 5-10 minutes in and the advertised  C O M B I N E D  A R M S  warfare was not what I came to hope, came back to BF4 to quench my thirst for some fun all out war.",1602084326,1602084326,TRUE,1,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,161,33,678,325,629,1602089881
6,Battlefield 4,77183629,english,yes,1602084186,1602084186,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,24,14,218,218,182,1602086357
7,Battlefield 4,77182097,english,"classic, played 300 hours on console",1602082659,1602082659,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,29,2,359,359,359,1602078250
8,Battlefield 4,77181993,english,PLS FIX PUNKBASTER!!!!,1602082536,1602082536,FALSE,0,1,0.476190478,0,TRUE,FALSE,FALSE,7.65612E+16,5,1,134,134,13,1602090467
9,Battlefield 4,77181853,english,Still THE best Battlefield game,1602082381,1602082381,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,422,34,115,89,101,1602083381
