,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,timestamp_dev_responded,developer_response
0,77186136,english,"Its not as realistic as the isle but its funny, great community on the right server and good game play, currently my fave game",1602087573,1602087573,True,0,0,0,0,True,False,True,76561198043958615,328,7,11081,6377,11051,1602089710,,
1,77181218,english,fucking sucks,1602081563,1602081563,False,0,0,0,0,True,False,True,76561198385903033,54,4,7316,122,7316,1602081321,,
2,76894328,english,"If it had better animations, more dinosaurs and better graphics/sounds and a less disgusting skin customisation system, I'd reccomend it for the current price, but atm no. I only find Aquatic gameplay to be the best, game still lacks a lot of fun aspects too it as you try to grow, needs more to do. Actual ai maybe lol. Earthquakes, Hurricanes, Tsunami's. Some stuff needs a buff without a doubt though -mosa-

[Needs some kinda anti-cannibalism factor for all species that encourages players to not eat their own kind and hunt for different species.",1601613451,1602066693,False,0,0,0.476190477609634399,0,True,False,True,76561198044527426,133,46,3167,3167,3167,1602066574,,
3,77158083,english,"It's fun. It's not finished and not as polished as some other games of its niche but there's lots of variety in the animals you can play and they have a fleshed out skill tree system that always gives you something to work toward. Makes a great alternative to The Isle or even Path of Titans. It may not look as pretty but it's an actual game, not a dinosaur walking simulator.",1602040759,1602040759,True,0,0,0,0,True,False,True,76561198813558330,24,1,9215,744,9215,1602040367,,
4,50481895,english,"Beast of Bermuda is a very colorful and neat play style in survival. The dinosaurs/ creatures you get to chose from is quite diverse. From flying in the area to swimming in dangers water with Mosa’s. Down to being the king of Dinosaurs- (Rex) it’s fun. 

Make your dinosaurs skin/ colors/ patterns. See your skills to help you survive better against other players and the weather. Fight, Nest and Protect Each Other Agenst All Odds. 

It’s only Multiplayer. - I do hope maybe a single player could be in the future but still a fun game. 

7/10- Controls

7/10- Graphic’s

8/10- Over All",1557007023,1602020650,True,3,0,0.548070013523101807,0,True,False,True,76561198943606907,250,6,94603,624,94382,1602036804,,
5,77140789,english,AMAZING GAME FOR JUMP SCARES AND JUST FOR FUN IN GENRAL.,1602010705,1602010705,True,0,0,0,0,True,False,True,76561199013711668,9,2,222,222,215,1602023725,,
6,77124055,english,"Awesome game , just wish we'd have a utah raptor and a spino maybe but overall pretty fun!",1601987377,1601987377,True,0,0,0,0,True,False,True,76561198101440877,63,5,5391,1969,5232,1602020263,,
7,50991086,english,"A lot of servers still suck so I find myself playing many servers rather than 1. A lot of servers have rampant admin abuse and many more are husks.

Either way, at least the mechanics and bugs are starting to iron out to the point that I can change my review. Given I had 9 before and well...i'm almost 700 lmao",1559388926,1601966531,True,0,0,0.497382223606109619,0,True,False,True,76561198062614140,63,32,39805,770,39575,1602030428,,
8,77087015,english,Chill game,1601917413,1601917413,True,0,0,0,0,True,False,True,76561198143799661,45,2,1943,1943,1086,1602033205,,
9,77075900,english,"I spent 38 minutes so far, only to adjusting settings and trying to make it work.
Only thing I managed to do without problems was run for a bit, like maybe 5mins trying to stand that. Other just game randomly freezing to title without being able to esc or anything. (Which I know is not my computer, as other games work smooth on epic graphics.)
And the motion blur is just awful. Didn't seem to find button to take it off? It is very laggy and broken, and I am disappointed. 
The buttons and whole layout looked like mobile game, search and other buttons not working at all.
People had cool reviews that made me very excited, but I think I am going for refund at this point. :/

Might come back once it seems to be more decent
",1601902137,1601902137,False,0,0,0.476190477609634399,0,True,False,True,76561198067641025,50,1,38,38,38,1601901799,,
10,77071069,english,"There's some argument that there are better dinosaur survival games out there, and while for other play styles probably yes. I for one think this is the best Dinosaur survival game on Steam so far. 

The graphics aren't called top notch, but I guarantee the features in this game and the constant attention from the developers is much better than having an over-glorified butt-munching battle with anything you cross paths with like observed in some other games I've seen. 

The devs fix minor things to massive things really fast and it's enjoyable. It's fun they add special skins and limited time shimmers. I enjoy the growth. I don't like having a stopping point because then I get less invested with my dinosaur. This game also implements skills and a genetic system to make growing more exciting.

There are players that are going to attack you and many of the LARGEST servers I've seen have super petty and toxic people online, people that will harass you because they attacked your child so you killed them kinda petty. BUT there are many decent servers out there and so you don't have to play with people that only want to harass you and your group because you didn't let them walk all over you.

There are many abilities for many dinosaurs. The Sai (Similar to the ankylosaur) can tuck in and deflect damage, turn in place to keep it's tail facing enemies and swing it's tail either direction. It's heavy so things can't swoop up and monch you as easily. Slow, but a decent dinosaur to grow. This is one example. Another good one is the Acro. It's able to roar at prey or enemies and deplete some of their stamina, it's strong and has a decent growth time. You can dig as the orycto and build a customized den. Tornados can't pluck up adult apas.

There's really so much this game has to offer and I wish I had more friends to play it with. I can't get it all in this one post, but I guarantee if you like this sort of game and want an active and DEDICATED dev team.... You'll like this one. Maybe even love. :)",1601894055,1601894055,True,1,0,0,0,True,False,True,76561198109613875,68,31,17938,63,17938,1601735241,,
11,77007720,english,Very cool game if u wanted the isle but u have a bad pc this is the game for u,1601790539,1601790539,True,0,0,0,0,True,False,True,76561199027033950,3,3,1922,1922,950,1602041824,,
12,76996445,english,"almost 4 hours and i LOVE this game, reminds me of the isle, less dinos but different dinos, if i could recommend this game to other people, i would but im a bit too lazy for that, but im not too lazy to get it and play, whoever is reading this, GET THE DAMN GAME, STOP WASTIN YO DAMN TIME",1601769934,1601769934,True,0,0,0,0,True,False,True,76561199030842362,26,9,1506,1506,230,1602090172,,
13,76981038,english,It's one more dinosaur game and has fun playable dinosaurs.,1601747607,1601747607,True,0,0,0,0,True,False,True,76561198386677052,26,8,2686,1104,1581,1602090919,,
