,title,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,timestamp_dev_responded,developer_response
0,Football Manager 2019,77010061,english,"Absolutely a mega game, if you play it to the max",1601794825,1601794825,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,6,1,34391,6765,34262,1601802976,,
1,Football Manager 2019,76963085,english,good,1601724771,1601724771,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,24,3,10076,225,9945,1601736445,,
2,Football Manager 2019,76859101,english,good,1601555913,1601555913,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,14,1,36499,2800,35330,1601820377,,
3,Football Manager 2019,76852347,english,"I can't get to developer. I recently play this game again. I pick Malaysia League. And bring my team to continental competition Asia Champions League, rules stated player register must not more than 4 foreigner and atleast 1 is Asian player, when I met all China team, I can see they can fielded all up to 7 8 foreign player. It was impossible for me to play against good team with broken rules play inside this game. Can developer fix this problem before I purchase up to date game.",1601542056,1601542056,FALSE,0,0,0,0,TRUE,TRUE,FALSE,7.65612E+16,8,3,10662,904,9992,1601835849,,
4,Football Manager 2019,54474292,english,"Good game if you like soccer, and the nerdier text based minutia that comes with running a sports team.

The actual match engine they use for the games is bad, like really bad. It is so bad that it makes you wonder why it is even a feature, it actually take away a lot from the game. If this game was strictly text based, it would be a 9.5/10 for me. The absurdity of the match engine brings it down to a 7/10 unfortunately.

Edited over a year later, with another 600 hours on 20: I was a little angry when I wrote this review. While some of it I still believe, this was before I realized you can actually alter the visual representation of the highlights (though still not scoring replays). I also have a more nuanced respect for the work that goes into making these engines. Also big ups for making this free.",1565030543,1601491231,TRUE,0,0,0.472440958,0,TRUE,FALSE,FALSE,7.65612E+16,100,12,35005,0,35005,1584070636,,
5,Football Manager 2019,76772915,english,Sure,1601400602,1601400602,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,140,22,18937,0,18937,1571263914,,
6,Football Manager 2019,76742652,english,It's pretty good,1601346579,1601346579,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,154,2,65764,10762,60077,1601868069,,
7,Football Manager 2019,76445169,english,yes,1600890024,1600890024,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,37,3,722,282,657,1600894385,,
8,Football Manager 2019,76393725,english,game is kinda epic but dont play it if you get easily pissed off,1600802326,1600802326,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,17,1,38210,1016,37428,1601825644,,
9,Football Manager 2019,76266048,english,ih,1600587550,1600587550,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,3,1,10280,1805,7943,1601744124,,
10,Football Manager 2019,76229190,english, ',1600528550,1600528550,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,2,1,108667,8345,99567,1601872203,,
11,Football Manager 2019,76143058,english,class,1600383181,1600383181,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,41,2,85092,0,85079,1600384013,,
12,Football Manager 2019,76132829,english,Great game!,1600367450,1600367450,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,64,3,4428,1124,2756,1601850847,,
