,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,76960393,english,Surely by now you know what this game is about. It's good!,1601720693,1601720693,True,0,0,0,0,True,False,False,76561198346570497,81,11,23199,10101,19034,1602026745
1,76566450,english,"Great game, I've played so much because it's fun and so addictive. I managed to rack over 100 hours during lockdown and even since we came out of it I love playing this game.",1601079616,1601079616,True,1,0,0.523809552192687988,0,True,False,False,76561198801451535,10,4,8955,917,8227,1601587289
2,76560470,english,"It's Football Manager. If you liked the others, you'll like this one.",1601070552,1601070552,True,0,0,0,0,True,False,False,76561198023396552,160,1,4529,1339,4460,1601423120
3,76466158,english,"I didn't play the touch version much. It seemed okay. I play the regular version a lot. However, real life sports in the U.S. and some other countries have become focused on playing politics rather than entertaining us (sports is part of the entertainment industry). I stopped attending or watching pro and college sports several years ago. In this game I never play as a U.S. team as U.S. sports have tons of criminal records and tons of politics rather than entertainment. My wife is Brasilian so I play mostly Brasilian teams. I'll keep playing FM since I already paid, but, thanks to disgusting players and commissioners in sports I will no longer purchase any sports games that are based on real players or teams. Nothing that gives income to spoiled and disgustingly behaved overpaid sports. I have already marked FM2021 as Ignore in Steam and mark all sports based on real life as ignore now.",1600928245,1600979332,False,1,0,0.452605098485946655,0,True,False,False,76561198255584035,84,60,234,0,234,1574283282
4,76480859,english,FM is allways a good game love playing it.,1600957086,1600957086,True,0,0,0,0,True,False,False,76561198975452064,4,1,8825,2045,6780,1602079020
5,76395588,english,Excellent.,1600804961,1600804961,True,0,0,0,0,True,False,False,76561198314130716,16,3,564,61,452,1600889358
6,76210797,english,gr8,1600501085,1600501085,True,0,0,0,0,True,False,False,76561198249364184,28,7,1259,0,527,1600744140
7,76133165,english,e3azdfseg,1600367918,1600367918,True,0,0,0.46268656849861145,0,True,False,False,76561199035668256,1,1,2721,621,2032,1601999700
8,76042771,english,Love this game,1600211750,1600211750,True,0,0,0,0,True,False,False,76561198078453766,9,1,94411,2856,89143,1601555486
9,76026144,english,"Love FM20 but touch is a great version to play if you're like me and not interested in press conferences and other shennanigans that just really slow down the full game. Both games are great, but if you like a more streamlined version then Touch is the one for you.",1600187415,1600187415,True,3,0,0.557275593280792236,0,True,False,False,76561199010203541,5,2,11421,2204,8720,1602013869
