,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,77186577,english,bugs,1602088298,1602088298,True,0,0,0,0,True,False,True,76561198160285064,94,6,1071,1071,1071,1602088156
1,77179840,english,"This game is great as is and seeing as it is still unfinished I know it will only be getting better, I was skeptical about throwing down $30 on an unfinished game but I am glad I did. It is fun to play in it's current state and I am excited about the proposed future updates. If you know this is your kind of game don't wait any longer go ahead and buy it you won't regret it.",1602079713,1602079713,True,0,0,0,0,True,False,True,76561198181739555,103,3,1427,1427,1353,1602084162
2,77178493,english,YOUR STUPID BUILDING SENSES  WORST LIKE FORK KNIFE (FORNITE SUX) PLEASE UPGRADE UR BUILDING COMMON SENSES AND ITEMS ON THE FLOOR :>,1602077873,1602077873,True,0,0,0,0,True,False,True,76561198370282855,13,2,1487,1487,1360,1602083691
3,77170922,english,"Very fun game, can't wait to see more of the added content that'll be dropping soon.",1602065461,1602065461,True,1,0,0,0,True,False,True,76561198079877845,94,3,3996,214,3965,1602068924
4,77170572,english,Fun exploration sandbox with a yet unsolved plot.,1602064818,1602064818,True,1,0,0,0,True,False,True,76561198038658932,69,5,1975,351,1975,1601755617
5,77168778,english,"Fun game, cant wait for this dev team to complete the game. amazing second major update to the game.",1602061632,1602061632,True,1,0,0,0,True,False,True,76561198304537706,84,2,2569,445,2370,1602073853
6,77166722,english,Have to give a thumbs down because of the issues with microsoft xbox live log in. What a nightmare. Can't log in,1602058276,1602058276,False,1,1,0.49714285135269165,0,True,False,True,76561198117309684,142,19,4134,1271,4134,1602057214
7,77162010,english,"Grounded is a very interesting game. It combines aspects from The Forest. While also keeping the aesthetic cute and less full of man eating abominations. Now all that chases you are massive insects which wish to kill you at every moment.

The only real issue with the game so far is it being in early access. All that's holding it back now is development time and a good story to go along with it. It's an enjoyable survival experience with friends so make sure you have those to go along with the game.",1602048753,1602048753,True,0,0,0,0,True,False,True,76561198088346041,240,5,811,0,811,1600672816
8,77161060,english,it's ok,1602046711,1602046711,True,0,0,0,0,True,False,True,76561198012737665,104,26,364,364,304,1602090082
9,77157670,english,This game cool and all but why have a survival game with a story line? when we finish what are we suppose to do it get repetitive and boring quick! plus a 4 person survival game smh!,1602040028,1602040028,False,1,0,0.404012352228164673,0,True,False,True,76561198303965089,45,5,791,0,791,1597243183
10,77156025,english,little buggy but good can't wait to see it grow in updates,1602036821,1602036821,True,1,0,0,0,True,False,True,76561198383246490,67,3,503,503,332,1602089555
11,73436496,english,--July Release Game--      Graphics are well done!!! There is a lot of stuff to craft. My Ideal Game!!! There is going to be update every month. It's worth it to invest to the game!!!--August Update--      I currently have 6 Bases around the backyard. 7 tall Tower for sightseeing. I really love the view from my tower. I can see the whole backyard. Since these only early access only i can do right now is Building multiple base for the future UPDATE. My plan is Build a lot of Tower in different places. So that i can focus on the New Content Every Month without making a new base nearby. I cant wait for the ZIPLINE. I will put them at the top of my towers. Making a new base is not easy. It took me 10 hours to make a normal Base that have all the utilities inside. Grinding Materials is really hard and tedious job. Chopping weed steam and grass plank is really easy because of the new Mutation perk. Carrying it to the base area is the hard part. You going need atleast 300+ grass planks or weed steam. I want the base 2 floors minimum for utilities and a lot of storage chest. This game going to have a lot of Items. I want to organize my items nicely. also preparing for the new Items coming for the future update.--SEPTEMBER UPDATE-- The zipline is amazing!!! i connect my towers using ziplines. the new Hedge environment is garbage but its alright. the only good thing in this update is just the zipline.,1595974509,1602036319,True,1,0,0.523809552192687988,2,True,False,True,76561198102321802,86,6,12871,2043,12821,1602072442
12,77155228,english,"Despite the lack of content but this game is gonna be an amazing sandbox game in the future for sure. It has a lots of potential.

Buy it if you like adventure, survival, crafting, building and exploring etc., yall gonna love it I can assure and it's worth every penny even on this state.",1602035396,1602035891,True,1,0,0,0,True,False,True,76561198025885106,523,58,3944,2374,3944,1601897884
13,77154648,english,"Saw the trailer with my friend like few months back and was really excited for it but quite sad when I saw back then it was for consoles only. Until last week I found out it releases on Steam and I was really overwhelm. Played this with my friend for few hours and I think there's still a lot more to explore out there in the wild backyard.

Just a few suggestion that I think could be improved is:
1. Equipped armour should be removed from inventory once you wear it.
2. A compass would be nice addition (perhaps it is already implemented but needed to be unlocked in the game when progress forward, Im still new to this game).
3. Mark a waypoint on the map and can be viewed on HUD.
4. Mark respawn spot or custom point so that we can review back the map what we have explored.
5. Maybe add some human walk by randomly and we need to dodge them.
6. More backyard (eventhough Im still new to this game, saw some review saying they finished all the mission in few hours).

Hope that you could take my suggestion for consideration, thank you for the fun game and I wish the dev keep on improving this EPICCCC GAMEEEE.",1602034242,1602034242,True,0,0,0,0,True,False,True,76561198029365155,1044,15,159,159,159,1601991371
14,77153472,english,"Sandbox game, freeroam, survival, all these genres i love but the down side is the insects",1602031969,1602031969,True,0,0,0,0,True,False,True,76561198314574203,31,4,499,138,499,1601837489
15,77153017,english,"i'm having a lot of fun with this game. I have only played solo, but it scratches that ""Honey, I Shrunk the Kids"" itch I have been waiting for in a game. Very beautiful to look at, and some really fun mechanics. Still in early access, but all of the changes so far have been awesome. I love it, 10/10 recommend",1602031030,1602031030,True,0,0,0,0,True,False,True,76561198063645942,70,1,1843,53,1843,1601771942
16,77152118,english,Fantastic concept well executed so far. I hope they keep up the great work,1602029316,1602029316,True,0,0,0,0,True,False,True,76561198041668665,103,16,472,472,472,1601757284
17,77149535,english,THIS IS AWSOME,1602024389,1602024389,True,0,0,0,0,True,True,True,76561198035697125,12,1,404,404,306,1602034804
18,77147740,english,"VERY GOOD
",1602021137,1602021137,True,0,0,0,0,True,False,True,76561198274546272,25,1,227,227,227,1601934385
19,77147478,english,What a fun game!,1602020681,1602020681,True,0,0,0,0,True,False,True,76561198352698865,18,2,2938,2938,2534,1602087638
20,77145877,english,its fun,1602018100,1602018100,True,0,0,0,0,True,False,True,76561199087614127,1,1,1684,746,1522,1602037517
21,77145767,english,"I really regret buying quite a few games on Steam, I wish there was another way to have the game removed from my game list and have my money given back. Even if it is put on the steam wallet. I know of 3 games I would do that with. 
Oh well.",1602017930,1602017930,False,0,0,0.385964930057525635,0,True,False,True,76561199068343377,3,2,296,0,296,1596252279
22,77142954,english,this is just a dope ass game to play with friends,1602013754,1602013754,True,0,0,0,0,True,False,True,76561198278090285,33,3,307,74,307,1601765667
23,77142677,english,great game,1602013263,1602013263,True,0,0,0,0,True,False,True,76561198316497107,58,2,981,834,809,1602089928
24,77141655,english,"Funny, entertaining, challenging - this is what the survival genre was needing. I seriously love playing this with my friends (or alone, if I must) and it's genuinely amazing to see the new patches coming in, with all the new things being added.",1602011863,1602011863,True,0,0,0,0,True,False,True,76561198042131167,82,1,390,41,390,1601770375
