,title,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,Halo The Master Chief Collection,77060903,english,"This is a really fun collection but I must warn people, if you're planning on playing co-op, dont. It has horrendous lag and stuttering and 343 has done nothing to fix the insane bs affecting both cutscenes and gameplay. The actual pvp multiplayer is just fine but the game shouldn't have this issue nearly a year after launch.",1601872261,1601872261,FALSE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,70,6,973,973,973,1601872052
1,Halo The Master Chief Collection,77059566,english,dope lol,1601869533,1601869533,TRUE,1,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,5,2,836,271,836,1601866923
2,Halo The Master Chief Collection,77059504,english,"its halo man, everyone's played you know what you're getting",1601869417,1601869417,TRUE,1,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,112,2,411,411,411,1601869401
3,Halo The Master Chief Collection,77059486,english,"you wear a mask no matter what game you play, it makes you into batman.",1601869392,1601869392,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,108,11,1323,382,1323,1601426901
4,Halo The Master Chief Collection,77059441,english,"DUH, why no?",1601869306,1601869306,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,57,4,680,65,620,1601872876
5,Halo The Master Chief Collection,77058990,english,"Man i didnt expect this to port to Pc i always have been a pc sucker for the past years and not a console guy games like persona and mcc?       a wise protein man once said ""I'VE BEEN WAITING FOR THIS""",1601868398,1601868398,TRUE,0,1,0,0,TRUE,FALSE,FALSE,7.65612E+16,9,9,44,44,20,1601872185
6,Halo The Master Chief Collection,77058952,english,"10/10 epic pog
",1601868333,1601868333,TRUE,0,1,0,0,TRUE,FALSE,FALSE,7.65612E+16,137,9,271,271,271,1601868319
7,Halo The Master Chief Collection,77058940,english,<3 the best,1601868301,1601868301,TRUE,1,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,126,10,754,15,754,1601871882
8,Halo The Master Chief Collection,77058419,english,the same feel as the classic xbox editions in the 2000s but with a modern twist,1601867328,1601867328,TRUE,1,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,14,2,763,732,763,1601866772
9,Halo The Master Chief Collection,77058142,english,love it,1601866781,1601866781,TRUE,2,0,0.528795838,0,TRUE,FALSE,FALSE,7.65612E+16,10,1,6167,322,6167,1601856872
