,title,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,timestamp_dev_responded,developer_response
0,Phasmophobia,77060900,english,10 out of 10 would love to hear my friends scream at each other again.,1601872257,1601872257,TRUE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,208,1,387,387,387,1601871671,,
1,Phasmophobia,77060888,english,based and redpilled,1601872227,1601872227,TRUE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,103,10,476,476,476,1601864683,,
2,Phasmophobia,77060887,english,Love the game! Cant wait to see what can be added to this since it has a lot of potential. I think when players die they should be able to talk through the spirit box to be able to talk to the team from the grave or even be able to move things around to mess with team mates too.,1601872227,1601872227,TRUE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,27,1,1976,1976,1976,1601870901,,
3,Phasmophobia,77060884,english,">Find a Ouija Board
>Ask some basic questions
>Get responses with the board
>Made the brain dead move to ask if it was friendly.
*Light flicker, doors open, footsteps above, angry noises*

>Shits pants",1601872220,1601872220,TRUE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,117,3,160,160,160,1601871568,,
4,Phasmophobia,77060829,english,"The game have potential. It have tons of mic issue. it'll work once through the game, than cut off. Need to fix a few lag here and there.",1601872103,1601872103,FALSE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,1,1,360,360,334,1601872388,,
5,Phasmophobia,77060774,english,"First duo game with my sister we had almost all the evidence we needed, then I got attacked and murdered by the ghost. She screamed and panic closed the game. I got paid 45$ 

I've had great fun since then, definitely worth buying it.",1601872002,1601872002,TRUE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,415,39,272,272,259,1601872304,,
6,Phasmophobia,77060729,english,"An absolute blast to play. A good mix of problem solving, team work, and spooky. Lots of screams and laughs have been had by all.",1601871907,1601871907,TRUE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,26,1,868,868,868,1601871529,,
7,Phasmophobia,77060705,english,we were singing we will rock you and the ghost in the spirit box said kill and death and made the lights flicker with the beat so i think this game should be a 1000000/10 bc of that. We also told the ghost to go fuck it self while i was alone in the garage locker because everybody left me so that was fun,1601871855,1601871855,TRUE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,6,2,323,323,323,1601869214,,
8,Phasmophobia,77060699,english,"The premise is simple, yet fun. Not a game you can lose weeks or months to, but this game will provide dozens of hours of entertainment.",1601871842,1601871842,TRUE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,70,2,375,375,375,1601867782,,
9,Phasmophobia,77060690,english,"I bought this game with the intention of playing in VR.  I decided to learn it first without VR.  After the tutorial and a couple of houses....I don't know that I can do VR.  This game is scary.  I had constant chills and goosebumps.  My throat hurts from screaming.  I'm probably never sleeping again.  Every single time I started to get used to the pace, and relax and think ""It's not so scary.  This isn't so bad.""  Something would happen to up the ante and make me scream in terror. This game is horrifyingly scary, and fun.  The tutorial is a bit lacking, so it helps to have a friend who's got some experience to teach you the ropes and has gear.  

Overall, I'm very excited to see future updates and improvements to the game.  It is extremely fun so far, with less than two hours in, this is my initial impression of the game. 15/10 would recommend.  Best played with friends.

",1601871822,1601871822,TRUE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,72,1,106,106,106,1601871002,,
10,Phasmophobia,77060682,english,The school map sold it for me when I didn't think it looked that scary.,1601871808,1601871808,TRUE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,254,75,387,387,387,1601871366,,
