,title,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,STARWARS Empireat War GoldPack,77169856,english,"Star Wars feeling reborn! Great game. Old as the Bible, but still like to play it from time to time. The expansions gives room to install mods. The Mods are insane. Love them. Some are buggy unfortunately and the galactic campaign gets slow, but this is the price of making new mods with old based games. Still, it is a game that gives you the Star Was feeling and worth having in collection.",1602063432,1602063432,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,70,23,16859,0,16859,1583954614
1,STARWARS Empireat War GoldPack,77167855,english,As a kid i loved Star Wars and till this day i still do i also had an affinity for RTS games so this game literally blew my mind back in 2007 when my parents bought me it randomly. I've put at least 200 hours in this back in the day and even now it still stands the test of time and brings me so much enjoyment. Thanks Mom & Dad.,1602060205,1602060205,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,169,14,1407,0,1407,1574752678
2,STARWARS Empireat War GoldPack,77166138,english,There has not been a game like this since it was released. The modding community for this game can fix and make anything you want.,1602057017,1602057017,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,58,13,538,206,538,1601096855
3,STARWARS Empireat War GoldPack,77163538,english,Perfect UNIVERSE and I play with victory. Such a strategy game that make EMPIRE AT WAR.,1602052025,1602052025,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,85,32,1308,3,1308,1602051885
4,STARWARS Empireat War GoldPack,77163470,english,wey,1602051909,1602051909,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,4,3,9004,91,8912,1602082853
5,STARWARS Empireat War GoldPack,75489379,english,bullshit post purchase end user licence extortion agree or they kill the game ,1599317882,1602048192,FALSE,2,0,0.416635603,0,TRUE,FALSE,FALSE,7.65612E+16,195,16,45875,3121,45875,1601983893
6,STARWARS Empireat War GoldPack,77158320,english,It pretty cool i guess,1602041250,1602041250,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,5,1,1387,97,1331,1602044610
7,STARWARS Empireat War GoldPack,77158108,english,"very good 
",1602040808,1602040808,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,36,3,4173,15,4172,1602040861
8,STARWARS Empireat War GoldPack,77157229,english,"yes , its a great game if your a star wars fan its a given. the mods make it all so much better",1602039135,1602039135,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,2,1,1069,1069,1025,1602041778
9,STARWARS Empireat War GoldPack,77154233,english,that it is fun,1602033423,1602033423,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,6,1,1901,1901,1057,1602088351
10,STARWARS Empireat War GoldPack,77153521,english,great game,1602032053,1602032053,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,63,9,3369,29,3339,1602033857
11,STARWARS Empireat War GoldPack,77145028,english,"fun

go",1602016865,1602016865,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,11,1,62671,2323,62356,1602085957
12,STARWARS Empireat War GoldPack,77131020,english,it is amazing the mods are absolutely fantastic but the quit game time is so slow i wish it was faster but apart from that it is a really nice game i recommend it,1601997366,1601997366,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,1,1,1727,597,1661,1602085235
13,STARWARS Empireat War GoldPack,77121463,english,"Great game, doesn't get old with the unpredictable battles",1601982605,1601982605,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,8,2,4951,117,4835,1601989639
14,STARWARS Empireat War GoldPack,77119177,english,"absolutely phenomenal game and the mod support through the steam workshop (and modding in general) just makes it so much better.
got this on disk when I was maybe 7 or 8 and played it for hours every day, then saw it with workshop support on steam and instantly got it.
Multiplayer also functions (again, didn't officially work for a long time but now it's back without using third party software)
the only thing it's missing is a sequel (which the developers have openly said they'd like to make, so god damnit ea let them make it already)",1601977909,1601977909,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,90,5,41036,377,40957,1601982699
15,STARWARS Empireat War GoldPack,77111022,english,"Highly recommend, not only is the base game great, but the mods and the modding community is still hard at work pumping out some of the best mods I've ever seen for games, there is endless replay value for this game.",1601960306,1601960306,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,15,4,2446,2446,2004,1601987649
16,STARWARS Empireat War GoldPack,77108856,english,"If any Star Wars game needs a remake or sequel its this one or just a remaster with new EA level graphics would be nice as long as they don't ruin it by making it during the 7, 8th, or 9th movies.",1601955507,1601955507,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,129,9,5833,94,5739,1601962231
17,STARWARS Empireat War GoldPack,77105139,english,"Excellent game. Underrated! Play no, you won't regret it. Do install the remake mod too.",1601947911,1601947911,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,1,1,719,719,181,1602030677
18,STARWARS Empireat War GoldPack,77101217,english,Honestly a really good game. If you are into this style of games. Really fun to play if you need to pass some time,1601939872,1601939872,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,20,2,3937,345,3937,1601761870
19,STARWARS Empireat War GoldPack,77096605,english,Has it's shortcomings but still lots of fun for a Star Wars fan.,1601931357,1601931357,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,67,1,6516,649,5867,1602054484
20,STARWARS Empireat War GoldPack,77094831,english,this game a good gam,1601928490,1601928490,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,6,1,5632,198,5593,1601931597
21,STARWARS Empireat War GoldPack,77092182,english,By far one of the greatest games I've ever played and the mods just make it better!!!,1601924703,1601924703,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,3,1,811,0,811,1598801661
