,title,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,timestamp_dev_responded,developer_response
0,Sands of Salzaar,77187230,english,"Finding the English option in a menu written in mandarin was the most interesting gaming experience I had this month.

This game is basically an Ouighur-management simulator - How to genocide your neighbors - except you're not the Han, you're Vietnam: everyone finds you so cute they want to invade you in every way possible.

I grinded, grinded and grinded again, and now two hundred Vietnamese with knives run around me to kill anyone who dares breath the same air I do. City management is fun when you reach City-level genocide, and territorial conquest is too. Speaking of quests, they're ok, the usual fetch-feast.

I wish I could enslave people instead of killing every living soul, but it's only a minor problem.

10/10, would commit genocide for wood again.",1602089160,1602089160,TRUE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,616,18,1977,1977,1977,1602040163,,
1,Sands of Salzaar,77164206,english,e,1602053436,1602053436,TRUE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,116,22,1791,1791,1550,1602102523,,
2,Sands of Salzaar,77151903,english,!!!!! amazing!!!!!,1602028884,1602028884,TRUE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,66,7,726,726,633,1602037261,,
3,Sands of Salzaar,77142579,english,"This game took me completely by surprise. During times, when big releases are barebones DLC cash grabs, it is stunning to find a game for a modest price that offers a consistent, fun experience... in an Early Access. Who would have thought?

The game itself is a hybrid between Mount and Blade, Dynasty Warriors and Banner Saga. Basically, you roam around the land, gaining followers, running errands, making allies, training your troops and uncovering a simple, but contained story that is written well enough to keep you interested. You can say ""well, that sounds rather mundane"", but then again, how many times we can say, after spending 40-60 bucks ""well, that was fun and I thoroughly enjoyed it""?

Sure, the game can and should get some extra polish, but right now, it will munch through your free time like...like...a very hungry thing. Writing 10/10.",1602013118,1602013118,TRUE,1,0,0.523809552,0,TRUE,FALSE,TRUE,7.65612E+16,255,27,2569,2569,2470,1602032967,,
4,Sands of Salzaar,77121910,english,"Very alpha stage, similar to other free on-line games. At this point of development a waste of money. (Got it 50% off, still a waste)",1601983544,1601983544,FALSE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,137,5,64,64,64,1601983189,,
5,Sands of Salzaar,77118142,english,"This game needs to fix a lot of things to not make playing a nighntmare.
For exaple, if you send your diplomat to negotiate ceasefire and the enemy starts sieging your city he will continue even after the ceasefire is negotiated, and you can´t attack him them...... because they are ""neutral"" now
neutral my ass
some bosses are nightmare, one lvl 10  they blast spells in the first second of combat (automatically hitting you because for some reason you can´t do anything for the first second of combat)
good potential with a lot of bad mechanics",1601975688,1601975688,FALSE,1,0,0.508196712,0,TRUE,TRUE,TRUE,7.65612E+16,102,31,842,842,692,1602077905,,
6,Sands of Salzaar,77116937,english,if this game have online mode it will be like xian the great merchant so nostalgic,1601973011,1601973011,TRUE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,2,1,2005,2005,387,1602103418,,
7,Sands of Salzaar,77110438,english,"ok i fucking love it. but its not done and could use alot more! <3 god its a good game. i do not like that some classes are gender locked. kinda silly, you should change that. you should make seprate pockets for diffrent mains in your party. you should totaly make some english voice overs. i also love the Chinese voices. this are style is sexy and fun. i do feel that the chars running around could use more umf but you made mods a thing.! <3 can't wait for online to work. can't wait to see what you guys add next. <3
",1601959008,1601959008,TRUE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,237,9,257,257,257,1602043701,,
8,Sands of Salzaar,77108857,english,wasnt much fun for me,1601955509,1601955509,FALSE,0,0,0.476190478,0,TRUE,FALSE,TRUE,7.65612E+16,76,6,108,108,108,1601788324,,
9,Sands of Salzaar,77107493,english,"A little rough around the edges as you'd expect from early access and the game being translated to English. However, the core gameplay mechanics are solid.",1601952579,1601952579,TRUE,0,0,0,0,TRUE,FALSE,TRUE,7.65612E+16,127,6,701,701,427,1602036260,,
10,Sands of Salzaar,77105039,english,Mount & Blade meets Diablo enough said,1601947731,1601947731,TRUE,1,0,0.481901437,0,TRUE,FALSE,TRUE,7.65612E+16,244,8,639,639,226,1602041321,,
11,Sands of Salzaar,77085820,english,Top,1601915785,1601915785,TRUE,0,0,0.481927723,0,TRUE,FALSE,TRUE,7.65612E+16,205,4,683,683,499,1602084765,,
