,title,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,Sid Meier's Civilization® V,77153392,english,"You will play this game for so many hours that you will look back after a year and realize that you spent more time playing Civilization than at your job, or asleep.  Highly addictive.",1602031771,1602031771,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,8,1,57747,1807,57687,1602035320
1,Sid Meier's Civilization® V,34137538,english,"(Note: I am reviewing Civilization 6 with all of the expansions and the New Frontier Pass in mind)

It's a really fun Civilization game to play when you want to switch it up, but it's not quite as good as Civilization 5. If it had these main things then I would consider this my go to Civ game:

1. A better world congress. Civ 5's world congress was PERFECT and besides the fact that the AI loved to ban luxuries for no real reason, it was great. It allowed for trade embargoes, world ideologies / religions, and other sanction-like resolutions to be passed. Civ 6's world congress acts as a competition for temporary bonuses rather than a true international council. The worst resolution in Civ 6 has to be the one that removes a player's nuclear stockpile if passed. This is like if the UN voted for the complete disarmament of the United State's nuclear arsenal and the next day it completely disappeared. Not realistic at all! Also, I do miss how the world congress was created in Civ 5, where it was only founded when someone discovered all of the civilizations in the world. I don't like the idea of having a world congress session and not knowing who the other players participating in the votes are.

2. It needs a better ideology system similar to Civ 5. The moment when you get to pick an ideology in Civ 5 is always fun. Whether it's fascism, communism, or democracy, being able to influence another Civilization's government to flip to your ideology is one of the best parts of Civ 5. This can create Cold War like scenarios between the superpowers of the atomic era. Seeing my friend's empires on multiplayer hanging on by a thread as they try to keep their ideology alive despite their large of amount of dissidents, only to end up flipping to join mine is one of the most satisfying experiences ever. In Civ 6, you pick an ideology and you don't really face any consequences besides being disliked by leaders with different forms of government. Having tourism being used for more than just a victory condition is a must have!

3. Finally the AI. In my honest opinion, I think it's worse in Civ 6. No matter the difficulty, the AI always seems to be lackluster. When it comes to war, the AI doesn't know how to properly make use of their air power. I usually NEVER see the AI using bombers or fighters in Civ 6, where in Civ 5 the AI did use them almost always (even to intercept my bombers using their fighters). They also don't even know how to properly use support units, I never have scenarios where the AI attacks my city with siege towers or takes advantage of anti aircraft guns. Another issue with the AI is how unbalanced they are even though they're all on the same difficulty. I would often see majority of the AIs in the Renaissance / Industrial era with one or two AIs in the atomic / information era. This sort of ruins the immersion because it's very unrealistic to see nuclear capable Civilizations with modern infantry fighting against Civilizations with cannons and musketmen. In Civ 5, you may see this at times but usually majority of the AI doesn't stray too far off from the top players. The ones who are behind technologically are usually there because they suffered huge losses in a war. This could probably be fixed if the AIs had better and more balanced spawning areas where they can all equally take advantage of adjacency bonuses and available resources.

Ultimately, I do recommend Civ 6 if you're an established fan of the series. It's still really fun as long as you don't directly compare it to Civ 5 and view it more as its own game. Though if you're a new player to the Civilization series I highly recommend playing Civ 5 first before trying this one out, you'll see what I mean.",1502332987,1602031317,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,140,6,19858,1468,19858,1601767954
2,Sid Meier's Civilization® V,77153120,english,It is an amazing strategy game with infinite replayabilyity,1602031251,1602031251,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,7,1,651,660,611,1602033675
3,Sid Meier's Civilization® V,77151855,english,one more turn...,1602028788,1602028788,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,9,1,11735,0,11735,1589568530
4,Sid Meier's Civilization® V,77150643,english,love this whole series.  The latest in a great franchise,1602026282,1602026282,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,2,1,1087,320,1069,1602027337
5,Sid Meier's Civilization® V,77150497,english,"A very fun game, and its historical strategy. Its fun and interesting and thats why I got hooked to Civ 5 and then Civ 6.",1602026049,1602026049,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,1,1,966,29,937,1602027696
6,Sid Meier's Civilization® V,77149639,english,The game generates engaging challenges in an attractive playland.,1602024592,1602024592,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,40,2,89231,2827,89105,1602035979
7,Sid Meier's Civilization® V,77148015,english,"Long time Civ player. I've played every version and knockoff. Extensively modded Civ 2, built scenarios for the public, created art, etc. I have not played nor intend to play the latest Civ 6 DLCs even though I did buy the base game early to get the initial free nations. 

Would I recommend the game? Sure, it's Civ. It's a playable game that allows some historical fantasy to creep in. The graphics are beautiful. Would I recommend spending more than $40 on it, with ALL the DLC's included? No. Spend your money on some indie studio game that offers more depth and way better gameplay. 

The Bad: 

1. Poor AI (which is no surprise from past games) AI units get lost, move around habitually from point A to B and back again. Wars are won based on attrition, production, and tech advantages- not clever strategy. 

2. Poor optimization in late game causing AI turns to take minutes. Just no. It's 2020. 

3. Small maps compared to previous games. The game becomes unstable with large maps, exacerbated by the poor optimization. 

4. Form over substance. They prioritized graphics over gameplay. This is less a strategy game and more so a pretty Settlers of Catan. More so a board game and less so grand strategy. It's obvious they aimed for tablet players.

The Good:

1. No other game does Civ better than Sid Meier's Civ. Until there comes a City Skylines for their SimCity, Firaxis can just keep churning out eye candy and overcharging for DLC.

2. It's fun to pretend you're leading a famous nation, but there's always some immersion breaking issue with Civ 6 that causes me to drop it for a year.

3. It's pretty. Gorgeous really. 

",1602021596,1602021596,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,19,4,30757,3594,30711,1602030948
8,Sid Meier's Civilization® V,77147946,english,"the definer for the genre
",1602021471,1602021471,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,37,3,64698,2005,64673,1602031179
9,Sid Meier's Civilization® V,77147500,english,Good stuff.,1602020724,1602020724,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,34,1,6763,544,6552,1602035920
