,title,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,Sid Meier's Civilization® III Complete,61956155,english,g,1579222958,1601931517,TRUE,0,0,0.4845815,0,TRUE,FALSE,FALSE,7.66E+16,14,6,97899,2936,97614,1602099379
1,Sid Meier's Civilization® III Complete,77090632,english,GREAT GAME,1601922511,1601922511,TRUE,0,0,0.46808511,0,TRUE,FALSE,FALSE,7.66E+16,38,2,11223,290,10932,1602014252
2,Sid Meier's Civilization® III Complete,77033385,english,Meticulous strategy game. You can play just by simple concepts or as the micro manager and still succeed at the game.,1601828058,1601828058,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,3,1,3190,604,3026,1601837935
3,Sid Meier's Civilization® III Complete,77001014,english,clasic,1601778382,1601778382,TRUE,0,0,0.461158365,0,TRUE,FALSE,FALSE,7.66E+16,210,10,2072,137,1939,1601786392
4,Sid Meier's Civilization® III Complete,76936119,english,This game is fantastic! I recomend to play this game!,1601678363,1601678363,TRUE,0,0,0.492379814,0,TRUE,FALSE,FALSE,7.66E+16,2,3,1267,1267,275,1602082783
5,Sid Meier's Civilization® III Complete,76802204,english,"Nope, sorry. I liked the original Civilization from the early 90's. This effort though technically better with a lot more content, just falls flat. It has none of the charms of Civ 1, in fact I found Civ 3 to be dull and tedious.
The UI simply stank. One simple reason for this is it not allowing you the standard ""right click to DESELECT unit"". So you always had a unit selected - and as a result often clicked somewhere on the map and off it went, moving to that spot when you did not want it to. So you go to correct it. You click said wrong move unit, but no...... can't select it because of ""this unit has already moved"", BUT what then happens is ANOTHER unit has become active, which the map did not autocentre on (so you had no idea it had automatically selected another unit), and it then starts with unwanted movement!
You probably don't understand all that - it's hard to put into words. But the terrible UI had me constantly wrong moving entire chains of units all over the place.
The UI is very ""non-standard"" and it is difficult to get any information regards anything conveniently. There isn't even a proper world map view - the only one you get is a tiny thumbnail sized map that is just a jumbled mess of colours.
You never know where the enemy is. You never know where anything is. You never have the ""big picture"". You never feel in control. You are constantly fighting your own ministers who are obsessed with building unneeded and extremely expensive ""wonders"" in every city!
Then comes the AI sides. Even on easiest level and lowest aggression, they just all gang up on you. They all stroke each other peckers, but give you the cold shoulder, refusing all diplomatic requests you make - and never offering any treaties or trades to you. They only contact you with one or two unfair tech trades at the start, and from then on it's only to make bullying demands and declare war. They all share techs and treaties with each other though - with great gusto!
Once one inevitably decides to go to war against you, ALL the others follow suit within the next few turns. They never go to war with each other.
All AI civs are also BRUTALLY, profanely cheating, expansionists. This kind of AI is anathema to my usual style and I loathe and detest it. In Civ 3 this AI style is *all* you get....... every game ends the same after 100-200 turns, no matter how aggressively you try to expand, the AI teams just fills up the whole world with one giant ""anti-YOU"" alliance and all declare war and crush you.
This unfairness ruins Civ III. I just had to quit/uninstall in frustration. 
The graphics are also rather bland, nay, downright ugly - the civ leader portraits are a joke - and the music is awful.

Extremely disappointing, I expected so much more from this game. Lets not mince words, I loathed it.

And as for 99% of the reviewers around here thinking the sun shines out this game's arse, well they're wrong! It shows how intelligent these reviewers are when hundreds of them are spam that just say ""relaxing"", ""gud game"", ""is fun"", ""classic"" - hell, one spam review even just said "".""! Others tell outright LIES such as ""every game is different""...... no every game ends in the cheating AI civs all ganging up on you.

It's reviews like these that fool people into wasting their money on dog shit like Civ 3!",1601455731,1601644905,FALSE,3,3,0.473511726,0,TRUE,FALSE,FALSE,7.66E+16,146,51,556,556,556,1601454779
6,Sid Meier's Civilization® III Complete,76887409,english,"Cheap and time consuming, a great combo.",1601599865,1601599865,TRUE,1,0,0.514128327,2,TRUE,FALSE,FALSE,7.66E+16,2,1,1509,1509,403,1602037855
7,Sid Meier's Civilization® III Complete,76883816,english,best game ever still playing it in 2020,1601592109,1601592109,TRUE,0,0,0.492379814,3,TRUE,FALSE,FALSE,7.66E+16,38,1,17397,52,17352,1601683474
8,Sid Meier's Civilization® III Complete,76852428,english,"There are new, better, and more exciting games out there. So if you prefer that, then this game isn't for you. However, if you really like old classic games, then this is a good one to have. What I like about this old relic is the simple, slow paced, and somewhat out-dated game play. The graphics and special features are no longer advanced by today's standards, but they're still good enough to capture your imagination. The game starts of slow, but gets more exciting as the game advances. Interestingly, the beginning and most boring part of the game is the most critical. If you're like me and prefer to dominate through military force, every action matters. The most satisfying part of the game is proving your superiority by conquering other civilizations, especially when the AI gangs up on you. Be warned: Don't start what you can't finish. AI players love to gang up on human players.",1601542187,1601542187,TRUE,1,0,0.523809552,0,TRUE,FALSE,FALSE,7.66E+16,27,3,4056,75,4056,1601540547
9,Sid Meier's Civilization® III Complete,76836105,english,Its fun,1601509130,1601509130,TRUE,0,0,0.492379814,0,TRUE,FALSE,FALSE,7.66E+16,6,1,28447,532,28398,1601710825
