,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,timestamp_dev_responded,developer_response
0,77060428,english,"It's everything I wanted in a sequel. If you liked the first game, you'll love this. If you didn't like the first game, this is really just more of the same. While there's a few annoyances in this game that weren't in the first (mostly from the new enemies), this is much more polished and overall a better game.

If you loved Spelunky, I strongly recommend Spelunky 2. Just keep in mind it seems to actually be MORE difficult, so although this game is certainly prettier and overall smoother, don't expect a more casual experience.",1601871292,1601871292,True,0,0,0,0,True,False,False,76561198178467866,177,20,337,337,337,1601871039,,
1,77060351,english,More spelunking with more enemies and new mechanics. What's not to love?,1601871140,1601871140,True,0,0,0,0,True,False,False,76561198004480766,248,10,322,322,322,1601869704,,
2,77060198,english,I enjoy hardcore roguelikes and Dark Souls style games but this some kind of bullshit. I don't feel any fun dying every 30 seconds. I don't feel like I'm getting better or something. I just feel getting unlucky every time. You can randomly pass through the first 2 levels and then die in a second by the same random reason. Maybe I'm not playing it in the right way but for me it's 0% fun. Refunded.,1601870840,1601870840,False,0,0,0,0,True,False,False,76561198064395111,690,7,55,55,55,1601870328,,
3,77059835,english,"Really enjoyable game that is a bit unbalanced at times, but still really fun. 
If you enjoyed Spelunky one as a casual player, and not as a speedrunner I think you'll enjoy this one a lot. Hard as nails.

",1601870097,1601870097,True,0,0,0,0,True,False,False,76561198049492597,485,3,226,226,226,1601870369,,
4,77059316,english,addiction,1601869081,1601869081,True,0,0,0,0,True,False,False,76561198229128244,47,8,631,631,631,1601868535,,
5,77058701,english,"This is one of the most fun and exciting games to come out in a pretty long time for me. A lot of games fail to capture this capture this essence of excitement. Buy this game and support these creators, because the price-to-content ratio is SUPER worth it.",1601867871,1601867871,True,0,0,0,0,True,False,False,76561198867521234,35,3,812,812,812,1601861786,,
6,77058617,english,"take the first game, polish the visuals and add more shit to find and *BOOM* that's spelunky 2.",1601867698,1601867698,True,0,0,0,0,True,False,False,76561198044330927,121,4,526,526,526,1601866891,,
7,77058573,english,"If I rush the level, I trigger all 16 dart-traps in 1-1 and possibly die to enemies with way too much HP. Moles? 3 HP and their digging is hard to see and hard to hear, Lizards? 3 HP and can take all your lives if you're unlucky. Cavemen? Why are they in the first world?

If I take my time to find a way to not bomb every dead-end I encounter and get money for shop items, then the ghost appears -- which for some reason causes him to split into two respectively-faster ghosts and then I lose all my progress.

Why are there so many enemies and so many traps? It makes it frustrating to get through these levels without being hit by some cheap garbage caused by level generation. Spelunky 1 had way less traps and enemy spawns, but here there are just mobs EVERYWHERE. I also didn't feel like I got cheesed out of a run when I died in Spelunky 1, where as in this game it's inevitable I'll take damage somewhere.",1601867620,1601867620,False,0,0,0.481690108776092529,0,True,False,False,76561198140584050,126,2,180,180,180,1601866967,,
8,77058105,english,"As a longtime player of Spelunky 1 (have over 500 hours clocked here on Steam and on PS4), this is an excellent sequel. The movement is almost identical to Spelunky 1 (feels like buttah!) but the maps and hitboxes have become slightly more difficult. The whip is a bit shorter and you cannot whip things underneath you anymore. More realistic, but difficult elements to the game have been added; the shotgun recoil, for example, is no longer stopped by being on a rope or ladder. While initially frustrating, I grew to appreciate the added and fair difficulty. Obviously visuals and audio have been greatly upgraded and the result is very slick. I also appreciate the amusing NPC/enemy interactions and animations they've added.

Another thing I noticed and I appreciate, though I am not a newbie for which these changes are intended, is the sneaky new level design that encourages you to do some of the moves/interactions that were not directly taught in the first one. For example, hanging off ledges to break falls is one strategy used in high level Spelunky 1 playing that was not explicitly encouraged by the level design. In Spelunky 2 it is explicitly taught in the tutorial and I noticed several types of level sections with aligned vertical drops, presumably designed to get you to do that. Similarly, while some new traps were thrown in abruptly in Speulunky 1 (like the totems), I noticed that now they subtly get you used to them by first placing large ones triggered at a distance from farther a way and slowly replace them with more modest traps that are less visible, trigger only while on top of them, and take off more HP. Additionally they place the totem traps somewhat near (but not right next to) the exit, likely to get you used to getting close to them (I remember being super scared of them in Spelunky 1 and didn't realize I could slip right by them if they were right next to the exit until many many hours later). I see what you're doing Derek! ;) :spelunky: :cuteghost:

Only negatives I have are the difference in difficulty between the second level choices (which many have suggested) and the lack of choice in toggle/hold for some of the items. I'm guessing hold is better for newer players (I remember thinking the climbing gloves in Spelunky 1 didn't make sense but got used to it--now I'm frantically trying to unlearn Spelunky 1's climbing controls). However the more difficult level is not impossible--I now get through it with ease.

Also, returning players should note that if you initially played this game on a different platform, it will take longer to get used to. I play 90% of the time on PC and I first played Spelunky 2 on PS4 which was way more difficult. The second I used the PC, my skills improved exponentially--this is likely due to the difference in controller and sitting distance.

TLDR: Spelunky and Spelunky 2 are the Dark Souls of platforming. (Yes I know its a cliche.) While newbies might be frustrated, go in with the knowledge that there are ton of secrets waiting to be revealed--that pushed me through it and eventually I ended up liking the original game a lot despite not normally being a fan of twitchy/precision platforming games. The game legitimately makes you cheer when you get to a new area or unlock a new secret. Great fun!",1601866692,1601866759,True,0,0,0,0,True,False,False,76561198041987305,725,6,482,482,482,1601864711,,
9,77057572,english,"The grand-daddy of the roguelike resurgence we're all enjoying has a sequel. It's very much more of the what made the original so good. More shopkeepers to murder, more idols to steal, and more ways to do both.",1601865655,1601865655,True,0,0,0,0,True,False,False,76561198009066233,74,7,711,711,711,1601865535,,
