,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,timestamp_dev_responded,developer_response
0,77175621,english,no violence costs a little but really good you can make your dreams COME TRUE make planes that spin make rockets that go soniz speeds do anything but be carefull some stuff might sink if you damage it or leave too many holes :),1602073652,1602073652,True,0,0,0,0,True,False,False,76561199042895156,1,1,20962,1500,20855,1602082588,,
1,77175204,english,"Stormworks: Build and Rescue your own boats because when they inevitably topple over you realise how much you suck at boatbuilding.

10/10 would overheat my engine again",1602072967,1602072967,True,0,0,0,0,True,False,False,76561197989574014,478,23,3352,3352,3352,1602035736,,
2,77171292,english,Really good. I love flying planes.,1602066214,1602066214,True,0,0,0,0,True,False,False,76561198810091448,7,3,1214,1214,1127,1602081493,,
3,77171055,english,easy and relaxing but fun when  you play with your friends,1602065706,1602065706,True,0,0,0,0,True,False,False,76561198835908717,14,1,1388,0,1388,1592874549,,
4,77167888,english,Yes,1602060251,1602060251,True,0,0,0,0,True,False,False,76561198078221730,63,7,6262,1094,6262,1601939558,,
5,77160790,english,One of the best game's I have played in a while. The graphics are nice and the missions are fun to do and there is almost no limitations to what you could do.,1602046174,1602046174,True,0,0,0,0,True,False,False,76561198922865682,2,1,58774,8211,58186,1602079924,,
6,74518358,english,"No. Just no.
Another game with NO tutorials. Wiki is crap as well.
How any one was supposed to learn this games functions with out youtube is beyond me.
Many years Of modding/logic/Code saved me in the end. But this is just tedious. 

 In game functions like wiring are clunky and slow.
Want to test a circuit? Build the vessel, jump aboard test, doesn't work? Jump back to work bench and try again.
And again and again and again and again and again and again..... buoyancy is broke on certain wedges. I Figured this out just to lose hours of work. FUN!
Give me a way to test functions in the darn build menu and stop wasting my time. Like wiring. Or buoyancy. And aerodynamics.

Also physics? Why do I hear boss music?! Holy CRAP BATMAN! There goes my ship flying into the blue sky.
I want to tow this ship faster than 5 m/s. NOPE! So long big ugly! You want to tie something? Nope!
You want a simple game that just works? NOPE! Another update with more missions/items.

How about a Diesel Electric system that doesn't need 4 engines to run a single generator. Yes I'm using gearboxes.
Or a gen that doesn't cause so much drag when there is no draw on it..... 

Or the worst part, I cant even Play this game with out it dying on me. When I first launch, the game is fine max settings, I'm  getting about 190fps. Then in about 30 or so minutes 30FPS???? Drivers updated? Nope... Reload the game fixes it. 
But gets pretty tiring after a while. 

The dedicated software and admin system is a joke. Not gonna go into that. But this game is releasing in a month?
Oh boy they got a lot of fixing to do. I hope they fix this on release. I'm not very hopeful. 

I could go on and on. But rant done.
 Pass Unless on sale, Will update if things are fixed.

Update 1.0

Oh my GAWD Please kill me. You could actually make it worse?!
I crash almost every 20 minutes now. The missions are even more boring.
Ropes are like bungee cords? Lock/connectors are.... Well kinda there? Maybe? Sometimes?
Nope not even close. This is now a released game that feels rushed, or incomplete. 

Hey Story time!
Friend, and I say hey lets give this game another chance. Well mainly me.....
Sets up a server. OK. That was easy enough. Hmm, tries to do the tutorial.........
We both lose sync with the server pings out at 2500ms? OK
Try again. Same thing. Sigh. Finds out that every time I put the fire out it starts to crash?
OK removes the tutorial. That works Let try some missions. YEAH!
Every mission is to far away, or needs other equipment. Sigh. I end up cheating so We are not on the starter Island, Just so we can do some something. Spent two and a halve hours just bug shooting, And sleeping in game just waiting to do 2 missions. Fun.

There is something to this game I like. I just wish it didn't fight me tooth, and nail to play it.
I played this game on two different Operating systems, 7 & 10 no luck.

I just can't recommend this game to any one I know.",1597773347,1602045612,False,6,1,0.467422127723693848,0,True,False,False,76561197971445782,489,25,12286,329,12286,1602044585,,
7,77156237,english,"8.7/10 
+Fantastic campaign and building mechanics. 
+The vehicles you can create function very uniquely to other games of this kind and it has it's own flavour in terms of gameplay. 

-Not enough building instruction
-No real ""story"", it's mostly just missions


Although it has some downsides, I do believe it it a fantastic game and is worth purchasing and giving a try if you're into building. And if you aren't into building, there are some fantastic creations made by the community that will perform very well for whatever it is you want to do.",1602037182,1602037182,True,0,0,0,0,True,False,False,76561198178263207,28,6,2839,511,2805,1602039365,,
8,77155959,english,,1602036688,1602036688,False,0,0,0.491803258657455444,0,True,False,False,76561199094884750,2,2,204,204,204,1601936184,,
9,77153166,english,"I really enjoy the mechanics to this game. It can get you to start really brainstorming ideas and solve challenges on how to get things working. Big ships do lag the game sadly, but sometimes they are worth it tbh.",1602031328,1602031328,True,0,0,0,0,True,False,False,76561198274209797,17,2,12091,7185,11945,1602082196,,
10,77153068,english,Great Game,1602031141,1602031141,True,0,0,0,0,True,False,False,76561198976087273,9,3,135407,836,135407,1602026756,,
11,77151206,english,its a good game its reallistic,1602027354,1602027354,True,0,0,0,0,True,False,False,76561198832607051,4,1,3349,3349,3335,1602030573,,
12,77151046,english,hg,1602027050,1602027050,True,0,0,0,0,True,False,False,76561198880656302,19,1,7216,4183,7033,1602083112,,
13,77149389,english,"I personally love how everything can be connected in a sort of network, but computers with High-CPU and low RAM like my Laptop will have trouble like the game seeming like it's slow-motion. Otherwise, a great game!",1602024091,1602024091,True,0,0,0,0,True,False,False,76561198861446435,7,2,490,490,357,1602032055,,
14,77149325,english,e,1602023972,1602023972,True,0,0,0,0,True,False,False,76561198846864191,28,7,4496,4169,4379,1602038575,,
15,77144946,english,Its a good game also add guns stormworks!!! Make it happen;),1602016747,1602016747,True,0,0,0.491803258657455444,0,True,True,False,76561198880281509,3,1,4637,3357,4439,1602081020,,
16,77143895,english,"I really liked the gameplay physics and the explorative ideology, however the game should have customizable career mode where you can change the starting money, show map or have pre-research options and still get the fun of earning places",1602015151,1602015151,True,0,0,0,0,True,False,False,76561198890995835,1,1,6010,2259,5765,1602079335,,
17,77139553,english,i like the modular engine beta,1602009029,1602009029,True,0,0,0,0,True,False,False,76561199093887748,1,1,1512,1512,1395,1602015987,,
18,77138511,english,"EDI EDIT: GO GO GO! BUY BUY BUY! They have re-added old career mode in 1.0.6 and are obviously listening. Its unfair to keep this a negative review. I now recommend!

So this is a review of 1.0.1 and what just happened.... This game is a gem and is almost to completion! However, at launch of 1.0.1 they removed research and basically the difficulty of the game. If you are looking for a strictly sandbox experience, you will probably like it! However untill something that adds progression back into the game this game has lost a lot of its guts.I will change my review if this is changed in the future.

Edit: It seems the devs have heard us so this review might change earlier than later.",1602007557,1602007557,True,0,0,0,0,True,False,False,76561198977146307,9,3,8288,323,8288,1601989221,,
19,77136654,english,,1602005070,1602005070,True,0,0,0,0,True,False,False,76561198930849436,5,3,923,923,620,1602045996,,
20,77134064,english,Fake Po-2 go Brrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,1602001532,1602001532,True,0,0,0,0,True,False,False,76561199013243734,9,5,22245,2640,21949,1602079714,,
21,77132611,english,"i can drive a jeep wrangler, game of the year, BOAT GAME",1601999559,1601999559,True,0,0,0,0,True,False,False,76561198117037024,201,14,677,136,647,1602025855,,
22,77124307,english,send help pls,1601987787,1601987787,True,0,0,0,0,True,False,False,76561198193580651,56,3,2122,894,2115,1601993777,,
23,77119036,english,yeah game yes,1601977604,1601977604,True,0,0,0,0,True,False,False,76561198151168633,71,33,399,399,223,1602009064,,
24,77111915,english,Forced tutorial. Removed my game saves with every update. These devs just keep messing this game up.,1601962321,1601962321,False,0,0,0,0,True,False,False,76561198071605798,116,4,6605,206,6421,1602036108,,
25,77111779,english,"Excellent construction game. Limitless possibilities and a rich workshop. Takes some patience to learn the systems and really get into the fun parts of the game, but very rewarding once you have. If you like complicated, logic-chip construction like Wire-Mod from Garry's Mod or Stationeers then this game is for you. Even includes Lua scripting if you really want to get into it.",1601961992,1601961992,True,0,0,0,0,True,False,False,76561198042433904,360,16,9348,6805,8703,1602082520,,
26,62011287,english,They keep breaking some things but many other things get better. So fun?,1579322730,1601960357,True,0,0,0,0,True,False,False,76561197991264999,122,9,72628,4424,71603,1602060236,,
27,77110568,english,dope game,1601959286,1601959286,True,0,0,0,0,True,False,False,76561198028612197,215,13,9125,3792,8876,1601974203,,
28,60000771,english,i agree with scoodly poodly and my other friends cause now my non-advanced sinkable creations just sink when i spawn them,1576555722,1601948965,False,0,0,0,0,True,False,False,76561198399325475,32,5,61767,348,61735,1601963558,,
29,70553631,english,"Ah this game is AMAZING! If you love designing stuff or programming or just playing around with cool creations... then THIS THE BEST GAME IN THE WORLD!!! I got it when it was somewhere around 10$, but it has progressed so much and is litterally changing all the time, I have played this game and it is pretty much an addiction that no matter how hard you try to shake it off, it clings for the long run! I haven't got board at all in this game.
    
   The Devs are really good at listening and taking our ideas and putting it in to a finished product! I recomend this game BEFORE it gets waaaaaaaaaay more expensive. Trust me this game is worth a lot more than what it is now at 25$.",1591734491,1601943771,True,1,0,0.523809552192687988,0,True,False,False,76561198850273814,19,4,43559,1681,43199,1602046053,,
30,77099771,english,"its graet and awsome
",1601937041,1601937041,True,1,0,0.523809552192687988,0,True,False,False,76561198799282525,22,4,6006,279,6006,1601673348,,
31,77096987,english,this is a great game and i enjoy playing it,1601932021,1601932021,True,0,0,0,0,True,False,False,76561197984550951,62,1,21594,1214,21465,1602024126,,
32,77095139,english,"bbc
",1601928963,1601928963,True,0,0,0,0,True,False,False,76561198379493340,15,1,1645,59,1628,1601934839,,
33,77094682,english,I've only ever dreamed of a game like this... and now it's real!,1601928286,1601928286,True,0,0,0,0,True,False,False,76561198083098243,58,1,2122,2122,1478,1602056579,,
34,72181152,english,"It was a slow to get into, but once I started figuring out how to do things in the game, it led to more ideas, which led to figuring out more.  Stormworks has gradually taken over the majority of my gaming time.  I just wish I'd have my good ideas before starting a build  instead of near the end of a build

UPDATE:  Following the 1.0 release, there were some major issues but I will give the dev's credit, they put in some serious hours responding to the community and correcting problems.   Still loving this game despite a few issues.",1594061853,1601922226,True,0,0,0,0,True,False,False,76561198054005818,45,1,5503,153,5503,1601865113,,
35,77089346,english,I think it's brilliant the only problem that I had was how it lags a lot when you spawn big builds but apart from that I think this game is amazing.,1601920693,1601920693,True,0,0,0,0,True,False,False,76561199095082554,1,1,1420,1420,1394,1602014696,,
36,77086983,english,Nice game.,1601917372,1601917372,True,0,1,0,0,True,False,False,76561198009761056,602,7,9650,21,9629,1601918708,,
37,77084261,english,Gutes spiel besonderst mit freunden,1601913765,1601913765,True,0,0,0,0,True,False,False,76561198873346416,15,4,1983,819,1457,1602081848,,
38,77081027,english,"its a good game. im goated on missions, only killing 3 out of 5 of them. other then that im really good. 
",1601909418,1601909418,True,0,0,0,0,True,False,False,76561199004428953,3,3,1169,1169,634,1602007863,,
39,77080100,english,fire,1601908072,1601908072,True,0,0,0,0,True,False,False,76561198268576953,33,1,18974,182,18792,1601919133,,
40,73248093,english,"1. Download vessel from workshop
2. Spawn Meg
3. Sink it with Meg
4. Repeat",1595662470,1601896714,True,0,0,0,0,True,False,False,76561198199818581,170,19,12816,862,12110,1602071860,,
41,77067548,english,good game,1601886756,1601886756,True,0,0,0,0,True,False,False,76561198338744884,20,3,14471,431,14180,1602049859,,
42,77066814,english,fun game,1601885196,1601885196,True,0,0,0,0,True,False,False,76561198876919246,8,1,1021,227,794,1601967241,,
43,77061810,english,best game for the best price,1601874157,1601874157,True,0,0,0,0,True,False,False,76561199014078939,3,1,371,371,241,1602061808,,
44,77061682,english,"This game is still good even though there have many changes i will say that the theme of the game is still there ,and i do recommend this game.  Short summary, overall great game.",1601873887,1601873887,True,0,0,0,0,True,False,False,76561198861485719,4,3,1714,724,1714,1601831264,,
45,74696955,english,Play if you have a good pc and like building.,1598060739,1601867204,True,0,0,0,0,True,True,False,76561198843770283,4,3,77624,5319,76957,1602082912,,
46,77058003,english,"ı've been playing for long time and ı'm so bored to always do same things  and I like this game but ı wanna see new animals  in sea and land ( bear , whale , dolphin ) and ı wanna build a sailboat thats why to need sail and ı wanna explore new island . and ı think need a big continent . I think you should add new animal , sail , new islands  and catch fish. ı think  developers dont see this game potential. this game can be competitor to minecraft . please dont restrict this game ! this game is a diamond . this game is a good world and please allow us in order to live this world . thank you :)",1601866489,1601866489,True,0,0,0.476190477609634399,0,True,False,False,76561198284721474,72,2,20572,2962,20278,1601951879,,
47,77056395,english,"I have a Intel Core i7-9700KF CPU, And 32 GB of ram, I recently hit 100% GPU and 100% CPU. gg -My computer",1601863463,1601863463,True,0,0,0,0,True,False,False,76561198030773370,76,6,3636,116,3636,1601863106,,
48,77055714,english,"Haha 69, nice.",1601862116,1601862116,True,1,0,0.512195110321044922,0,True,False,False,76561198294320253,62,2,4164,67,4164,1601649777,,
49,77055269,english,"It's like Kerbal Space Program but for terrestrial vehicles and machines. In KSP the 'goal' is to do space exploration. In Stormworks, the goal is to perform search and rescue missions (for the most part). The visuals are a mix of Windwaker and Minecraft that ends up being more charming than I initially thought it would. I am not a huge fan of the block based construction, it means some geometrical concessions need to be made if a curved shape is desired - leading to things not looking as pretty as they would if there were curves in the toolbox. That being said, this isn't meant to be a Solidworks game, so it's a necessary simplification. Your mechanical imagination can really run wild - if the idea of designing and building the structure and mechanical components of anything you want appeals to you, you'll love this game.",1601861293,1601861293,True,0,0,0.47826087474822998,0,True,False,False,76561198014350569,51,1,3535,3535,2183,1602044291,,
50,77049985,english,"very fun good game, get it already",1601851338,1601851338,True,0,0,0,0,True,False,False,76561198339458039,45,8,7326,920,7046,1601927707,,
51,77045035,english,Just buy it you idiot... THIS IS THE GOLD NUGGET YOU'VE BEEN SEARCHING FOR!!! <3,1601843173,1601843173,True,0,0,0,0,True,False,False,76561197965694742,53,2,23562,10669,19661,1602081635,,
52,77045024,english,A good game needs some work  but 10/10,1601843161,1601843161,True,0,0,0,0,True,False,False,76561198280898163,115,12,418,418,413,1601843415,,
53,77044593,english,great game,1601842519,1601842519,True,0,0,0,0,True,False,False,76561199094962710,1,1,1984,1984,1285,1602063852,,
54,54412745,english,"Truly i say this is an AMAZING game/simulator.

Forces people to actually use their brain. Thus not ment for everyone. Yes thats right it requires us to use math.  That is if your going to build your very own master piece design of a vehicle. And then if you want you can share it on the workshop!

- Do i recommend the game?  [spoiler][b]ABSOLUTELY[/b][/spoiler]
- Does the game have bugs, glitches and other problems? [spoiler][b]ABSOLUTELY[/b][/spoiler]
- Is it a great game to play with your friends or make friends? [spoiler][b]ABSOLUTELY[/b][/spoiler]
- Is there anything I don't like about the game? [spoiler][b]ABSOLUTELY[/b][/spoiler]
- Did I buy copies for some friends and do I plan on getting more copies? [spoiler][b]ABSOLUTELY[/b][/spoiler]
- Did I upload some ships ive worked on with other players? [spoiler][b]ABSOLUTELY[/b][/spoiler]
- Will I Continue Playing this game? [spoiler][b]ABSOLUTELY[/b][/spoiler]

[strike]Why did I down vote this MASTER PIECE of a game?[/strike]

[b]One[/b] simple reason. the devs are convinced [b]32bit[/b] is the [u]way[/u] to go. -_- yes that's right this is [u]not[/u] a 64bit game and will work on legacy machines to a small extent. But the future looks grim.  Please oh please devs get with the times and don't abandon this art to the old technologies of the 90s. 

P.S. The moment the devs wake up and support 64bit im rating this baby UP!!!!!! XD XD XD XD XD

[b]UPDATE![/b]
As mentioned in the original review https://i.imgur.com/LuWjkAg.png with a over a thousand hits, this review will be changed to a [b]thumbs up[/b] :) https://i.imgur.com/DshbRIB.png , https://i.imgur.com/USy0Bfk.png",1564702889,1601842046,True,0,0,0.719960689544677734,0,True,False,False,76561198027023489,231,88,20358,0,20358,1585193275,,
55,77043549,english,GOOD,1601841049,1601841049,True,0,0,0,0,True,False,False,76561198253709784,8,1,3047,1639,3022,1601919424,,
56,77042121,english,you either die because the autogyro wasn't included on the helicopter or live long enough to pick a super OP helicopter that does the entire game for you,1601839121,1601839121,True,0,0,0,0,True,False,False,76561198313475936,154,14,2805,171,2805,1601737525,,
57,77038782,english,"Developers think it is appropriate to have user's constitutional rights violated and then ban the victim for reporting it to ""ensure user can no longer have their rights violated on this server"". I thought the game was okay, but now I'm really concerned about the mental stability of their development team if they think punishing a victim is appropriate. I'll consider changing my review after they reverse the discord banning and issue an apology.",1601834824,1601834824,False,2,3,0.4269523024559021,2,True,False,False,76561198448490093,6,3,28758,9545,27333,1602081546,,
58,77036104,english,It lags sometimes but overall is very good.,1601831469,1601831469,True,1,0,0.505936145782470703,0,True,False,False,76561198074925233,179,6,6977,542,6717,1602039625,,
59,77033055,english,very epic game yes yes,1601827648,1601827648,True,0,0,0,0,True,False,False,76561198439739759,17,1,42183,825,42049,1602035033,,
60,77022932,english,"It looks fun because it's building and it's engines and it's propulsion and it's air, sea, land, it's everything, but if you want to play a realistic sandbox then don't buy it, it has realism breaks in power system.

Even if you want to play it with ""simple"" mode you're still gonna encounter very annoying bugs (which ultimately tilted me and are the reason of review), those are broken fullscreen mode (mouse disappearing, black screenshots), blocks falling through terrain, unability to rotate pipes (they will lock up in some random position)

devs rushed for 1.0 release, bumped up price and fixed bugs which were least common ones. Game is fun but only for 100-150 hours which isn't that much for a sandbox game, and especially not much for this game's potential

game so far:
undemanding and atmospheric graphics (kinda bad lights tho)
kinda lacking cpu optimization, but overall it's undemanding so you don't see it often if at all
a lot of content to discover, learn, go through
bugs which will make it a bumpy ride
ok sounds
many missions and secondary duties give purpose to playing and building things

will change review to positive when devs either fix bugs or rework power system",1601815022,1601815022,False,2,0,0.465020745992660522,0,True,True,False,76561198118178281,71,2,13845,300,13806,1601844209,,
61,77021031,english,this game is very good even tho for me it lags ALOT i can still play for a bit. it is laggy because my laptop is not a gaming laptop. what laptop can handle this game?,1601812339,1601812339,True,0,0,0,0,True,False,False,76561198996415071,1,2,2378,562,1816,1601917794,,
62,68603585,english,"The standard missions are very repetitive, promises have been made missions will get more interesting in version 1.0 however. You're selling yourself short if you don't have a look in the workshop though, a lot more missions which are more fun to play can be found there. Without the workshop this game wouldn't be the same at all. Give it a shot.

Update: Okay version 1.0 is out now, physics are more broken than before. The missions although ""random"" are always the same damn thing with a huge lack of variety. Devs refuse to fix game killing bugs like lack of buoyancy, lack of flight physics and just add more barely useful tools and other crap to tie you over.",1588670860,1601810344,False,0,0,0,0,True,False,False,76561197988249088,269,17,14805,4069,14805,1601798694,,
63,77015764,english,i love it its so fun with the new update,1601804330,1601804330,True,0,0,0,0,True,False,False,76561198150954005,96,6,5362,640,4938,1601965357,,
64,77012942,english,"Nice building mechanic, not bad phythical engine of the game, but absolutely empty and world.
Before release it was ok. Early access means that games is not finished.
But now... I'm very disappointed.",1601799821,1601799821,False,1,0,0.504716992378234863,0,True,False,False,76561198016859714,300,9,11804,0,11804,1600373254,,
65,77011290,english,SUPERB for anyone who likes sea,1601797034,1601797034,True,0,0,0,0,True,False,False,76561198820402837,5,3,1176,1176,333,1602081989,,
66,77009626,english,just play it,1601794050,1601794050,True,0,0,0,0,True,False,False,76561199084602358,5,2,3383,496,3383,1601792270,,
67,77007220,english,"this game is the best you can learn many things from this. i like makings creations  so the first thing i like about this game has a lot to do with this you can make type  of vehicles land,air and ground. So enjoy this game",1601789671,1601789671,True,0,0,0,0,True,False,False,76561199088114997,1,1,1909,1127,1428,1602071339,,
68,77006867,english,just a really good game,1601788977,1601788977,True,0,0,0,0,True,False,False,76561198277635566,81,3,14482,2145,12947,1602038887,,
69,77005245,english,Hey I can't load a boat I so I make a boat or a car and sometimes it won't load and I lose all my progress can you please fix and have the game more memory optimized,1601785923,1601785923,True,0,0,0,0,True,False,False,76561199061695390,2,1,5563,708,5543,1601791521,,
70,77001928,english,Very awsome,1601780063,1601780063,True,1,0,0.523809552192687988,0,True,False,False,76561199038896849,1,1,1146,1154,227,1602083016,,
71,76996411,english,The game is really fun if you like to build / design vehicles,1601769874,1601769874,True,0,0,0,0,True,False,False,76561198213685853,94,4,18617,664,18617,1601338343,,
72,76990922,english,"good
",1601760882,1601760882,True,0,0,0,0,True,False,False,76561199064244190,8,1,2676,529,2146,1602030567,,
73,76990149,english, best game ever,1601759709,1601759709,True,0,0,0,0,True,False,False,76561198799286769,22,1,22598,1400,22160,1602041564,,
74,75613013,english,extremely fun and addicting game to build ships and planes. would buy twice over.,1599507712,1601759696,True,1,0,0.523809552192687988,0,True,False,False,76561198392299104,44,7,3803,756,3292,1601844516,,
75,76983741,english,"fun
",1601751081,1601751081,True,0,0,0,0,True,False,False,76561198200035055,20,7,5828,278,5818,1601932394,,
76,76983717,english,"i would recommend not to spawn in huge planes car, boats etc",1601751052,1601751052,True,0,0,0,0,True,False,False,76561199068516851,11,3,656,656,651,1601766058,,
77,76983043,english,the Physics are pretty good and building in advanced vehicles is a challenge but a fun one,1601750207,1601750207,True,0,0,0,0,True,False,False,76561198121791699,5,1,8651,38,8612,1601753868,,
78,64008681,english,Great game!,1582484079,1601748846,True,0,0,0.435736089944839478,0,True,False,True,76561199017599802,5,2,15797,358,15591,1601775910,,
79,76981526,english,Its fun,1601748263,1601748263,True,0,0,0,0,True,False,False,76561198276748300,8,2,1973,358,1831,1602030187,,
80,76979833,english,this game is a 10/10 honestly its worth the money,1601746086,1601746086,True,0,0,0,0,True,False,False,76561199085556202,4,1,994,994,508,1602041460,,
81,76979585,english,EPIC,1601745779,1601745779,True,0,0,0,0,True,False,False,76561198937097122,5,1,993,536,757,1601839248,,
82,76971713,english,i,1601736033,1601736033,True,0,0,0,0,True,False,False,76561198867729893,3,2,802,802,631,1601831968,,
83,76970319,english,Awesom,1601734352,1601734352,True,0,0,0,0,True,False,False,76561198308710335,25,4,913,57,913,1601282909,,
84,76958925,english,it good,1601718424,1601718424,True,0,0,0,0,True,False,False,76561198885316928,3,1,15679,209,15500,1601803378,,
85,76947414,english,"Ever since they released the game out of early access it has gone to crap, the developers dont care about performance or optimization they only care about adding more content to the game to get people to buy it.

If you want it for multiplayer, dont get it, multiplayer is unplayable

Singleplayer is barely enjoyable.",1601698417,1601698417,False,1,0,0.504716992378234863,0,True,False,False,76561198208714873,38,3,52673,2985,52673,1601667148,,
86,76946806,english,perfect. if you like building stuff then get this. but the learning thing may start as confusing but after you make an engine 2 times it will be easy.i love it.,1601697343,1601697343,True,0,0,0,0,True,False,False,76561198852898296,18,13,4390,3180,3461,1602066317,,
87,76942298,english,Its a good game!,1601689394,1601689394,True,0,0,0,0,True,False,False,76561198904470415,15,1,4115,1753,3174,1602030560,,
