,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,77162988,english,I cant update my sims 4,1602050799,1602050799,True,0,0,0,0,True,False,False,76561199095303923,1,1,640,640,595,1602055695
1,77156189,english,"A good game that unfortunately requires many dlcs to feel more content packed and less bland. Recommended, but buy only during sales to save money.",1602037081,1602037081,True,0,0,0,0,True,False,False,76561198365554971,122,7,792,792,792,1601901746
2,75430285,english,hate you,1599231315,1602031364,True,0,0,0.391296029090881348,0,True,False,False,76561198990881873,9,2,9578,194,8245,1602032133
3,76140447,english,Interface ruim. Personagens com pouca vida útil. Difícil conseguir upgrades em habilidades e na profissão.,1600378498,1602024694,False,0,0,0,0,True,False,False,76561199088587512,1,1,3860,1709,3774,1602031745
4,77149152,english,awsome game love alot,1602023632,1602023632,True,0,0,0,0,True,False,False,76561198831684558,21,2,2849,2849,1914,1602081155
5,77149011,english,cool game my sis plays it a lot,1602023371,1602023371,True,0,0,0,0,True,False,False,76561198930486618,5,1,640,45,640,1601674346
6,77148453,english,It is fun and if you do get tired of the game you can enable mods in settings and download mods for sims 4,1602022353,1602022353,True,0,0,0,0,True,False,False,76561198970975112,2,1,3265,1248,3134,1602039031
7,77146449,english,You can play as god.,1602018982,1602018982,True,1,0,0.525862038135528564,0,True,False,False,76561198260362400,167,2,3609,1571,3245,1602042614
8,77145952,english,Bought the base game plus pets.  Played a bit.  Not impressed.  Went back to playing Sims 3 with all expansions and stuff packs but for that Katie pink pack which I refused to buy.,1602018229,1602018229,False,0,0,0,0,True,False,False,76561198019438182,133,6,327,0,327,1600656580
9,77145341,english,Absolute best game in my opinion to escape the real world and bring the world inside your head alive. I have over 400+ together on Steam and Origin.,1602017346,1602017346,True,0,0,0,0,True,False,False,76561198154488591,28,1,1732,812,1424,1602036369
10,77143433,english,gud game,1602014484,1602014484,True,0,0,0,0,True,False,False,76561198421852284,21,8,2362,438,2362,1601703183
11,77142692,english,I love the Sims,1602013300,1602013300,True,0,0,0,0,True,False,False,76561198324586383,35,9,938,1,938,1601761452
12,77141607,english,.,1602011809,1602011809,True,0,0,0,0,True,False,False,76561199070800672,6,1,1734,524,1321,1602048116
13,77141187,english,Great Game,1602011254,1602011254,True,0,0,0,0,True,False,False,76561198194324242,49,7,6084,2287,5970,1602074646
14,77139874,english,good,1602009491,1602009491,True,0,0,0,0,True,False,False,76561199095342264,1,1,1170,1170,770,1602082108
15,77139804,english,"Love the Sims franchise, great game!

Only issues are minor ones, such as the lack of color control over CAS options and household items. Hopefully a Supernatural expansion pack will grace us sometime in the near future - if so, it may even raise the appeal higher than the Sims 3!",1602009402,1602009402,True,0,0,0,0,True,False,False,76561198324007572,41,1,3451,766,3155,1602054954
