,title,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,Transport Fever 2,77153619,english,"I love transportation games, like openttd, and while this might not be a new idea or have many new gameplay features, it is a huge graphical upgrade loaded with mods that only Cities:Skylines can top. If you use mods, which can be easily downloaded from the Steam workshop but can take a toll on your RAM, you can create a beautiful and fun sort of virtual model railway. I've spent a lot of time on this game, which is unusual for me, because it is so easy just to sit down, put on music or a podcast, and build a railway network.",1602032238,1602032238,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,20,2,13086,0,13086,1600520904
1,Transport Fever 2,77147631,english,"If you liked TF1, this is a nice upgrade. Not a great one, but a nice one. Lots of little improvements to it, and much better graphics, though still very much the same game in many ways. I haven't looked into the mod community yet, so that might make it much more robust, but for now I'm very happy I got it - doubly so, as I got it on sale ;)",1602020939,1602020939,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,54,13,2959,2907,2868,1602084679
2,Transport Fever 2,77135096,english,"There is major problems with laying tracks. Transport Fever 1 is better, buy that instead!

Then the economic side is pretty bad plus rotating objects is way to difficult. Hold shift and use n or m...
But as a wrote, in the begining, the laying of tracks is so much worse then in the first game. 
For example: When you are laying tracks next too a city and see the roads just smothly follow the surface while your tracks either go up or down as crazy. :D It is insane :D",1602002940,1602002940,FALSE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,174,16,86,37,86,1602001982
3,Transport Fever 2,77134105,english,"[h1] A game started by the developers, but built by the community. [/h1]
tl;dr: You like modding && you like transporting stuff && Optimizing is your thing? You'll like it.

First things fist: Yes. It feels like every game since TrainFever. Never the less, a little upgrade and added complexity would have made it far more interesting, if you dont only want to build a virtual model railway.

The range of mods and their individual quality are astonishing. Never have I ever relied more on mods than in this game. This is a great achievement for the very friendly, creative and open community. Great job guys! All of you! 

On the one hand it cannot be denied that the developers did an okay job with the vehicles and the cities. But on the other hand... It is just too few to fuel the full game. 

The games performance is okay-ish. But it's not really good. On my 2080RTX with the i9 it sometimes even goes lower then 25/23FPS in late game. Reaching late game with larger maps should not be so uncommon that this poor performance is in any way reasonable. 

Attention. This is my opinion only. Yours might be different, but I would like to feel free to express mine here. 
Rather should they do one thing right then doing three things only by 30%. I would personally have preferred to have a european game with an extensive set of for instance German vehicles. 

After all, my conclusion is: Yes. I do recommend this game, if you like optimising and trains and all the stuff. And of course ... Modding the hell out of it. 
If you dont like modding, it will be boring the second day. Dont buy it then.

[b]The community is very helpful and kind. So please give them the appreciation the modders deserve. Thanks.[/b]",1602001596,1602001739,TRUE,1,0,0.523809552,0,TRUE,FALSE,FALSE,7.65612E+16,66,10,13687,1054,13519,1602086283
4,Transport Fever 2,77099888,english,Great transport management simulation game.,1601937267,1601937267,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,26,4,6124,5712,4926,1602084866
5,Transport Fever 2,77091513,english,"I have given up a serious amount of hours of my life playing this game. It is so addictive. You are always wanting to try just one more thing before you log off, and then just one more thing, and then another, and so it goes.  And if you do eventually turn the game off, don't think it stops there.  You will spend your time thinking of things to try out when you next play it.
I think I need to play it now. Oh well, that was a short break.",1601923769,1601923769,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,8,1,2966,2966,2572,1602057873
6,Transport Fever 2,77086000,english,brilliant game,1601916021,1601916021,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,76,3,4806,2328,3977,1602076711
7,Transport Fever 2,77062159,english,"Great game. Better than Railway Empire  and the old Railroad Tycoon. 

Supply and demand isn't too  complex. I think the detail looks impressive. Though it  can still be very hard on your GPU, so make sure you have a good GPU.

If you're into these simulation type games, I highly recommend this game.

Thanks

Rod",1601874958,1601874958,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,3,1,2669,1018,2351,1601986517
8,Transport Fever 2,77042312,english,fantastic,1601839360,1601839360,TRUE,0,0,0.481481493,0,TRUE,FALSE,FALSE,7.65612E+16,8,1,10069,296,9773,1602025003
9,Transport Fever 2,77026627,english,good game,1601819889,1601819889,TRUE,0,0,0.481481493,0,TRUE,FALSE,FALSE,7.65612E+16,28,3,1235,276,1069,1601851201
