,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,77057426,english,No squat updates yet. Weekly updates should be must especially during transfer market period,1601865353,1601865353,False,0,0,0,0,True,False,False,76561198139917501,8,3,632,508,632,1601731111
1,77053273,english,"Altough I can't change minds of pes players meaning it would be awesome if everybody just stopped playing and buying PES for few months enforcing KONAMI to stop tearing game apart with updates and patches.

PES 2021 was awesome in first clean initial release. Fluid beautiful game of football. You could sense and see the difference from 2020, gameplay was polished and clean, it was a thing of beauty. Same as PES 2020 demo. Just a few days ago KONAMI released new patch and behold same ol problems are purposely forced back within game. Purposely wrong pass directions, terrible ball trapping, players refusing to go in to required positions etc. completely ruins the gameplay. If you hated PES 2020 and tought 2021 will be different don't hold your horses.

Game is not about skill anymore.  If you are constantly better than your oposition, game will put arbitrary limitations to your team to balance the game and make it more fair. Why they do it? To help new players don't get crushed by more skilled players.

PES 2022 won't be any different regardless the new engine. KONAMI have taken EA approach and will continue to do so. Arbitrary limitations and handicaps for skillful players, trying to shift focus to get people to go online and play MyClub is KONAMI new forte. FIFA have been doing it for years. Now PES will do the same in the coming years.

PES as you know it and remember it before, a beautiful game of football and skill is gone and is NEVER coming back. And neither am I.  Don't buy this game if you think you will enjoy playing and have fun. You wont. For 1 or 2 game everything will be ok and then everything will be frustration. Rinse and repeat. I'm uninstalling it from my PC and I'm never coming back. Goodbye PES. It was great while it lasted.",1601857519,1601857536,False,0,0,0,0,True,False,False,76561198146181041,24,3,1112,728,1112,1601754561
2,76042212,english,WASTING MY MONEY FOR NOTHING WORST PES THAT I EXPECT GG,1600210744,1601844195,False,0,0,0.396682769060134888,0,True,True,False,76561198084147762,28,4,3536,2095,3536,1601844136
3,77044933,english,no change noth,1601843017,1601843017,False,0,0,0,0,True,False,False,76561198446903419,36,6,1207,56,1166,1601867253
4,77038143,english,"<3
",1601833951,1601833951,True,0,0,0,0,True,False,False,76561199072118666,5,2,7850,5697,7719,1601841804
5,77035771,english,good game,1601831059,1601831059,True,0,0,0,0,True,False,False,76561198138945671,5,1,3615,3556,3587,1601834238
6,77035504,english,best gameplay,1601830741,1601830741,True,0,0,0,0,True,False,False,76561199065169804,5,2,525,525,525,1601756826
7,77034267,english,"the game is  same as 2020 pes
",1601829187,1601829187,True,0,0,0,0,True,False,False,76561198428250345,2,1,611,436,611,1600943086
8,77030776,english,gfnh,1601824860,1601824860,True,1,0,0.523809552192687988,0,True,False,False,76561199087011652,3,1,162,119,162,1601070469
9,77028127,english,topcer,1601821758,1601821758,True,0,0,0,0,True,False,False,76561198417985101,1,1,880,880,879,1601864014
10,77019625,english,"Now, if you just purchased and installed this game, please delete it and refund it right away.",1601810206,1601810206,False,2,0,0.47261008620262146,0,True,False,False,76561198384730253,16,2,360,360,360,1601809993
11,77018915,english,"""How many fault do u want?""
pes 2021 : "" YES, YES, YES""",1601809085,1601809085,True,0,0,0,0,True,False,False,76561198846042070,53,26,399,399,134,1601851819
12,77018647,english,fantastic game,1601808697,1601808697,True,0,0,0,0,True,False,False,76561198395135996,4,1,1020,1020,902,1601831259
13,77018415,english,It's Harder than the previous game. And The Legend difficulty is back,1601808374,1601808374,True,0,0,0,0,True,False,False,76561198343680494,15,4,430,430,217,1601838227
14,77017444,english,good,1601806866,1601806866,True,0,0,0,0,True,False,False,76561198804567003,10,2,3982,3608,3803,1601828936
15,77013106,english,ena ena ena,1601800075,1601800075,True,0,0,0,0,True,False,False,76561198116226966,45,2,5180,5196,4666,1601869395
16,77005163,english,"the gameplay is rubbish too slow, when you pass the ball the reciver lets it go eithout even getting it.",1601785715,1601785715,False,0,1,0.47413790225982666,0,True,False,False,76561198218199119,26,1,2401,2401,2401,1601785489
17,77001458,english,good game,1601779242,1601779242,True,0,0,0,0,True,False,False,76561198817277055,6,1,1310,1310,1180,1601815453
18,77000486,english,FANTASTIC.,1601777365,1601777365,True,0,0,0,0,True,False,False,76561198059603032,7,3,2947,2342,2548,1601829894
19,76191302,english,"Just DON'T BUY THIS GAME!
If Konami doesn't want you to win a game, you will never win this. You will get 2 or more penalties in game against you, your players will be uncontrollable, passes will be wrong, your players would't get the ball even if it 2cm from them, you will miss at 2 meters from empty net but your opponent will score every moment that he will get because of your players can't use passing correctly. In some games situation will be the same but you will be on lucky side. But there is no pleasure to play the game if you haven't any influence on the result of the game. There will be always win of player chosen randomly by Konami scripts. 
Goals on 90+ minute in 6 matches in a row? Free penalties? Players that really uncontrollable and missing from 2-3 meters? It's all about PES 2021. 
I have a games to compare online in it. I've played FIFA series from 2007 to 2020 and PES from 2013 to 2020. This game is worst of all in online gaming experience.
Handicap in a part of every football game, but in this part of PES it's too much.
Playing online is useless and unpleasant in PES 2021.
If someone read this I recommend to buy FIFA 21 instead of this shit. 
2 of 10. Only for good graphics",1600464693,1601769464,False,0,0,0,0,True,False,False,76561198015746312,41,1,2471,1629,2340,1601867628
20,76995125,english,"Excelente juego, lo recomiendo.",1601767636,1601767636,True,0,0,0.476190477609634399,0,True,False,False,76561198325349416,8,4,2131,2131,1549,1601856368
21,76992398,english,"First things first, ignore the reviews that say this game is a lot more responsive and runs a lot better than pes2020; this is literally the same script fest that the older garbo was lmao. These people are legit gonna disagree with the developers just to make themselves feel better. 
U can script me to lose 20 games in a row I aint spending an extra cent tho.
That being said, this is still better than fifa 100%.",1601763147,1601763190,False,3,0,0.469696968793869019,0,True,False,False,76561198144264603,134,95,349,349,222,1601869193
22,76556819,english,good play but Who launches a major game with no guide or help feature? WTF? Worst web site ever too. The game is great if you can just learn everything the hard way with no help. Somebody help these people,1601065592,1601759392,True,0,0,0.481214612722396851,0,True,False,False,76561198992837832,8,5,1714,1714,1431,1601857371
23,76988966,english,"I am fan of PES.  But something goes wrong.

I was playing and everything was ok.  But then suddenly I can't connect to online match in any kind of match.

I got an opponent to play, we set our squads, and when we both click to kick-off    -  Connection quality with player ...... bla bla bla.   Now everytime the same.

I tried to play from local internet channel, from  LTE internet,   I was trying to use other mobile provider - not helps.

Then I made format c: and installed  Windows.

AND IT DIDN'T HELPED.

I hope that Konami will fix it in couple days,   other way refund,   There is no sens to play offline games and pay money.",1601758049,1601758049,False,0,0,0,3,True,False,False,76561198128047336,1,1,1231,1231,984,1601834918
24,76984124,english,nicewan ...,1601751613,1601751613,True,0,0,0,0,True,False,False,76561198331839980,33,2,451,98,451,1601583941
25,76978133,english,"this game is unplayable by all means..it feels like its 2013  
owngoalfromdefenders 2021 season update",1601744000,1601746552,False,0,0,0.41269838809967041,0,True,False,False,76561197992377529,30,5,768,418,768,1601746387
26,76971639,english,ilove it,1601735926,1601735926,True,0,0,0,0,True,False,False,76561198333321456,1,1,2492,2492,1945,1601867594
27,76971188,english,"Nice, good graphic",1601735384,1601735384,True,0,0,0,0,True,False,False,76561199095250524,1,1,679,679,332,1601830583
28,76970413,english,"In my experience of PES series. Pes 2020 is the best game ever. Pes 2021 is lag, fps drop, and the most important thing is less responsive. Even though i play with quick feet players. They're still so slow. I hope KONAMI will release new data pack and fix responsive time as soon as possible. The thing i love about PES 2020 is dribbling. I know every body play football game - is about passing. There are lots of people on internet post incredible shot. But when i play PES. i think different way. How can i play like real life? I really did dribbling in PES 2020 with MESSI, MARADONA, and more. I really want this feature come back.",1601734494,1601734494,True,0,0,0.471014469861984253,0,True,True,False,76561198989866051,2,1,2392,1569,2157,1601869938
29,76966723,english,"Takes the amazing game of PES 2020 and improves it further
myClub is class",1601729727,1601729727,True,0,0,0,0,True,False,False,76561198168670098,90,4,1693,1134,1183,1601827431
30,76965367,english,Much better!,1601727951,1601727951,True,0,0,0,0,True,False,False,76561199043180895,11,6,1449,885,1216,1601829060
31,76961299,english,The game is really good!!Just get some updates on the reff nothing else <3,1601722069,1601722069,True,0,0,0,0,True,False,False,76561198149272553,12,4,2595,2595,2595,1601714059
32,76951443,english,better than fifa,1601705922,1601705922,True,0,0,0,0,True,False,False,76561198978757165,21,2,1397,1397,872,1601835436
33,76951058,english,If you thought the scripting was bad in PES 2020 then don't play this one. Do yourself a favor and wait for PES 2022.,1601705218,1601705218,False,1,0,0.476190477609634399,0,True,False,False,76561198098132822,109,1,3047,1998,2855,1601782410
34,76943670,english,eFootball PES 2021 SEASON UPDATE is the best game in this year,1601691807,1601691807,True,0,0,0,0,True,False,False,76561199093685036,1,1,874,874,791,1601870648
35,76938776,english,"The ref ruins the experience, any touch leads to a fault",1601683031,1601683031,False,2,0,0.52173912525177002,0,True,False,False,76561198347308022,6,1,320,320,258,1601864409
36,76934363,english,Pretty good LOVED İT,1601675426,1601675426,True,0,1,0,0,True,False,False,76561199033676993,69,9,768,768,228,1601840853
37,76345681,english,"Its a broken mess, FIFA is better.",1600715588,1601671415,False,0,0,0,0,True,False,False,76561198032499952,49,1,2019,1482,1814,1601819548
38,76931331,english,how to use esport PES 2021 as a new comer,1601670917,1601670917,True,0,0,0,0,True,False,False,76561197994382197,1,1,1030,1030,625,1601842635
39,76929494,english,1 of my best game,1601668486,1601668486,True,0,0,0,0,True,False,False,76561198096192802,2,1,1717,1717,1011,1601836141
