date_posted,funny,helpful,hour_played,is_early_access_review,recommendation,review,title
2015-09-22,0,0,958,False,Recommended,"When you missed a shotYour teammates""Nice Shot !""""Nice Shot !""""Nice Shot !""When you failed to save a goal Your teammates""What a save !""""What a save !""""What a save !""10/10 life",Rocket League®
2017-03-18,0,0,908,False,Recommended,its good,Rocket League®
2017-03-18,0,0,868,False,Recommended,Best game i have ever played you have to spend a little money to keep your car lookin good but if you dont want to you dont have to. You can pay once and be done or if you want you could buy some keys to get a chance at winning a super cool decal for your car. overall it is an amazing game and if you are still trying to decied on getting it I would try it out,Rocket League®
2015-11-06,0,0,253,False,Recommended,super fun game,Rocket League®
2015-11-06,0,0,86,False,Recommended,realy fun,Rocket League®
2015-11-06,0,0,49,False,Recommended,The game can be frustrating at the start if/when you're bad at it. Stick with it... As you get better the game becomes more enjoyable. Worth 15.,Rocket League®
2015-11-06,0,0,753,False,Recommended,gr8,Rocket League®
2015-11-06,0,0,379,False,Recommended,Honestly one of the funnest games I have ever played. 40 hours into the game and I still continue to have endless fun and never get mad. I also love the fact they its being updated with new game modes for free! I love this company. Keep doing what classic videogame companies always did and care about your consumers. You have made a great game,Rocket League®
2015-11-06,0,0,34,False,Recommended,This is a fun game. Simply that. Even though I am somewhat pretentious I cannot deny that this is pure mindless fun. I am not a fan of either cars or football and I still like it. Recommend it to everyone,Rocket League®
2015-11-06,0,0,23,False,Recommended,flying cars n sh*t its the future right? Pretty fun game imo,Rocket League®
2018-04-27,0,0,260,False,Recommended,I am OBSESSED with this game. It is so much fun and so many people are helpful to help out with learning. So much fun.,Rocket League®
2018-04-27,0,0,164,False,Recommended,THIS IS A GOOD GAME BUT THE SERVER IS LAGGYPLS FIX IT!!!!!!!!!,Rocket League®
2015-12-30,0,0,729,False,Recommended,addictive simple really fun physics are well done long overdue game idea executed nicely,Rocket League®
2015-11-21,0,0,1609,False,Recommended,Addicted game lots of fun.. You can spend lots of hour in this game.,Rocket League®
2018-04-27,0,0,0,False,Recommended,),Rocket League®
2018-04-27,0,0,922,False,Recommended,Product received for free. NICE GAME,Rocket League®
2018-04-27,0,0,153,False,Not Recommended,They say I have a family account so i cant rank but this isnt a family account,Rocket League®
2016-12-28,0,0,51,False,Recommended,Great game but could use a vote kick option for when your third teammate is 'that guy',Rocket League®
2016-12-28,0,0,299,False,Recommended,The best game ever ) fun and challenging many modes to play . Awesome game,Rocket League®
2016-12-28,0,0,16,False,Recommended,Chido we,Rocket League®
2016-10-22,0,0,1757,False,Recommended,Great game have not regretted a moment of our time together. (Apart from that i'm not a pro yet lol.),Rocket League®
2017-11-15,0,0,261,False,Not Recommended,this game is alright as it is but there should not be a ban for saying bad words like wtf this game if im gonna be honest can be very rage indusing and if you're like me you will get mad and cus i got banned for cussing over voice comms so be careful what you say in game i guess and the creators of this game for making that a ban now i cant playEDIT Now it only chat bans you thank you Rocket League!,Rocket League®
2016-12-28,0,0,34,False,Recommended,is a good game 8/10,Rocket League®
2016-11-28,0,0,69,False,Recommended,420/420,Rocket League®
2016-11-28,0,0,20,False,Recommended,What a fantastic game! I keep coming back to play more. Even the single player mode is replayable.,Rocket League®
2016-11-28,0,0,32,False,Recommended,good game fun for anyone,Rocket League®
2016-11-26,0,0,202,False,Recommended,A great game! Simple yet addicting,Rocket League®
2016-11-26,0,0,221,False,Recommended,what even is the point of having that tokyo map in competetive _,Rocket League®
2016-11-26,0,0,112,False,Recommended,Fifa streets and need for speed had a love child.,Rocket League®
2016-09-11,0,0,241,False,Recommended,best game for ever! played when it was for free but dont have money to buy this now,Rocket League®
2016-11-26,0,0,54,False,Recommended,A GOOD GAME PLAY THEMM!!!!!!!!!!!!!!!!!!!!!!!!!!!,Rocket League®
2016-11-26,0,0,251,False,Recommended,The best game to play with your friends ...... only if I had any ( .....,Rocket League®
2016-11-26,0,0,159,False,Recommended,Really fun.,Rocket League®
2016-11-26,0,0,91,False,Recommended,Best football game without a foot,Rocket League®
2016-11-26,0,0,344,False,Recommended,&lt 3,Rocket League®
2016-11-26,0,0,75,False,Recommended,Easy to learn hard to master.,Rocket League®
2015-11-07,0,0,189,False,Recommended,Great game! Worth every penny.,Rocket League®
2015-11-07,0,0,211,False,Recommended,A big ball appears on the field. Several toy cars that hustle for that big ball. Try to score... EXPLOSION! Nice Shot.Great Pass.3.2.1.Hustle back...,Rocket League®
2015-11-07,0,0,11,False,Recommended,Pure unadulterated fun. Even if you're not a fan of sports sports games or driving games the combined elements work together so well. It loads quickly and the game mechanics are simple to get the hang of though mastering them is likely a different story.,Rocket League®
2015-11-07,0,0,19,False,Recommended,its takes a lil getting used to at first but once you do its a really fun game,Rocket League®
2015-11-07,0,0,11,False,Recommended,Imagine sports but cool! Rocket League adds a fast paced sci fi twist to the traditional sports videogame experience.,Rocket League®
2015-11-07,0,0,3,False,Recommended,Im only doing this for the achievment,Rocket League®
2018-05-25,0,0,21,False,Recommended,The first 18 hours were really fun great game to play with friends.After that the game won t start for some reason I ve tried everything and it still doesn t work.Shame this is one of the best games on steam,Rocket League®
2018-05-25,0,0,6,False,Recommended,Best game ever,Rocket League®
2018-05-25,0,0,43,False,Recommended,GR8,Rocket League®
2018-05-25,0,0,2541,False,Recommended,best game ever &lt 3,Rocket League®
2018-05-25,0,0,448,False,Recommended,where the hell do i buy keys,Rocket League®
2018-05-25,0,0,1236,False,Recommended,one of the best games around,Rocket League®
2017-11-18,0,0,108,False,Recommended,More exciting than watching/playing soccer in real life but I may have a bias since I'm not a big fan of sports in general. Anyways I know I say this in a lot of reviews but this game also has a pretty high skill ceiling.,Rocket League®
2018-05-25,0,0,128,False,Recommended,Rocket League rules this game lets you make your own sports history and reminds me of classic party games with how easily and consistently it entertains.,Rocket League®
2016-11-23,0,0,632,False,Recommended,Rocket League is one my favorite games of all time no doubt. You can go and a couple matches just to have a good time or you can go play ranked and be extremely competitive.The skill ceiling is insanely high so if you want to be competitive there is a lot of room for you to improve and try to be one the best out there.,Rocket League®
2018-05-25,0,0,412,False,Recommended,Good game!,Rocket League®
2018-04-28,0,0,376,False,Recommended,Good game ),Rocket League®
2018-04-28,0,0,764,False,Recommended,I think this game might be why I'm single in my 30's.,Rocket League®
2016-04-25,0,0,128,False,Recommended,Very Very Good This GAME!!!,Rocket League®
2018-04-28,0,0,1263,False,Recommended,"More and more this game has the power to tick people off. Why isn't there a PTW section (paly to win) and a Causal section?? RL would say "" Because its no way to find good players and possible friends like that."" So lose and lose and lose until you find the right teammates who will play one game and leave. Back to losing losing losing. I love the game. Steam XB1 and PS4 I have it for. My skills aren't championship level but I base the game on teamwork to win. Causally playing for yourself and the lose/rage meter goes way up. Have a PTW and Causal section.",Rocket League®
2018-04-28,0,0,4,False,Recommended,Game is Epic D,Rocket League®
2018-04-28,0,0,3,False,Recommended,I like it.,Rocket League®
